X,Y,OBJECTID,Citation_N,Date,Address,Ordinance,Ordinanc_1,Latitude,Longitude,Ward,Neighborho,Community,Tow_Zone,Day,Snow_Emerg
-93.290600999636411,45.015587000339849,5001,271119358297,2019-02-26T00:00:00.000Z,BRYANT AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.015587,-93.290601,4,McKinley,Camden,1,3,Armatage
-93.30701400019592,45.016144999991809,5002,271119356335,2019-02-26T00:00:00.000Z,OLIVER AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.016145,-93.307014,4,Folwell,Camden,1,3,Armatage
-93.292821000388813,44.959332999818116,5003,271119355001,2019-02-26T00:00:00.000Z,DUPONT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.959333,-93.292821,10,Lowry Hill East,Calhoun Isle,3,3,Armatage
-93.293048000065141,44.956759999874123,5004,271119358701,2019-02-26T00:00:00.000Z,DUPONT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.95676,-93.293048,10,Lowry Hill East,Calhoun Isle,3,3,Armatage
-93.290588999982333,45.015412000363597,5005,271119358298,2019-02-26T00:00:00.000Z,BRYANT AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.015412,-93.290589,4,McKinley,Camden,1,3,Armatage
-93.322913999581374,44.910790999704943,5006,271119354768,2019-02-26T00:00:00.000Z,ABBOTT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.910791,-93.322914,13,Fulton,Southwest,5,3,Armatage
-93.206488999567625,44.947110000026555,5007,271119348210,2019-02-26T00:00:00.000Z,47TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.94711,-93.206489,2,Cooper,Longfellow,6,3,Armatage
-93.290599000443478,44.949656999670879,5008,271119360781,2019-02-26T00:00:00.000Z,BRYANT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.949657,-93.290599,10,Lowry Hill East,Calhoun Isle,3,3,Armatage
-93.208597999697872,44.956382999575851,5009,271119358184,2019-02-26T00:00:00.000Z,RIVER TERRACE E,478.1000(c),Snow emergency parking restrictions - odd number address,44.956383,-93.208598,2,Prospect Park - East River Road,University,4,3,Armatage
-93.292048999861436,44.898641999728568,5010,271119357797,2019-02-26T00:00:00.000Z,COLFAX AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.898642,-93.292049,13,Kenny,Southwest,5,3,Armatage
-93.307081999734464,45.016114000360858,5011,271119356336,2019-02-26T00:00:00.000Z,OLIVER AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.016114,-93.307082,4,Folwell,Camden,1,3,Armatage
-93.29246200002126,44.959493000001999,5012,271119355002,2019-02-26T00:00:00.000Z,DUPONT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.959493,-93.292462,10,Lowry Hill East,Calhoun Isle,3,3,Armatage
-93.32434399987568,44.945124000172541,5013,271119348196,2019-02-26T00:00:00.000Z,32ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.945124,-93.324344,13,West Calhoun,Calhoun Isle,3,3,Armatage
-93.290580999613383,45.014126000414649,5014,271119358299,2019-02-26T00:00:00.000Z,BRYANT AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.014126,-93.290581,4,McKinley,Camden,1,3,Armatage
-93.25930299973362,44.961800000269875,5015,271119358863,2019-02-26T00:00:00.000Z,21ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.9618,-93.259303,6,Ventura Village,Phillips,3,3,Armatage
-93.290573000143809,45.014014999792437,5016,271119358300,2019-02-26T00:00:00.000Z,BRYANT AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.014015,-93.290573,4,McKinley,Camden,1,3,Armatage
-93.269519999648253,45.024014000445845,5017,271119348427,2019-02-26T00:00:00.000Z,31ST AVE NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.024014,-93.26952,1,Marshall Terrace,Northeast,2,3,Armatage
-93.290606999913052,44.949704000039617,5018,271119360782,2019-02-26T00:00:00.000Z,BRYANT AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.949704,-93.290607,10,Lowry Hill East,Calhoun Isle,3,3,Armatage
-93.306948999896406,45.001748999816527,5019,271119357052,2019-02-26T00:00:00.000Z,OLIVER AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.001749,-93.306949,5,Willard - Hay,Near North,1,3,Armatage
-93.307019999573299,45.015748999716607,5020,271119356337,2019-02-26T00:00:00.000Z,OLIVER AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.015749,-93.30702,4,Folwell,Camden,1,3,Armatage
-93.259178000264455,44.961821000338944,5021,271119358864,2019-02-26T00:00:00.000Z,21ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.961821,-93.259178,6,Ventura Village,Phillips,3,3,Armatage
-93.240928000426834,45.013892999562358,5022,271119358343,2019-02-26T00:00:00.000Z,PIERCE ST NE,478.1000(c),Snow emergency parking restrictions - odd number address,45.013893,-93.240928,1,Audubon Park,Northeast,2,3,Armatage
-93.306960000403649,45.001610999747868,5023,271119357053,2019-02-26T00:00:00.000Z,OLIVER AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.001611,-93.30696,5,Willard - Hay,Near North,1,3,Armatage
-93.307035000264989,45.015401999902451,5024,271119356338,2019-02-26T00:00:00.000Z,OLIVER AVE N,478.1000(c),Snow emergency parking restrictions - odd number address,45.015402,-93.307035,4,Folwell,Camden,1,3,Armatage
-93.224188000076083,44.898388999752569,5025,271119355185,2019-02-26T00:00:00.000Z,33RD AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.898389,-93.224188,11,Wenonah,Nokomis,6,3,Armatage
-93.224275999637655,44.949444999786976,5026,271119355066,2019-02-26T00:00:00.000Z,33RD AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.949445,-93.224276,2,Longfellow,Longfellow,4,3,Armatage
-93.325687999801289,44.945184000241454,5027,271119348197,2019-02-26T00:00:00.000Z,32ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.945184,-93.325688,13,West Calhoun,Calhoun Isle,3,3,Armatage
