X,Y,OBJECTID,Call_Taken,Tow_Reason,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.287992999877019,45.00024999993758,1,02/24/2019 09:20pm,Snow Emergency,"2101 LYNDALE AVE N ,Minneapolis,MN",45.00025,-93.287993,5,Near North,Hawthorne,1,1,Armatage
-93.287992999877019,45.00024999993758,2,02/24/2019 09:23pm,Snow Emergency,"2101 LYNDALE AVE N ,Minneapolis,MN",45.00025,-93.287993,5,Near North,Hawthorne,1,1,Armatage
-93.294637999643953,44.951599000193767,3,02/24/2019 09:25pm,Snow Emergency,"2806 EMERSON AVE S,Minneapolis,MN",44.951599,-93.294638,10,Calhoun Isle,Lowry Hill East,3,1,Armatage
-93.288395000428864,45.009707999924331,4,02/24/2019 09:35pm,Snow Emergency,"2901 Lyndale Ave n ,Minneapolis,MN",45.009708,-93.288395,5,Near North,Hawthorne,1,1,Armatage
-93.294725000058691,44.951578000124641,5,02/24/2019 09:36pm,Snow Emergency,"2800 Emerson Avenue South,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Armatage
-93.288386000013872,45.010656999620892,6,02/24/2019 09:37pm,Snow Emergency,"2939 Lyndale Ave n,Minneapolis,MN",45.010657,-93.288386,5,Near North,Hawthorne,1,1,Armatage
-93.29474299998941,44.950835000035283,7,02/24/2019 09:39pm,Snow Emergency,"2848 emerson Avenue S,Minneapolis,MN",44.950835,-93.294743,10,Calhoun Isle,Lowry Hill East,3,1,Armatage
-93.288395000428864,45.009707999924331,8,02/24/2019 09:43pm,Snow Emergency,"2901 lyndale ave n ,Minneapolis,MN",45.009708,-93.288395,5,Near North,Hawthorne,1,1,Armatage
-93.288395000428864,45.009707999924331,9,02/24/2019 09:46pm,Snow Emergency,"2901 lyndale ave n,Minneapolis,MN",45.009708,-93.288395,5,Near North,Hawthorne,1,1,Armatage
-93.262979000180678,44.946506000051897,10,02/24/2019 09:46pm,Snow Emergency,"3100 block of Chicago ave s,Minneapolis,MN",44.946506,-93.262979,9,Powderhorn,Central,5,1,Armatage
-93.29474299998941,44.950835000035283,11,02/24/2019 09:48pm,Snow Emergency,"2848 EMERSON AVE S,Minneapolis,MN",44.950835,-93.294743,10,Calhoun Isle,Lowry Hill East,3,1,Armatage
-93.288021000268884,45.013111000372419,12,02/24/2019 09:51pm,Snow Emergency,"3200 -3298 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Armatage
-93.288021000268884,45.013111000372419,13,02/24/2019 09:54pm,Snow Emergency,"3200 -3298 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Armatage
-93.237423999817679,45.030058000376471,14,02/24/2019 09:58pm,Snow Emergency,"3418 johnson st ne,Minneapolis,MN",45.030058,-93.237424,1,Northeast,Waite Park,2,1,Armatage
-93.29474299998941,44.950835000035283,15,02/24/2019 09:59pm,Snow Emergency,"2848 Emerson Ave S,Minneapolis,MN",44.950835,-93.294743,10,Calhoun Isle,Lowry Hill East,3,1,Armatage
-93.237451000163503,45.029947999800413,16,02/24/2019 10:02pm,Snow Emergency,"3414 johnson st ne,Minneapolis,MN",45.029948,-93.237451,1,Northeast,Waite Park,2,1,Armatage
-93.28838700005997,45.01685799959705,17,02/24/2019 10:09pm,Snow Emergency,"3401 Lyndale Ave N,Minneapolis,MN",45.016858,-93.288387,4,Camden,McKinley,1,1,Armatage
-93.26286100013499,44.937618000270561,18,02/24/2019 10:10pm,Snow Emergency,"3600 block of Chicago ave,Minneapolis,MN",44.937618,-93.262861,8,Powderhorn,Central,5,1,Armatage
-93.288355000382921,45.018646000212811,19,02/24/2019 10:11pm,Snow Emergency,"3501 lyndale av no ,Minneapolis,MN",45.018646,-93.288355,4,Camden,McKinley,1,1,Armatage
-93.237360999610416,45.025317000279415,20,02/24/2019 10:13pm,Snow Emergency,"3142 JOHNSON ST NE,Minneapolis,MN",45.025317,-93.237361,1,Northeast,Waite Park,2,1,Armatage
-93.262940000180834,44.941224000187503,21,02/24/2019 10:14pm,Snow Emergency,"3400 Chicago Ave,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Armatage
