X,Y,FID,Citation_N,Date,Address,X_Coordina,Y_Coordina,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,TowDist,F13,F14
-93.267575390556473,44.963905915626874,7001,533616352,2016-12-13T00:00:00.000Z,601 19TH ST E,-10382499,5615841,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.267431660111015,44.963905915626874,7002,533616352,2016-12-13T00:00:00.000Z,607 19TH ST E,-10382483,5615841,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.267386744346808,44.963905915626874,7003,533616352,2016-12-13T00:00:00.000Z,609 19TH ST E,-10382478,5615841,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.267287929665557,44.963912271675085,7004,533616352,2016-12-13T00:00:00.000Z,613 19TH ST E,-10382467,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.267234030748511,44.963912271675085,7005,533616352,2016-12-13T00:00:00.000Z,615 19TH ST E,-10382461,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.267189114984305,44.963912271675085,7006,533616352,2016-12-13T00:00:00.000Z,617 19TH ST E,-10382456,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.26713521606726,44.963912271675085,7007,533616352,2016-12-13T00:00:00.000Z,619 19TH ST E,-10382450,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.267090300303053,44.963912271675085,7008,533616352,2016-12-13T00:00:00.000Z,621 19TH ST E,-10382445,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.266946569857581,44.963912271675085,7009,533616352,2016-12-13T00:00:00.000Z,627 19TH ST E,-10382429,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.266991485621787,44.963912271675085,7010,533616352,2016-12-13T00:00:00.000Z,625 19TH ST E,-10382434,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.266892670940535,44.963912271675085,7011,533616352,2016-12-13T00:00:00.000Z,629 19TH ST E,-10382423,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.266793856259284,44.963912271675085,7012,533616352,2016-12-13T00:00:00.000Z,633 19TH ST E,-10382412,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.266596226896795,44.963912271675085,7013,533616352,2016-12-13T00:00:00.000Z,641 19TH ST E,-10382390,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.26665012581384,44.963912271675085,7014,533616352,2016-12-13T00:00:00.000Z,639 19TH ST E,-10382396,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.266695041578032,44.963912271675085,7015,533616352,2016-12-13T00:00:00.000Z,637 19TH ST E,-10382401,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.266748940495091,44.963912271675085,7016,533616352,2016-12-13T00:00:00.000Z,635 19TH ST E,-10382407,5615842,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.256732725077143,44.964903806573282,7017,533616352,2016-12-13T00:00:00.000Z,1819 13TH AVE S,-10381292,5615998,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.256741708229995,44.963734302058796,7018,533616352,2016-12-13T00:00:00.000Z,1915 13TH AVE S,-10381293,5615814,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.251594361651982,44.963778794514639,7019,533616352,2016-12-13T00:00:00.000Z,1811 16TH AVE S,-10380720,5615821,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
-93.25160334480482,44.964598720737627,7020,533616352,2016-12-13T00:00:00.000Z,1809 16TH AVE S,-10380721,5615950,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3, , 
