X,Y,FID,Call_Taken,Customer,Location,X_Coord,Y_Coord,Ward_numbe,Neighborho,Community,Day_identi,TowDist
-93.222912,44.901953,1,12/12/2016 03:56am,Snow Emergency,"5555 34 ave s,Minneapolis,MN",44.901953,-93.222912,12,Morris Park,Nokomis,2,6
-93.267517,44.969486,2,12/12/2016 03:57am,Snow Emergency,"grant st e / porland ave,Minneapolis,MN",44.969486,-93.267517,7,Elliot Park,Central,2,3
-93.278242,44.924943,3,12/12/2016 03:58am,Snow Emergency,"4300 Nicollet ,Minneapolis,MN",44.924943,-93.278242,8,Kingfield,Southwest,2,5
-93.242156,44.964005,4,12/12/2016 04:06am,Snow Emergency,"2109 9th st s ,Minneapolis,MN",44.964005,-93.242156,6,Seward,Longfellow,2,4
-93.222647,44.902582,5,12/12/2016 04:09am,Snow Emergency,"5535 34th Ave. so,Minneapolis,MN",44.902582,-93.222647,12,Morris Park,Nokomis,2,6
-93.259686,44.968855,6,12/12/2016 04:09am,Snow Emergency,"14th St e and 10th Ave s,Minneapolis,MN",44.968855,-93.259686,6,Elliot Park,Central,2,3
-93.232356,44.899498,7,12/12/2016 04:14am,Snow Emergency,"5749 28 ave s,Minneapolis,MN",44.899498,-93.232356,11,Wenonah,Nokomis,2,6
-93.239589,44.963997,8,12/12/2016 04:25am,Snow Emergency,"2220 9th street s,Minneapolis,MN",44.963997,-93.239589,6,Seward,Longfellow,2,4
-93.29957,44.947829,9,12/12/2016 04:43am,Snow Emergency,"3000 Holmes Ave S ,Minneapolis,MN",44.947829,-93.29957,10,ECCO,Calhoun-Isles,2,5
-93.259686,44.968855,10,12/12/2016 04:45am,Snow Emergency,"14th and 10th Ave s,Minneapolis,MN",44.968855,-93.259686,6,Elliot Park,Central,2,3
-93.29957,44.947829,11,12/12/2016 04:47am,Snow Emergency,"3000 Holmes Ave S,Minneapolis,MN",44.947829,-93.29957,10,ECCO,Calhoun-Isles,2,5
-93.259686,44.968855,12,12/12/2016 04:48am,Snow Emergency,"14th and 10th Ave s,Minneapolis,MN",44.968855,-93.259686,6,Elliot Park,Central,2,3
-93.287698,45.00088,13,12/11/2016 09:18pm,Snow Emergency,"2118 Lyndale Ave n. ,Minneapolis,MN",45.00088,-93.287698,5,Hawthorne,Near-North,1,1
-93.239905,44.963688,14,12/12/2016 04:54am,Snow Emergency,"2211 9th st s,Minneapolis,MN",44.963688,-93.239905,6,Seward,Longfellow,2,4
-93.252505,44.987425,15,12/12/2016 08:19am,Snow Emergency,"422 2ND AVE SE,Minneapolis,MN",44.987425,-93.252505,3,Marcy-Holmes,University,2,4
-93.287773,45.015044,16,12/11/2016 09:40pm,Snow Emergency,"3300 Lyndale Ave N,Minneapolis,MN",45.015044,-93.287773,4,McKinley,Camden,1,1
-93.262979,44.946941,17,12/11/2016 09:44pm,Snow Emergency,"3044 Chicago ave s,Minneapolis,MN",44.946941,-93.262979,9,Central,Powderhorn,1,5
