X,Y,OBJECTID,Citation_N,Date,Address,Ordinance,Ordinanc_1,Latitude,Longitude,Ward,Neighborho,Community,Tow_Zone,Day,Snow_Emerg
-93.261341000186974,44.908722999666736,5001,271119305889,2019-03-12T00:00:00.000Z,5201 ELLIOT AVE,478.1000(c),Snow emergency parking restrictions - odd number address,44.908723,-93.261341,11,Hale,Nokomis,6,3,Diamond Lake
-93.261342000233071,44.909947000353839,5002,271119305888,2019-03-12T00:00:00.000Z,5135 ELLIOT AVE,478.1000(c),Snow emergency parking restrictions - odd number address,44.909947,-93.261342,11,Hale,Nokomis,6,3,Diamond Lake
-93.238724000412276,44.900912000088795,5003,271119305886,2019-03-11T00:00:00.000Z,5624 23RD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.900912,-93.238724,11,Wenonah,Nokomis,6,2,Diamond Lake
-93.238725999605151,44.901070000180425,5004,271119305885,2019-03-11T00:00:00.000Z,5616 23RD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.90107,-93.238726,11,Wenonah,Nokomis,6,2,Diamond Lake
-93.260164999914764,44.90911299966524,5005,271119305884,2019-03-11T00:00:00.000Z,5154 10TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.909113,-93.260165,11,Hale,Nokomis,6,2,Diamond Lake
-93.280867000411718,44.895619999763255,5006,271119305249,2019-03-12T00:00:00.000Z,131 59TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.89562,-93.280867,11,Windom,Southwest,5,3,Diamond Lake
-93.284402999798544,44.89637799964504,5007,271119305248,2019-03-12T00:00:00.000Z,341 59TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.896378,-93.284403,11,Windom,Southwest,5,3,Diamond Lake
-93.284394000282873,44.896433000382729,5008,271119305247,2019-03-12T00:00:00.000Z,345 59TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.896433,-93.284394,11,Windom,Southwest,5,3,Diamond Lake
-93.284783000235223,44.896473999575448,5009,271119305246,2019-03-12T00:00:00.000Z,401 59TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.896474,-93.284783,11,Windom,Southwest,5,3,Diamond Lake
-93.285027999842271,44.896443999990652,5010,271119305245,2019-03-12T00:00:00.000Z,405 59TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.896444,-93.285028,11,Windom,Southwest,5,3,Diamond Lake
-93.282467999598452,44.893627999632542,5011,271119305244,2019-03-12T00:00:00.000Z,225 60TH ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.893628,-93.282468,11,Windom,Southwest,5,3,Diamond Lake
-93.288899000288609,44.891955999869538,5012,271119305243,2019-03-12T00:00:00.000Z,703 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.891956,-93.288899,11,Windom,Southwest,5,3,Diamond Lake
-93.28886999985059,44.891976999938663,5013,271119305242,2019-03-12T00:00:00.000Z,705 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.891977,-93.28887,11,Windom,Southwest,5,3,Diamond Lake
-93.289014000195891,44.892105999592275,5014,271119305241,2019-03-12T00:00:00.000Z,707 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892106,-93.289014,11,Windom,Southwest,5,3,Diamond Lake
-93.288914000080979,44.892365999891013,5015,271119305240,2019-03-12T00:00:00.000Z,715 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892366,-93.288914,11,Windom,Southwest,5,3,Diamond Lake
-93.289274999641464,44.892372000167711,5016,271119305239,2019-03-12T00:00:00.000Z,717 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892372,-93.289275,11,Windom,Southwest,5,3,Diamond Lake
-93.289390000448122,44.892355000283089,5017,271119305238,2019-03-12T00:00:00.000Z,719 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892355,-93.28939,11,Windom,Southwest,5,3,Diamond Lake
-93.290654000281847,44.892519999798196,5018,271119305237,2019-03-12T00:00:00.000Z,723 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.89252,-93.290654,11,Windom,Southwest,5,3,Diamond Lake
-93.291144000395263,44.892525000028797,5019,271119305236,2019-03-12T00:00:00.000Z,905 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892525,-93.291144,11,Windom,Southwest,5,3,Diamond Lake
-93.291180000256759,44.892549000236215,5020,271119305235,2019-03-12T00:00:00.000Z,907 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892549,-93.29118,11,Windom,Southwest,5,3,Diamond Lake
-93.291733999724272,44.89154699989416,5021,271119305234,2019-03-12T00:00:00.000Z,6125 COLFAX LA,478.1000(c),Snow emergency parking restrictions - odd number address,44.891547,-93.291734,11,Windom,Southwest,5,3,Diamond Lake
-93.291580999863243,44.891667000032101,5022,271119305233,2019-03-12T00:00:00.000Z,6129 COLFAX LA,478.1000(c),Snow emergency parking restrictions - odd number address,44.891667,-93.291581,11,Windom,Southwest,5,3,Diamond Lake
-93.291452000209631,44.891700999801344,5023,271119305232,2019-03-12T00:00:00.000Z,6131 COLFAX LA,478.1000(c),Snow emergency parking restrictions - odd number address,44.891701,-93.291452,11,Windom,Southwest,5,3,Diamond Lake
-93.292013,44.892491000259497,5024,271119305231,2019-03-12T00:00:00.000Z,1001 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892491,-93.292013,11,Windom,Southwest,5,3,Diamond Lake
-93.292312000298523,44.892521999890448,5025,271119305230,2019-03-12T00:00:00.000Z,1003 61ST ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.892522,-93.292312,11,Windom,Southwest,5,3,Diamond Lake
-93.281934000153967,44.890893000311792,5026,271119305229,2019-03-12T00:00:00.000Z,131 62ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.890893,-93.281934,11,Windom,Southwest,5,3,Diamond Lake
-93.282021999715482,44.890818999597229,5027,271119305228,2019-03-12T00:00:00.000Z,149 62ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.890819,-93.282022,11,Windom,Southwest,5,3,Diamond Lake
-93.282110000176317,44.890833000242822,5028,271119305227,2019-03-12T00:00:00.000Z,201 62ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.890833,-93.28211,11,Windom,Southwest,5,3,Diamond Lake
-93.282128000107093,44.890812000173696,5029,271119305226,2019-03-12T00:00:00.000Z,203 62ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.890812,-93.282128,11,Windom,Southwest,5,3,Diamond Lake
-93.282538000128568,44.890785999874026,5030,271119305225,2019-03-12T00:00:00.000Z,207 62ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.890786,-93.282538,11,Windom,Southwest,5,3,Diamond Lake
-93.282427000405733,44.890843999850745,5031,271119305224,2019-03-12T00:00:00.000Z,211 62ND ST W,478.1000(c),Snow emergency parking restrictions - odd number address,44.890844,-93.282427,11,Windom,Southwest,5,3,Diamond Lake
-93.272553000120809,44.892424999913885,5032,271119305223,2019-03-12T00:00:00.000Z,221 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892425,-93.272553,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.272821999935331,44.892395000329032,5033,271119305222,2019-03-12T00:00:00.000Z,303 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892395,-93.272822,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.269109999626721,44.892600999936235,5034,271119305221,2019-03-12T00:00:00.000Z,503 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892601,-93.26911,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.268969000319089,44.892500999821323,5035,271119305220,2019-03-12T00:00:00.000Z,505 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892501,-93.268969,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.268874999581556,44.892599999890137,5036,271119305219,2019-03-12T00:00:00.000Z,507 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.8926,-93.268875,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.265582999755622,44.892136000076391,5037,271119305218,2019-03-12T00:00:00.000Z,709 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892136,-93.265583,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.266632999613194,44.896312000198691,5038,271119305217,2019-03-12T00:00:00.000Z,621 59TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.896312,-93.266633,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.267356999725735,44.896342999829642,5039,271119305216,2019-03-12T00:00:00.000Z,609 59TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.896343,-93.267357,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.263055000088173,44.901685999809104,5040,271119305214,2019-03-12T00:00:00.000Z,719 56TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.901686,-93.263055,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.262980000226776,44.901856999600909,5041,271119305213,2019-03-12T00:00:00.000Z,727 56TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.901857,-93.26298,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.27325099993368,44.897971000261521,5042,271119305212,2019-03-12T00:00:00.000Z,215 58TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.897971,-93.273251,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.273109999726671,44.897903999869754,5043,271119305211,2019-03-12T00:00:00.000Z,221 58TH ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.897904,-93.27311,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.271509999686714,44.894998999903976,5044,271119305210,2019-03-12T00:00:00.000Z,333 CHESTER ST S,478.1000(c),Snow emergency parking restrictions - odd number address,44.894999,-93.27151,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.271423000171296,44.895053999742345,5045,271119305209,2019-03-12T00:00:00.000Z,331 CHESTER ST S,478.1000(c),Snow emergency parking restrictions - odd number address,44.895054,-93.271423,11,Diamond Lake,Nokomis,5,3,Diamond Lake
-93.277897000146424,44.892615999728662,5046,271119305208,2019-03-12T00:00:00.000Z,7 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892616,-93.277897,11,Windom,Southwest,5,3,Diamond Lake
-93.277762000216114,44.892567000166991,5047,271119305207,2019-03-12T00:00:00.000Z,9 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892567,-93.277762,11,Windom,Southwest,5,3,Diamond Lake
-93.277966999777163,44.892593999613439,5048,271119305206,2019-03-12T00:00:00.000Z,23 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892594,-93.277967,11,Windom,Southwest,5,3,Diamond Lake
-93.27718799982631,44.892416000398157,5049,271119305205,2019-03-12T00:00:00.000Z,125 61ST ST E,478.1000(c),Snow emergency parking restrictions - odd number address,44.892416,-93.277188,11,Windom,Southwest,5,3,Diamond Lake
-93.320896000050311,44.945199000033881,5050,271119305204,2019-03-11T00:00:00.000Z,3324 32ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.945199,-93.320896,13,West Calhoun,Calhoun Isle,5,2,Diamond Lake
-93.320622000005244,44.944919999758213,5051,271119305203,2019-03-11T00:00:00.000Z,3220 32ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.94492,-93.320622,13,West Calhoun,Calhoun Isle,5,2,Diamond Lake
-93.320125999615129,44.944726999851241,5052,271119305202,2019-03-11T00:00:00.000Z,3208 32ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.944727,-93.320126,13,West Calhoun,Calhoun Isle,5,2,Diamond Lake
-93.275855999554722,44.915131000195572,5053,271119305201,2019-03-11T00:00:00.000Z,116 RUSTIC LODGE E,478.1000(b),Snow emergency parking restrictions - even number address,44.915131,-93.275856,11,Tangletown,Southwest,5,2,Diamond Lake
-93.276667000081943,44.915232000356582,5054,271119305200,2019-03-11T00:00:00.000Z,20 RUSTIC LODGE E,478.1000(b),Snow emergency parking restrictions - even number address,44.915232,-93.276667,11,Tangletown,Southwest,5,2,Diamond Lake
-93.278065999845978,44.915332999618272,5055,271119305199,2019-03-11T00:00:00.000Z,2 RUSTIC LODGE E,478.1000(b),Snow emergency parking restrictions - even number address,44.915333,-93.278066,11,Tangletown,Southwest,5,2,Diamond Lake
-93.278012000053707,44.91539099959499,5056,271119305198,2019-03-11T00:00:00.000Z,4 RUSTIC LODGE E,478.1000(b),Snow emergency parking restrictions - even number address,44.915391,-93.278012,11,Tangletown,Southwest,5,2,Diamond Lake
-93.297207000302762,44.915781999639648,5057,271119305197,2019-03-11T00:00:00.000Z,1408 48TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.915782,-93.297207,13,Lynnhurst,Southwest,5,2,Diamond Lake
-93.297213999726296,44.915714000101104,5058,271119305196,2019-03-11T00:00:00.000Z,1406 48TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.915714,-93.297214,13,Lynnhurst,Southwest,5,2,Diamond Lake
-93.298554000366778,44.890824999873871,5059,271119305193,2019-03-11T00:00:00.000Z,1430 61ST ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890825,-93.298554,13,Kenny,Southwest,5,2,Diamond Lake
-93.297485999679111,44.890997999757928,5060,271119305192,2019-03-11T00:00:00.000Z,1408 61ST ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890998,-93.297486,13,Kenny,Southwest,5,2,Diamond Lake
-93.279318000025626,44.891182000149229,5061,271119305191,2019-03-11T00:00:00.000Z,10 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.891182,-93.279318,11,Windom,Southwest,5,2,Diamond Lake
-93.279135999726577,44.891168000402956,5062,271119305190,2019-03-11T00:00:00.000Z,20 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.891168,-93.279136,11,Windom,Southwest,5,2,Diamond Lake
-93.279472999978907,44.891058999872996,5063,271119305189,2019-03-11T00:00:00.000Z,24 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.891059,-93.279473,11,Windom,Southwest,5,2,Diamond Lake
-93.279646999909062,44.890986000103851,5064,271119305188,2019-03-11T00:00:00.000Z,26 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890986,-93.279647,11,Windom,Southwest,5,2,Diamond Lake
-93.279537000232324,44.890834000288919,5065,271119305187,2019-03-11T00:00:00.000Z,28 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890834,-93.279537,11,Windom,Southwest,5,2,Diamond Lake
-93.279604999770868,44.89091699961989,5066,271119305186,2019-03-11T00:00:00.000Z,30 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890917,-93.279605,11,Windom,Southwest,5,2,Diamond Lake
-93.27976499995475,44.890846999989094,5067,271119305185,2019-03-11T00:00:00.000Z,100 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890847,-93.279765,11,Windom,Southwest,5,2,Diamond Lake
-93.280038999999817,44.89083100015057,5068,271119305184,2019-03-11T00:00:00.000Z,104 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890831,-93.280039,11,Windom,Southwest,5,2,Diamond Lake
-93.27997799988475,44.890823999827774,5069,271119305183,2019-03-11T00:00:00.000Z,110 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890824,-93.279978,11,Windom,Southwest,5,2,Diamond Lake
-93.280072999769061,44.890872000242666,5070,271119305182,2019-03-11T00:00:00.000Z,114 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890872,-93.280073,11,Windom,Southwest,5,2,Diamond Lake
-93.280155999999351,44.890874000334918,5071,271119305181,2019-03-11T00:00:00.000Z,116 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890874,-93.280156,11,Windom,Southwest,5,2,Diamond Lake
-93.280415000252049,44.890895000403987,5072,271119305180,2019-03-11T00:00:00.000Z,118 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890895,-93.280415,11,Windom,Southwest,5,2,Diamond Lake
-93.280438000413369,44.890937999689015,5073,271119305179,2019-03-11T00:00:00.000Z,118 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890938,-93.280438,11,Windom,Southwest,5,2,Diamond Lake
-93.280790999604903,44.891085000172666,5074,271119305178,2019-03-11T00:00:00.000Z,120 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.891085,-93.280791,11,Windom,Southwest,5,2,Diamond Lake
-93.281527000270785,44.890967000127034,5075,271119305177,2019-03-11T00:00:00.000Z,128 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890967,-93.281527,11,Windom,Southwest,5,2,Diamond Lake
-93.281432000386474,44.89082800001222,5076,271119305176,2019-03-11T00:00:00.000Z,130 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890828,-93.281432,11,Windom,Southwest,5,2,Diamond Lake
-93.281592999717134,44.890954000426859,5077,271119305175,2019-03-11T00:00:00.000Z,132 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890954,-93.281593,11,Windom,Southwest,5,2,Diamond Lake
-93.28176100026991,44.890962999942531,5078,271119305174,2019-03-11T00:00:00.000Z,134 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890963,-93.281761,11,Windom,Southwest,5,2,Diamond Lake
-93.281792999946958,44.89085400031189,5079,271119305173,2019-03-11T00:00:00.000Z,136 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890854,-93.281793,11,Windom,Southwest,5,2,Diamond Lake
-93.281898000292415,44.890998999804026,5080,271119305172,2019-03-11T00:00:00.000Z,200 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890999,-93.281898,11,Windom,Southwest,5,2,Diamond Lake
-93.282092000245598,44.890865999965968,5081,271119305171,2019-03-11T00:00:00.000Z,202 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890866,-93.282092,11,Windom,Southwest,5,2,Diamond Lake
-93.282228000222005,44.890879999712297,5082,271119305170,2019-03-11T00:00:00.000Z,204 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.89088,-93.282228,11,Windom,Southwest,5,2,Diamond Lake
-93.282389999598763,44.890786999920181,5083,271119305169,2019-03-11T00:00:00.000Z,206 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890787,-93.28239,11,Windom,Southwest,5,2,Diamond Lake
-93.282429999644705,44.890777000358355,5084,271119305168,2019-03-11T00:00:00.000Z,208 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890777,-93.28243,11,Windom,Southwest,5,2,Diamond Lake
-93.282322000060219,44.890865999965968,5085,271119305167,2019-03-11T00:00:00.000Z,210 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890866,-93.282322,11,Windom,Southwest,5,2,Diamond Lake
-93.282544999552044,44.890799999620356,5086,271119305166,2019-03-11T00:00:00.000Z,212 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.8908,-93.282545,11,Windom,Southwest,5,2,Diamond Lake
-93.282687999851248,44.890745999828084,5087,271119305165,2019-03-11T00:00:00.000Z,214 62ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.890746,-93.282688,11,Windom,Southwest,5,2,Diamond Lake
-93.270426000059842,44.891174999826433,5088,271119305164,2019-03-11T00:00:00.000Z,414 62ND ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.891175,-93.270426,11,Diamond Lake,Nokomis,5,2,Diamond Lake
-93.268961999996293,44.942533000297772,1001,271119369915,2019-03-12T00:00:00.000Z,3319 5TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.942533,-93.268962,9,Central,Powderhorn,5,3,Diamond Lake
-93.26896300004239,44.942529000113325,1002,271119369914,2019-03-12T00:00:00.000Z,3317 5TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.942529,-93.268963,9,Central,Powderhorn,5,3,Diamond Lake
-93.268973999650314,44.942836999927636,1003,271119369913,2019-03-12T00:00:00.000Z,3311 5TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.942837,-93.268974,9,Central,Powderhorn,5,3,Diamond Lake
-93.268955999719594,44.942946999604374,1004,271119369912,2019-03-12T00:00:00.000Z,3303 5TH AVE S,478.1000(c),Snow emergency parking restrictions - odd number address,44.942947,-93.268956,9,Central,Powderhorn,5,3,Diamond Lake
