X,Y,OBJECTID,Call_Taken,Tow_Reason,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.247130999595925,44.984731000135582,1,03/10/2019 09:45pm,Snow Emergency,"592 4TH ST SE,Minneapolis,MN",44.984731,-93.247131,3,University,Marcy Holmes,4,1,Diamond Lake
-93.278566999567317,44.96771999987817,2,03/10/2019 09:45pm,Snow Emergency,"w 15th/ oak grove,Minneapolis,MN",44.96772,-93.278567,7,Central,Loring Park,3,1,Diamond Lake
-93.2324590001827,44.933123999872748,3,03/10/2019 09:47pm,Snow Emergency,"3832 28th Avenue s,Minneapolis,MN",44.933124,-93.232459,12,Powderhorn,Standish,6,1,Diamond Lake
-93.248586000143746,44.985305999672221,4,03/10/2019 09:51pm,Snow Emergency,"464 4TH ST SE,Minneapolis,MN",44.985306,-93.248586,3,University,Marcy Holmes,4,1,Diamond Lake
-93.287992999877019,45.00024999993758,5,03/10/2019 09:54pm,Snow Emergency,"2101-2199 lyndale ave n ,Minneapolis,MN",45.00025,-93.287993,5,Near North,Hawthorne,1,1,Diamond Lake
-93.279624999793896,45.005006999873217,6,03/10/2019 09:55pm,Snow Emergency,"2502 2ND ST N,Minneapolis,MN",45.005007,-93.279625,5,Near North,Hawthorne,1,1,Diamond Lake
-93.270583000105319,44.923093000441668,7,03/10/2019 09:55pm,Snow Emergency,"4400 block of 4th ave s,Minneapolis,MN",44.923093,-93.270583,8,Nokomis,Regina,5,1,Diamond Lake
-93.28023700013739,45.005802999708749,8,03/10/2019 09:56pm,Snow Emergency,"2552 2 st n,Minneapolis,MN",45.005803,-93.280237,5,Near North,Hawthorne,1,1,Diamond Lake
-93.280516000413058,45.004838000173606,9,03/10/2019 09:59pm,Snow Emergency,"2501 2nd st n ,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake
-93.280516000413058,45.004838000173606,10,03/10/2019 10:00pm,Snow Emergency,"2501 2nd st n,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake
-93.278566999567317,44.96771999987817,11,03/10/2019 10:02pm,Snow Emergency,"w 15th/ oak grove,Minneapolis,MN",44.96772,-93.278567,7,Central,Loring Park,3,1,Diamond Lake
