X,Y,FID,Citation_N,Date,Address,X_Coordina,Y_Coordina,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,TowDist,F13,F14
-93.294479933315856,44.951891726068524,1,533480352,2016-12-17T00:00:00.000Z,2800 EMERSON AVE S,-10385494,5613951,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isles,1,3, , 
-93.262616690188139,44.947969088852943,2,533558352,2016-12-17T00:00:00.000Z,3021 CHICAGO AVE S,-10381947,5613334,478.1000(A),SNOW EMERGENCY PARK,9,Powderhorn Park,Powderhorn,1,6, , 
-93.294479933315856,44.95185358177865,3,533480352,2016-12-17T00:00:00.000Z,2802 EMERSON AVE S,-10385494,5613945,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isles,1,3, , 
-93.244147327946635,44.963874135375221,4,533619352,2016-12-17T00:00:00.000Z,908 20TH AVE S,-10379891,5615836,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4, , 
-93.270279319561666,44.914091021798662,5,533607352,2016-12-17T00:00:00.000Z,4909 4TH AVE S,-10382800,5608007,478.1000(A),SNOW EMERGENCY PARK,8,Field,Nokomis,1,5, , 
-93.262724488022229,44.948000877914311,6,533597352,2016-12-17T00:00:00.000Z,3018 CHICAGO AVE S,-10381959,5613339,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5, , 
-93.294479933315856,44.951815437463416,7,533480352,2016-12-17T00:00:00.000Z,2804 EMERSON AVE S,-10385494,5613939,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isles,1,3, , 
-93.262724488022229,44.947905510677401,8,533558352,2016-12-17T00:00:00.000Z,3024 CHICAGO AVE S,-10381959,5613324,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5, , 
-93.242638158269315,44.96405846058974,9,533619352,2016-12-17T00:00:00.000Z,2007 9TH ST S,-10379723,5615865,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4, , 
-93.270243386950312,44.938819465344103,10,533607352,2016-12-17T00:00:00.000Z,3540 4TH AVE S,-10382796,5611895,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5, , 
-93.281005204054054,44.967763907375399,11,533618352,2016-12-17T00:00:00.000Z,214 15TH ST W,-10383994,5616448,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3, , 
-93.262724488022229,44.947937299773976,12,533597352,2016-12-17T00:00:00.000Z,3022 CHICAGO AVE S,-10381959,5613329,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5, , 
-93.270153555421899,44.940377356920983,13,533607352,2016-12-17T00:00:00.000Z,3455 4TH AVE S,-10382786,5612140,478.1000(A),SNOW EMERGENCY PARK,9,Central,Powderhorn,1,5, , 
-93.294479933315856,44.951777293122838,14,533480352,2016-12-17T00:00:00.000Z,2806 EMERSON AVE S,-10385494,5613933,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isles,1,3, , 
-93.242665107727831,44.963975832118543,15,533619352,2016-12-17T00:00:00.000Z,2008 9TH ST S,-10379726,5615852,478.1000(A),SNOW EMERGENCY PARK,6,Seward,Longfellow,1,4, , 
-93.235810962110008,44.964694060235558,16,533619352,2016-12-17T00:00:00.000Z,2516 BUTLER PL,-10378963,5615965,478.1000(A),SNOW EMERGENCY PARK,2,Cedar Riverside,University,1,4, , 
-93.279747562656297,44.967681284241436,17,533618352,2016-12-17T00:00:00.000Z,127 15TH ST W,-10383854,5616435,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3, , 
-93.284535583120643,44.968100754305276,18,533618352,2016-12-17T00:00:00.000Z,426 15TH ST W,-10384387,5616501,478.1000(A),SNOW EMERGENCY PARK,7,Loring Park,Central,1,3, , 
-93.260487682964765,44.99185300664044,19,533395352,2016-12-18T00:00:00.000Z,216 4TH AVE NE,-10381710,5620239,478.1000(B),SNOW EMERGENCY EVEN,3,St. Anthony West,Northeast,2,2, , 
-93.262634656493816,44.920668503938415,20,533597352,2016-12-17T00:00:00.000Z,4546 CHICAGO AVE S,-10381949,5609041,478.1000(A),SNOW EMERGENCY PARK,8,Regina,Nokomis,1,5, , 
-93.27023440379746,44.917284438883875,21,533607352,2016-12-17T00:00:00.000Z,4733 4TH AVE S,-10382795,5608509,478.1000(A),SNOW EMERGENCY PARK,8,Field,Nokomis,1,5, , 
-93.254981010273113,44.928466361125992,22,533464352,2016-12-18T00:00:00.000Z,4112 14TH AVE S,-10381097,5610267,478.1000(B),SNOW EMERGENCY EVEN,8,Bancroft,Powderhorn,2,6, , 
