X,Y,FID,Call_Taken,Customer,Location,X_Coord,Y_Coord,Ward_numbe,Neighborho,Community,Day_identi,TowDist
-93.280233,45.005508,1,12/17/2016 09:15pm,Snow Emergency,"2563 2nd st n. ,Minneapolis,MN",45.005508,-93.280233,5,Hawthorne,Near-North,1,1
-93.263027,44.947734,2,12/17/2016 09:21pm,Snow Emergency,"3018 Chicago Avenue S,Minneapolis,MN",44.947734,-93.263027,9,Central,Powderhorn,1,5
-93.262996,44.94366,3,12/17/2016 09:23pm,Snow Emergency,"3232 Chicago ave,Minneapolis,MN",44.94366,-93.262996,9,Central,Powderhorn,1,5
-93.29447,44.951574,4,12/17/2016 09:24pm,Snow Emergency,"2802 EMERSON AVE S,Minneapolis,MN",44.951574,-93.29447,10,Lowry Hill East,Calhoun Isles,1,3
-93.294471,44.951547,5,12/17/2016 09:26pm,Snow Emergency,"2814 EMERSON AVE S,Minneapolis,MN",44.951547,-93.294471,10,Lowry Hill East,Calhoun Isles,1,3
-93.263003,44.94402,6,12/17/2016 09:29pm,Snow Emergency,"3220 Chicago Ave. S. ,Minneapolis,MN",44.94402,-93.263003,9,Central,Powderhorn,1,5
-93.269937,44.924246,7,12/17/2016 09:34pm,Snow Emergency,"4327 4th Ave s,Minneapolis,MN",44.924246,-93.269937,8,Regina,Nokomis,1,5
-93.280233,45.005508,8,12/17/2016 09:34pm,Snow Emergency,"2563 2nd St N,Minneapolis,MN",45.005508,-93.280233,5,Hawthorne,Near-North,1,1
-93.279345,44.991053,9,12/17/2016 09:41pm,Snow Emergency,"935 2nd st n,Minneapolis,MN",44.991053,-93.279345,3,North Loop,Central,1,1
-93.280233,45.005508,10,12/17/2016 09:42pm,Snow Emergency,"2563 2ND ST N ,Minneapolis,MN",45.005508,-93.280233,5,Hawthorne,Near-North,1,1
-93.269855,44.935397,11,12/17/2016 09:42pm,Snow Emergency,"3717 4 th ave s,Minneapolis,MN",44.935397,-93.269855,8,Central,Powderhorn,1,5
-93.270056,44.913924,12,12/17/2016 09:43pm,Snow Emergency,"4909 4th Avenue South,Minneapolis,MN",44.913924,-93.270056,8,Field,Nokomis,1,5
-93.294472,44.951524,13,12/17/2016 09:43pm,Snow Emergency,"2816 emerson ave s,Minneapolis,MN",44.951524,-93.294472,10,Lowry Hill East,Calhoun Isles,1,3
-93.279345,44.991053,14,12/17/2016 09:43pm,Snow Emergency,"935 2nd st n,Minneapolis,MN",44.991053,-93.279345,3,North Loop,Central,1,1
-93.227416,44.924498,15,12/17/2016 09:46pm,Snow Emergency,"4316 4TH ave s,Minneapolis,MN",44.924498,-93.227416,12,Ericsson,Nokomis,1,6
-93.26982,44.931744,16,12/17/2016 09:46pm,Snow Emergency,"3917 4th Avenue South,Minneapolis,MN",44.931744,-93.26982,8,Bryant,Powderhorn,1,5
-93.237406,45.030046,17,12/17/2016 09:47pm,Snow Emergency,"3418 Johnson St NE,Minneapolis,MN",45.030046,-93.237406,1,Waite Park,Northeast,1,2
-93.247751,44.9861,18,12/18/2016 10:25am,Snow Emergency,"428 5th Ave se ,Minneapolis,MN",44.9861,-93.247751,3,Marcy-Holmes,University,2,4
-93.270166,44.938047,19,12/17/2016 09:47pm,Snow Emergency,"3549 4th Ave s,Minneapolis,MN",44.938047,-93.270166,9,Central,Powderhorn,1,5
-93.304111,44.990289,20,12/18/2016 11:23am,Snow Emergency,"1218 Morgan Ave N,Minneapolis,MN",44.990289,-93.304111,5,Near-North,Near-North,2,1
-93.301087,44.946294,21,12/18/2016 10:25am,Snow Emergency,"3104 Humboldt Ave South,Minneapolis,MN",44.946294,-93.301087,10,ECCO,Calhoun Isles,2,5
-93.29447,44.951571,22,12/17/2016 09:49pm,Snow Emergency,"2810 Emerson ave s,Minneapolis,MN",44.951571,-93.29447,10,Lowry Hill East,Calhoun Isles,1,3
-93.260273,45.003352,23,12/18/2016 11:24am,Snow Emergency,"1504 5th st ne,Minneapolis,MN",45.003352,-93.260273,3,Sheridan,Northeast,2,2
-93.294527,44.944282,24,12/18/2016 02:32pm,Snow Emergency,"3210 Emerson Ave s,Minneapolis,MN",44.944282,-93.294527,10,CARAG,Calhoun Isles,2,5
-93.24607,44.983612,25,12/18/2016 10:25am,Snow Emergency,"324 7th ave se,Minneapolis,MN",44.983612,-93.24607,3,Marcy-Holmes,University,2,4
-93.232921,44.988868,26,12/18/2016 11:24am,Snow Emergency,"1034 13th ave se,Minneapolis,MN",44.988868,-93.232921,2,Como,University,2,4
-93.2923,44.945898,27,12/18/2016 02:32pm,Snow Emergency,"3116 colfax ave s,Minneapolis,MN",44.945898,-93.2923,10,CARAG,Calhoun Isles,2,5
-93.279345,44.991053,28,12/17/2016 09:51pm,Snow Emergency,"935 2ND ST N ,Minneapolis,MN",44.991053,-93.279345,3,North Loop,Central,1,1
-93.233289,44.988047,29,12/18/2016 11:26am,Snow Emergency,"1004 13th ave se,Minneapolis,MN",44.988047,-93.233289,2,Como,University,2,4
-93.270005,44.916895,30,12/17/2016 09:51pm,Snow Emergency,"4733 4TH AVE S ,Minneapolis,MN",44.916895,-93.270005,8,Field,Nokomis,1,5
-93.247093,44.942945,31,12/18/2016 02:32pm,Snow Emergency,"1828 33rd st E,Minneapolis,MN",44.942945,-93.247093,9,Corcoran,Powderhorn,2,6
-93.239339,44.982376,32,12/18/2016 11:27am,Snow Emergency,"410 11th Ave SE,Minneapolis,MN",44.982376,-93.239339,3,Marcy-Holmes,University,2,4
-93.263004,44.947497,33,12/17/2016 09:51pm,Snow Emergency,"3024 Chicago Avenue South,Minneapolis,MN",44.947497,-93.263004,9,Central,Powderhorn,1,5
-93.274513,44.963968,34,12/18/2016 02:33pm,Snow Emergency,"144 19TH ST E,Minneapolis,MN",44.963968,-93.274513,6,Stevens Square,Central,2,3
-93.234551,44.986983,35,12/18/2016 11:27am,Snow Emergency,"946 12th ave se,Minneapolis,MN",44.986983,-93.234551,2,Como,University,2,4
-93.273561,44.987185,36,12/17/2016 09:52pm,Snow Emergency,"500-799 2nd st n,Minneapolis,MN",44.987185,-93.273561,3,North Loop,Central,1,1
-93.253918,45.003068,37,12/18/2016 02:33pm,Snow Emergency,"668 15th ave ne,Minneapolis,MN",45.003068,-93.253918,1,Logan Park,Northeast,2,2
-93.283395,45.012185,38,12/18/2016 10:26am,Snow Emergency,"3118 3rd st n,Minneapolis,MN",45.012185,-93.283395,5,Hawthorne,Near-North,2,1
-93.268187,44.968046,39,12/18/2016 01:36am,Snow Emergency,"523 15TH ST E,Minneapolis,MN",44.968046,-93.268187,6,Elliot Park,Central,2,3
-93.299125,44.996828,40,12/18/2016 10:26am,Snow Emergency,"1714 Irving Ave. N. ,Minneapolis,MN",44.996828,-93.299125,5,Near-North,Near-North,2,1
-93.312068,44.990544,41,12/18/2016 02:34pm,Snow Emergency,"1218 Sheridan Ave n,Minneapolis,MN",44.990544,-93.312068,5,Willard-Hay,Near-North,2,1
-93.243798,44.98418,42,12/18/2016 11:27am,Snow Emergency,"410 8th ave se,Minneapolis,MN",44.98418,-93.243798,3,Marcy-Holmes,University,2,4
-93.269785,44.935516,43,12/17/2016 09:53pm,Snow Emergency,"3715 4TH AVE S,Minneapolis,MN",44.935516,-93.269785,8,Central,Powderhorn,1,5
-93.233074,44.990904,44,12/18/2016 01:36pm,Snow Emergency,"1102 13th ave se,Minneapolis,MN",44.990904,-93.233074,2,Como,University,2,4
-93.260023,44.937288,45,12/18/2016 10:27am,Snow Emergency,"3610 10th Avenue South,Minneapolis,MN",44.937288,-93.260023,9,Powderhorn Park,Powderhorn,2,6
-93.286192,45.002335,46,12/18/2016 11:27am,Snow Emergency,"2226 6th st n,Minneapolis,MN",45.002335,-93.286192,5,Hawthorne,Near-North,2,1
-93.251474,44.944386,47,12/18/2016 02:34pm,Snow Emergency,"3204 16th Avenue South,Minneapolis,MN",44.944386,-93.251474,9,Powderhorn Park,Powderhorn,2,6
-93.256644,44.947041,48,12/18/2016 01:36pm,Snow Emergency,"3038 13th ave s,Minneapolis,MN",44.947041,-93.256644,9,Powderhorn Park,Powderhorn,2,6
-93.245093,44.984832,49,12/18/2016 10:28am,Snow Emergency,"420 7th ave se,Minneapolis,MN",44.984832,-93.245093,3,Marcy-Holmes,University,2,4
-93.262634,44.943534,50,12/17/2016 09:55pm,Snow Emergency,"3238 Chicago Avenue South,Minneapolis,MN",44.943534,-93.262634,9,Central,Powderhorn,1,5
-93.267119,44.996217,51,12/18/2016 11:28am,Snow Emergency,"108 9th ave ne,Minneapolis,MN",44.996217,-93.267119,3,St. Anthony West,Northeast,2,2
