X,Y,FID,Citation,Date,Address,X_Coord,Y_Coord,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID
-93.315940685453469,45.012534483637822,6001,271115545000,2015-12-31T00:00:00.000Z,3121 VINCENT AVE N,-10387883,5623495,478.1000(C),SNOW EMERGENCY ODD,4,Jordan,Near North,Day 3
-93.302897147528057,45.001953309261033,6002,271115556000,2015-12-31T00:00:00.000Z,2225 ILLION AVE N,-10386431,5621829,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,Day 3
-93.26726996335988,45.002023179367512,6003,271115557000,2015-12-31T00:00:00.000Z,163 14TH AVE NE,-10382465,5621840,478.1000(C),SNOW EMERGENCY ODD,3,Sheridan,Northeast,Day 3
-93.315940685453469,45.012553535610188,6004,271115545000,2015-12-31T00:00:00.000Z,3123 VINCENT AVE N,-10387883,5623498,478.1000(C),SNOW EMERGENCY ODD,4,Jordan,Near North,Day 3
-93.286529843051397,45.013214000067485,6005,271115499000,2015-12-31T00:00:00.000Z,3205 6TH ST N,-10384609,5623602,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.31338048689372,45.00246780532138,6006,271115542000,2015-12-31T00:00:00.000Z,2301 THOMAS AVE N,-10387598,5621910,478.1000(C),SNOW EMERGENCY ODD,5,Willard - Hay,Near North,Day 3
-93.309571630089053,45.013283856439671,6007,271115545000,2015-12-31T00:00:00.000Z,3205 QUEEN AVE N,-10387174,5623613,478.1000(C),SNOW EMERGENCY ODD,4,Cleveland,Camden,Day 3
-93.283439638474022,45.013360063293959,6008,271115499000,2015-12-31T00:00:00.000Z,3219 3RD ST N,-10384265,5623625,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.283439638474022,45.002645654736739,6009,271115499000,2015-12-31T00:00:00.000Z,2305 3RD ST N,-10384265,5621938,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.302088663772338,45.002709172251279,6010,271115556000,2015-12-31T00:00:00.000Z,2311 ILLION AVE N,-10386341,5621948,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,Day 3
-93.296905384582971,45.01338546555619,6011,271115556000,2015-12-31T00:00:00.000Z,3211 GIRARD AVE N,-10385764,5623629,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.296905384582971,45.013417218368133,6012,271115556000,2015-12-31T00:00:00.000Z,3213 GIRARD AVE N,-10385764,5623634,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.291102267847563,45.002728227491922,6013,271115499000,2015-12-31T00:00:00.000Z,2311 BRYANT AVE N,-10385118,5621951,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.283439638474022,45.002753634469563,6014,271115499000,2015-12-31T00:00:00.000Z,2315 3RD ST N,-10384265,5621955,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.305771756437238,45.013455321719221,6015,271115556000,2015-12-31T00:00:00.000Z,3211 NEWTON AVE N,-10386751,5623640,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.283439638474022,45.013455321719221,6016,271115499000,2015-12-31T00:00:00.000Z,3227 3RD ST N,-10384265,5623640,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.262625673340978,45.003109330973565,6017,271115555000,2015-12-31T00:00:00.000Z,347 15TH AVE NE,-10381948,5622011,478.1000(C),SNOW EMERGENCY ODD,3,Sheridan,Northeast,Day 3
-93.252286064420758,45.003115682676786,6018,271115557000,2015-12-31T00:00:00.000Z,713 15TH AVE NE,-10380797,5622012,478.1000(C),SNOW EMERGENCY ODD,1,Logan Park,Northeast,Day 3
-93.29817200913358,45.013468022830615,6019,271115556000,2015-12-31T00:00:00.000Z,3215 HUMBOLDT AVE N,-10385905,5623642,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.312113862343125,45.013474373385264,6020,271115545000,2015-12-31T00:00:00.000Z,3211 SHERIDAN AVE N,-10387457,5623643,478.1000(C),SNOW EMERGENCY ODD,4,Cleveland,Camden,Day 3
-93.31338048689372,45.003166496277146,6021,271115542000,2015-12-31T00:00:00.000Z,2341 THOMAS AVE N,-10387598,5622020,478.1000(C),SNOW EMERGENCY ODD,5,Willard - Hay,Near North,Day 3
-93.29817200913358,45.013569631620385,6022,271115556000,2015-12-31T00:00:00.000Z,3221 HUMBOLDT AVE N,-10385905,5623658,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.304864458000267,45.003337991845676,6023,271115556000,2015-12-31T00:00:00.000Z,2343 LOGAN AVE N,-10386650,5622047,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,Day 3
-93.3007052582348,45.013696642354077,6024,271115556000,2015-12-31T00:00:00.000Z,3227 JAMES AVE N,-10386187,5623678,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.31338048689372,45.00343961860699,6025,271115542000,2015-12-31T00:00:00.000Z,2357 THOMAS AVE N,-10387598,5622063,478.1000(C),SNOW EMERGENCY ODD,5,Willard - Hay,Near North,Day 3
-93.303238507336019,45.01371569393983,6026,271115556000,2015-12-31T00:00:00.000Z,3227 LOGAN AVE N,-10386469,5623681,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.28651187674572,45.003712739634729,6027,271115499000,2015-12-31T00:00:00.000Z,2401 6TH ST N,-10384607,5622106,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.26460196696604,45.013836353835778,6028,271115533000,2015-12-31T00:00:00.000Z,2537 3RD ST NE,-10382168,5623700,478.1000(C),SNOW EMERGENCY ODD,1,Marshall Terrace,Northeast,Day 3
-93.284993723915548,45.003871530331345,6029,271115499000,2015-12-31T00:00:00.000Z,2415 4TH ST N,-10384438,5622131,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.312122845495963,45.014064971888835,6030,271115545000,2015-12-31T00:00:00.000Z,3245 SHERIDAN AVE N,-10387458,5623736,478.1000(C),SNOW EMERGENCY ODD,4,Cleveland,Camden,Day 3
-93.284993723915548,45.003909640033051,6031,271115499000,2015-12-31T00:00:00.000Z,2419 4TH ST N,-10384438,5622137,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.307029397835009,45.014153878662988,6032,271115556000,2015-12-31T00:00:00.000Z,3251 OLIVER AVE N,-10386891,5623750,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.303400204087154,45.004271680934743,6033,271115556000,2015-12-31T00:00:00.000Z,2439 LOGAN AVE N,-10386487,5622194,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,Day 3
-93.246716509659223,45.015004836518358,6034,271115534000,2015-12-31T00:00:00.000Z,949 26TH AVE NE,-10380177,5623884,478.1000(C),SNOW EMERGENCY ODD,1,Audubon Park,Northeast,Day 3
-93.309544680630538,45.00477980465697,6035,271115545000,2015-12-31T00:00:00.000Z,2505 QUEEN AVE N,-10387171,5622274,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,Day 3
-93.265635029542779,45.015011186902576,6036,271115533000,2015-12-31T00:00:00.000Z,237 26TH AVE NE,-10382283,5623885,478.1000(C),SNOW EMERGENCY ODD,1,Marshall Terrace,Northeast,Day 3
-93.309544680630538,45.004856022826573,6037,271115545000,2015-12-31T00:00:00.000Z,2511 QUEEN AVE N,-10387171,5622286,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,Day 3
-93.265724861071192,45.015017537286099,6038,271115533000,2015-12-31T00:00:00.000Z,231 26TH AVE NE,-10382293,5623886,478.1000(C),SNOW EMERGENCY ODD,1,Marshall Terrace,Northeast,Day 3
-93.289575131864552,45.005008458861575,6039,271115499000,2015-12-31T00:00:00.000Z,2517 ALDRICH AVE N,-10384948,5622310,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.228049518055215,45.015068340328888,6040,271115534000,2015-12-31T00:00:00.000Z,2305 26TH AVE NE,-10378099,5623894,478.1000(C),SNOW EMERGENCY ODD,1,Audubon Park,Northeast,Day 3
-93.292638386983413,45.005040216317809,6041,271115499000,2015-12-31T00:00:00.000Z,2519 DUPONT AVE N,-10385289,5622315,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,Day 3
-93.291856852686223,45.015220749186838,6042,271115499000,2015-12-31T00:00:00.000Z,3315 COLFAX AVE N,-10385202,5623918,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.313371503740882,45.005167245966703,6043,271115542000,2015-12-31T00:00:00.000Z,2505 THOMAS AVE N,-10387597,5622335,478.1000(C),SNOW EMERGENCY ODD,5,Willard - Hay,Near North,Day 3
-93.299438633684204,45.015284252757937,6044,271115556000,2015-12-31T00:00:00.000Z,3315 IRVING AVE N,-10386046,5623928,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.258313759977199,45.005275220946778,6045,271115555000,2015-12-31T00:00:00.000Z,607 17TH AVE NE,-10381468,5622352,478.1000(C),SNOW EMERGENCY ODD,1,Holland,Northeast,Day 3
-93.303238507336019,45.015449361713216,6046,271115556000,2015-12-31T00:00:00.000Z,3323 LOGAN AVE N,-10386469,5623954,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.313371503740882,45.005287923872231,6047,271115542000,2015-12-31T00:00:00.000Z,2519 THOMAS AVE N,-10387597,5622354,478.1000(C),SNOW EMERGENCY ODD,5,Willard - Hay,Near North,Day 3
-93.303238507336019,45.01551921535868,6048,271115556000,2015-12-31T00:00:00.000Z,3327 LOGAN AVE N,-10386469,5623965,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.264053994642723,45.005313329714689,6049,271115557000,2015-12-31T00:00:00.000Z,309 17TH AVE NE,-10382107,5622358,478.1000(C),SNOW EMERGENCY ODD,3,Bottineau,Northeast,Day 3
