FID,X,Y,Call_Taken,Location,Day
1,-10380253.852058,5623290.566926,2015-12-29T00:00:00.000Z,2326 Central Ave NE,Day 1
2,-10383337.554427,5618287.072067,2015-12-29T00:00:00.000Z,618 1ST N,Day 1
3,-10383081.88681,5615995.743947,2015-12-29T00:00:00.000Z,1824 3rd ave s,Day 1
4,-10380804.397644,5614750.562962,2015-12-29T00:00:00.000Z,2519 bloomington ave s,Day 1
5,-10380229.976954,5626288.119748,2015-12-29T00:00:00.000Z,3447 Central Ave NE,Day 1
6,-10384731.421954,5627437.89912,2015-12-29T00:00:00.000Z,4540 Lyndale Ave n,Day 1
7,-10384705.06942,5627712.809874,2015-12-29T00:00:00.000Z,4643 lyndale ave n,Day 1
8,-10379007.136858,5616254.842316,2015-12-29T00:00:00.000Z,702 25th ave s,Day 1
9,-10384662.919607,5627956.443479,2015-12-29T00:00:00.000Z,4729 Lyndale Ave n,Day 1
10,-10384701.968156,5627734.437127,2015-12-29T00:00:00.000Z,4651 lyndale ave. n,Day 1
11,-10381943.008856,5608157.284405,2015-12-29T00:00:00.000Z,4859 Chicago av s,Day 1
12,-10379006.965041,5616208.469167,2015-12-29T00:00:00.000Z,720 25th ave s,Day 1
13,-10379007.117767,5616249.689744,2015-12-29T00:00:00.000Z,704 25th ave s,Day 1
14,0,0,2015-12-29T00:00:00.000Z,chicago ave s/34th st e,Day 1
15,-10379007.003222,5616218.774312,2015-12-29T00:00:00.000Z,716 25th Ave s,Day 1
16,-10383067.975459,5615636.513343,2015-12-29T00:00:00.000Z,2005 3rd Ave S,Day 1
17,-10382808.688892,5613284.451711,2015-12-29T00:00:00.000Z,3040 4TH AVE S,Day 1
18,-10381927.492188,5610727.571089,2015-12-29T00:00:00.000Z,3953 chicago ave s,Day 1
19,-10383086.217812,5609150.535711,2015-12-29T00:00:00.000Z,4504 3rd av s,Day 1
20,-10381930.337021,5621668.977788,2015-12-29T00:00:00.000Z,357 13th Ave NE,Day 1
21,-10382796.487802,5613228.472784,2015-12-29T00:00:00.000Z,3063 4TH AVE S,Day 1
22,-10382642.454696,5615107.012052,2015-12-29T00:00:00.000Z,506 24th st e,Day 1
23,-10383308.761578,5619873.016167,2015-12-29T00:00:00.000Z,726 1st St N,Day 1
24,-10383066.540691,5610844.172038,2015-12-29T00:00:00.000Z,3909 3rd ave s,Day 1
25,-10380200.0422,5617325.525726,2015-12-29T00:00:00.000Z,1823 Washington Ave S,Day 1
26,-10384787.433043,5625665.684366,2015-12-29T00:00:00.000Z,3931 lyndale ave n,Day 1
27,-10380253.052266,5617321.396088,2015-12-29T00:00:00.000Z,1810 Washington Ave s,Day 1
28,-10378968.683688,5616259.145384,2015-12-29T00:00:00.000Z,2517 7th st s,Day 1
29,-10383082.582348,5609642.769835,2015-12-29T00:00:00.000Z,4332 3rd Avenue South,Day 1
30,-10383067.433864,5610263.457123,2015-12-29T00:00:00.000Z,4113  3 av s,Day 1
31,-10383067.942103,5615630.708901,2015-12-29T00:00:00.000Z,2009 3rd Ave s,Day 1
32,-10380231.914224,5617318.088064,2015-12-29T00:00:00.000Z,1815 washington ave s,Day 1
33,-10382808.688067,5613279.362539,2015-12-29T00:00:00.000Z,3042 4th ave s,Day 1
34,-10383456.907202,5618166.443554,2015-12-29T00:00:00.000Z,708 1st Ave n,Day 1
35,-10380260.507652,5617317.035269,2015-12-29T00:00:00.000Z,1808 washington ave so,Day 1
36,-10378656.767046,5615482.517997,2015-12-29T00:00:00.000Z,2102 27th ave s,Day 1
37,-10378646.285598,5615217.146165,2015-12-29T00:00:00.000Z,2315 27th ave s,Day 1
38,-10383079.893152,5611402.038657,2015-12-29T00:00:00.000Z,3712 3rd Ave s.,Day 1
39,-10383082.582348,5609642.769835,2015-12-29T00:00:00.000Z,4332 3RD AVE S,Day 1
40,-10384775.015294,5625583.538117,2015-12-29T00:00:00.000Z,3900 Lyndale ave n,Day 1
41,-10383082.288322,5609697.34379,2015-12-29T00:00:00.000Z,4312 3rd Avenue South,Day 1
42,-10384784.200063,5626310.931572,2015-12-29T00:00:00.000Z,4149 lyndale ave n,Day 1
43,-10381383.938064,5623619.509034,2015-12-29T00:00:00.000Z,2507 7th st,Day 1
44,-10383079.616192,5610269.176803,2015-12-29T00:00:00.000Z,4110 3rd ave s,Day 1
45,-10385306.181567,5619388.133046,2015-12-29T00:00:00.000Z,809 van white memorial,Day 1
46,-10382822.649801,5618550.315569,2015-12-29T00:00:00.000Z,320 east hennipen ave,Day 1
47,0,0,2015-12-29T00:00:00.000Z,601 N 7th St,Day 1
48,0,0,2015-12-29T00:00:00.000Z,350 van white mem,Day 1
49,-10380244.818213,5617325.620132,2015-12-29T00:00:00.000Z,1812 washington ave s,Day 1
50,-10385442.308094,5620012.67003,2015-12-29T00:00:00.000Z,1172 van white memorial blvd,Day 1
51,-10378646.190976,5615227.913619,2015-12-29T00:00:00.000Z,2307 27th ave s,Day 1
52,-10380208.583778,5617324.244726,2015-12-29T00:00:00.000Z,1821 Washington Ave S,Day 1
53,-10378646.427531,5615200.994983,2015-12-29T00:00:00.000Z,2327 27th Ave s,Day 1
54,0,0,2015-12-29T00:00:00.000Z,279 w 15th st,Day 1
55,-10384316.378528,5619069.943596,2015-12-29T00:00:00.000Z,601 n 7th st n,Day 1
56,-10381994.869937,5622556.513477,2015-12-29T00:00:00.000Z,1819 University Ave NE,Day 1
57,0,0,2015-12-29T00:00:00.000Z,132 w 15th st,Day 1
58,-10382808.688067,5613279.362539,2015-12-29T00:00:00.000Z,3042 4 AVE S,Day 1
59,0,0,2015-12-29T00:00:00.000Z,279 w 15th st,Day 1
60,0,0,2015-12-29T00:00:00.000Z,160 w 15th,Day 1
61,-10380219.382541,5617334.517257,2015-12-29T00:00:00.000Z,1818 Washington Ave s,Day 1
62,0,0,2015-12-29T00:00:00.000Z,19 w 15th st,Day 1
63,-10380804.692252,5614717.95329,2015-12-29T00:00:00.000Z,2531 bloomington ave s,Day 1
64,-10383067.954481,5615614.665952,2015-12-29T00:00:00.000Z,2021 3rd ave s,Day 1
65,-10378654.595547,5614431.641883,2015-12-29T00:00:00.000Z,2635 27 th ave s,Day 1
66,-10380804.495847,5614739.693072,2015-12-29T00:00:00.000Z,2523 BLOOMINGTON AVE S,Day 1
67,0,0,2015-12-29T00:00:00.000Z,708 VAN WHITE,Day 1
68,-10383081.89013,5615819.100299,2015-12-29T00:00:00.000Z,1912 3rd ave s,Day 1
69,-10380253.983628,5622197.178343,2015-12-29T00:00:00.000Z,1620 Central Ave NE,Day 1
70,-10383072.684647,5619639.487918,2015-12-29T00:00:00.000Z,526 1ST ST N,Day 1
71,-10379867.468881,5618955.288423,2015-12-29T00:00:00.000Z,810 4th st se,Day 1
72,-10381683.073341,5621662.725169,2015-12-29T00:00:00.000Z,13th Ave & 5th St NE,Day 1
73,0,0,2015-12-29T00:00:00.000Z,1120 van white ave n,Day 1
74,0,0,2015-12-29T00:00:00.000Z,1128 van white,Day 1
75,0,0,2015-12-29T00:00:00.000Z,59 n 4th ave,Day 1
76,-10383068.06175,5615475.627061,2015-12-29T00:00:00.000Z,2125 3rd Ave S,Day 1
77,0,0,2015-12-29T00:00:00.000Z,3825 3rd,Day 1
78,-10383070.18945,5616173.572947,2015-12-29T00:00:00.000Z,1723 3rd ave s,Day 1
79,0,0,2015-12-29T00:00:00.000Z,1603 24th AV s,Day 1
80,-10383070.364566,5614694.004461,2015-12-29T00:00:00.000Z,2539 3rd ave s,Day 1
81,-10385434.084318,5618901.537147,2015-12-29T00:00:00.000Z,502 van white memorial,Day 1
82,0,0,2015-12-29T00:00:00.000Z,525 N 2ND ST,Day 1
83,-10383082.381394,5616173.528625,2015-12-29T00:00:00.000Z,1722 3rd Ave S,Day 1
84,-10380798.270689,5615083.77934,2015-12-29T00:00:00.000Z,1527 24th st e,Day 1
85,-10378654.311758,5614463.355463,2015-12-29T00:00:00.000Z,2623 27th ave s,Day 1
86,-10383082.766948,5611919.987959,2015-12-29T00:00:00.000Z,3530 3rd ave s,Day 1
87,0,0,2015-12-29T00:00:00.000Z,14th and washington,Day 1
88,-10383068.249494,5615344.984283,2015-12-29T00:00:00.000Z,2213 3rd ave s,Day 1
89,-10383069.370065,5615069.464521,2015-12-29T00:00:00.000Z,2409 3rd Ave s.,Day 1
90,-10387648.168025,5622748.576561,2015-12-29T00:00:00.000Z,2635 27th ave,Day 1
91,-10381501.359581,5619502.863189,2015-12-29T00:00:00.000Z,1 Lourdes Place,Day 1
92,-10383999.206615,5619274.301351,2015-12-29T00:00:00.000Z,702 5th st n,Day 1
93,0,0,2015-12-29T00:00:00.000Z,160 w 15th st,Day 1
94,-10378430.48905,5615755.467596,2015-12-29T00:00:00.000Z,2816 riverside ave,Day 1
95,-10383067.962732,5615603.970653,2015-12-29T00:00:00.000Z,2029 3rd ave s,Day 1
96,0,0,2015-12-29T00:00:00.000Z,1815 noth emerson,Day 1
97,0,0,2015-12-29T00:00:00.000Z,501 e 15th St,Day 1
98,0,0,2015-12-29T00:00:00.000Z,1158 van white Blvd n,Day 1
99,-10378427.29426,5615753.536685,2015-12-29T00:00:00.000Z,2818 riverside ave,Day 1
100,-10385446.797273,5621763.448059,2015-12-29T00:00:00.000Z,2200 Emerson Ave N,Day 1
101,-10379109.670795,5625878.811384,2015-12-29T00:00:00.000Z,Johnson & 33rd Ave NE,Day 1
102,-10384777.710404,5622553.394109,2015-12-29T00:00:00.000Z,2635 Lyndale Ave N,Day 1
103,-10381460.076245,5616012.958823,2015-12-29T00:00:00.000Z,1810 11th ave s,Day 1
104,-10384778.932514,5623139.442529,2015-12-29T00:00:00.000Z,2925 Lyndale ave n,Day 1
105,-10381447.703621,5615805.963358,2015-12-29T00:00:00.000Z,1919 11th ave s,Day 1
106,-10381953.772377,5613394.871786,2015-12-29T00:00:00.000Z,Chicago ave & Lake St,Day 1
107,-10380241.647327,5623294.457576,2015-12-29T00:00:00.000Z,2329 Central Ave NE,Day 1
108,-10377198.614027,5617244.523905,2015-12-29T00:00:00.000Z,2602 University Ave SE,Day 1
109,0,0,2015-12-30T00:00:00.000Z,2715 east 50th street,Day 1
110,-10383613.463527,5614518.096353,2015-12-30T00:00:00.000Z,21 26TH ST E,Day 1
111,-10384780.734884,5623629.689063,2015-12-29T00:00:00.000Z,3215 lyndale ave n,Day 1
112,-10380159.64317,5613117.954975,2015-12-30T00:00:00.000Z,1836 31st st e,Day 1
113,-10384765.454044,5621760.366911,2015-12-29T00:00:00.000Z,2200 Lyndale ave n,Day 1
114,-10379117.613394,5623992.99914,2015-12-29T00:00:00.000Z,2636 Johnson St NE,Day 1
115,-10379329.764318,5619618.350168,2015-12-30T00:00:00.000Z,875 9th ave se,Day 1
116,-10384767.375544,5623407.303424,2015-12-29T00:00:00.000Z,3100 Lyndale ave n,Day 1
117,-10383616.209934,5614518.126307,2015-12-30T00:00:00.000Z,19 26TH ST E,Day 1
118,-10379107.808316,5624740.154754,2015-12-29T00:00:00.000Z,Johnson & 29th Ave NE,Day 1
119,-10381855.307994,5620480.208969,2015-12-30T00:00:00.000Z,533 2nd St NE,Day 1
120,0,0,2015-12-29T00:00:00.000Z,2303 9 th sts,Day 1
121,-10383837.539525,5614195.619486,2015-12-30T00:00:00.000Z,2715 blaisdell av,Day 1
122,-10378277.76728,5609311.556665,2015-12-30T00:00:00.000Z,4448 30th Ave s,Day 1
123,-10381953.772377,5613394.871786,2015-12-29T00:00:00.000Z,chicago ave s & Lake St,Day 1
124,-10379389.875231,5615856.795973,2015-12-29T00:00:00.000Z,2219 9th st s,Day 1
125,-10383831.032965,5615509.215343,2015-12-30T00:00:00.000Z,2101 Blaisdell Ave S,Day 1
126,-10384780.890726,5623684.540932,2015-12-29T00:00:00.000Z,3235 Lyndale Ave n,Day 1
127,-10383833.814896,5614965.219082,2015-12-30T00:00:00.000Z,2443 blaisdell av,Day 1
128,-10384781.918037,5624207.420743,2015-12-29T00:00:00.000Z,3419 Lyndale Ave n,Day 1
129,-10381455.340445,5619653.032902,2015-12-30T00:00:00.000Z,61 2nd St NE,Day 1
130,-10383838.025432,5614108.688318,2015-12-30T00:00:00.000Z,2747 Blaisdell Ave S,Day 1
131,-10379715.9245,5615852.415338,2015-12-29T00:00:00.000Z,2002 9th st s,Day 1
132,-10381691.010944,5620140.012735,2015-12-30T00:00:00.000Z,355 2nd St NE,Day 1
133,-10379362.737552,5615856.234666,2015-12-29T00:00:00.000Z,2203 9th street s,Day 1
134,-10381455.340445,5619653.032902,2015-12-30T00:00:00.000Z,61 2nd St NE,Day 1
135,-10384781.920789,5624240.291562,2015-12-29T00:00:00.000Z,3431 Lyndale Ave n,Day 1
136,0,0,2015-12-30T00:00:00.000Z,14 ave se,Day 1
137,-10382800.942592,5609028.140563,2015-12-29T00:00:00.000Z,4550 4th av s,Day 1
138,0,0,2015-12-30T00:00:00.000Z,14th ave se 8th st se,Day 1
139,-10382801.260003,5608984.474261,2015-12-29T00:00:00.000Z,4566 4th ave s,Day 1
140,0,0,2015-12-30T00:00:00.000Z,2586 w 43rd st,Day 1
