X,Y,FID,Citation_N,Service_Da,Address,Ordinance,Ordinanc_1,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Snow_Em_Na,Day_ID
-93.264502000267044,44.965232000256663,4001,271118392589,4/16/2018 15:19:00,704 18TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.965232,-93.264502,6,Phillips,Ventura Village,3,Howe,2
-93.302518999752024,44.985269999810669,4002,271118396141,4/16/2018 15:19:00,1716 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.98527,-93.302519,5,Near North,Near - North,1,Howe,2
-93.248322999706659,45.016781999689606,4003,271118394479,4/16/2018 15:19:00,912 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016782,-93.248323,1,Northeast,Columbia Park,2,Howe,2
-93.28593400025386,44.958859999589379,4004,271118393488,4/16/2018 15:19:00,2400 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.95886,-93.285934,10,Powderhorn,Whittier,3,Howe,2
-93.289914000330839,45.048378999890978,4005,271118392256,4/16/2018 15:19:00,5126 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.048379,-93.289914,4,Camden,Lind - Bohanon,1,Howe,2
-93.221660000408633,44.921669999570902,4006,271118364557,4/16/2018 15:20:00,4456 35TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.92167,-93.22166,12,Nokomis,Ericsson,6,Howe,2
-93.209145999788007,44.967601999832482,4007,271118393836,4/16/2018 15:20:00,64 BEDFORD ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.967602,-93.209146,2,University,Prospect Park - East River Road,4,Howe,2
-93.302339999591268,44.985276000087367,4008,271118396789,4/16/2018 15:20:00,1714 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985276,-93.30234,5,Near North,Near - North,1,Howe,2
-93.248458999683066,45.016789000012409,4009,271118394480,4/16/2018 15:20:00,908 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016789,-93.248459,1,Northeast,Columbia Park,2,Howe,2
-93.3069910000346,45.017794999639584,4010,271118396576,4/16/2018 15:20:00,3434 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.017795,-93.306991,4,Camden,Folwell,1,Howe,2
