X,Y,OBJECTID,Citation_N,Date,Address,X_Coordina,Y_Coordina,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,TowDist
-93.299249987474525,45.000231937001807,6001,533626352,2017-01-13T00:00:00.000Z,1513 HILLSIDE AVE N,-10386025,5621558,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,3,1
-93.285658477225795,44.915274260776592,6002,533631352,2017-01-13T00:00:00.000Z,4837 HARRIET AVE S,-10384512,5608193,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.257478326762978,44.954822403203586,6003,533639352,2017-01-13T00:00:00.000Z,2639 12TH AVE S,-10381375,5614412,478.1000(C),SNOW EMERGENCY ODD,9,Midtown Phillips,Phillips,3,3
-93.276774139065864,44.901118326117079,6004,533622352,2017-01-13T00:00:00.000Z,5621 1ST AVE S,-10383523,5605968,478.1000(C),SNOW EMERGENCY ODD,11,Windom,Southwest,3,5
-93.222408098070943,44.956468856800804,6005,533626352,2017-01-13T00:00:00.000Z,2551 34TH AVE S,-10377471,5614671,478.1000(C),SNOW EMERGENCY ODD,2,Seward,Longfellow,3,4
-93.21905738206118,44.948223400850914,6006,533628352,2017-01-13T00:00:00.000Z,3007 37TH AVE S,-10377098,5613374,478.1000(C),SNOW EMERGENCY ODD,2,Longfellow,Longfellow,3,6
-93.266362664922909,45.032637139125747,6007,533614352,2017-01-13T00:00:00.000Z,3539 2ND ST NE,-10382364,5626661,478.1000(C),SNOW EMERGENCY ODD,1,Columbia Park,Northeast,3,2
-93.306688038027033,45.037461741766862,6008,533618352,2017-01-13T00:00:00.000Z,4531 NEWTON AVE N,-10386853,5627421,478.1000(C),SNOW EMERGENCY ODD,4,Victory,Camden,3,1
-93.254981010273113,44.949361433238913,6009,533621352,2017-01-13T00:00:00.000Z,2941 14TH AVE S,-10381097,5613553,478.1000(C),SNOW EMERGENCY ODD,9,Midtown Phillips,Phillips,3,3
-93.225489319495466,44.899947521964584,6010,533626352,2017-01-13T00:00:00.000Z,5731 BOSSEN TERR,-10377814,5605784,478.1000(C),SNOW EMERGENCY ODD,11,Wenonah,Nokomis,3,6
