X,Y,OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward_numbe,Neighborho,Community,Day_Identi,TowDist
-93.217582000309051,44.9732319995572,1001,01/13/2017 02:10pm,Snow Emergency,"2709 4th St se,Minneapolis,MN",44.973232,-93.217582,2,Prospect Park,University,3,4
-93.21695600021917,44.973392999787173,1002,01/13/2017 02:13pm,Snow Emergency,"2715 4thSST se,Minneapolis,MN",44.973393,-93.216956,2,Prospect Park,University,3,4
-93.216538999874899,44.972820000342779,1003,01/13/2017 02:14pm,Snow Emergency,"2807 4th st se,Minneapolis,MN",44.97282,-93.216539,2,Prospect Park,University,3,4
-93.22194500006168,44.97238299997553,1004,01/13/2017 02:16pm,Snow Emergency,"2513 Delaware st se,Minneapolis,MN",44.972383,-93.221945,2,Prospect Park,University,3,4
-93.220765999651121,44.971919000161797,1005,01/13/2017 02:19pm,Snow Emergency,"2601 Delaware st se,Minneapolis,MN",44.971919,-93.220766,2,Prospect Park,University,3,4
-93.216546000197695,44.972822000435031,1006,01/13/2017 02:32pm,Snow Emergency,"2805 4TH ST SE,Minneapolis,MN",44.972822,-93.216546,2,Prospect Park,University,3,4
-93.220568000412868,44.971841000162094,1007,01/13/2017 02:36pm,Snow Emergency,"2615 Delaware st se,Minneapolis,MN",44.971841,-93.220568,2,Prospect Park,University,3,4
-93.270536999782678,44.921371000171561,1008,01/11/2017 10:51pm,Snow Emergency,"4500 block of 4th Avenue South,Minneapolis,MN",44.921371,-93.270537,8,Regina,Nokomis,1,5
-93.27281699970473,44.921353000240806,1009,01/11/2017 11:10pm,Snow Emergency,"4500 block of 3rd ave s,Minneapolis,MN",44.921353,-93.272817,8,Regina,Nokomis,1,5
-93.270536999782678,44.921371000171561,1010,01/11/2017 11:12pm,Snow Emergency,"4500 4th ave S,Minneapolis,MN",44.921371,-93.270537,8,Regina,Nokomis,1,5
-93.240011999554099,44.963971999708058,1011,01/11/2017 10:07pm,Snow Emergency,"2213 9th st s,Minneapolis,MN",44.963972,-93.240012,6,Seward,Longfellow,1,4
-93.237898000092571,44.963068000288025,1012,01/11/2017 10:23pm,Snow Emergency,"2329 9TH ST S,Minneapolis,MN",44.963068,-93.237898,6,Seward,Longfellow,1,4
-93.238798000227519,44.96399399982328,1013,01/11/2017 11:55pm,Snow Emergency,"2304 9th st s,Minneapolis,MN",44.963994,-93.238798,6,Seward,Longfellow,1,4
-93.240520999644389,44.963977999984749,1014,01/12/2017 12:02am,Snow Emergency,"2205 9TH ST S,Minneapolis,MN",44.963978,-93.240521,6,Seward,Longfellow,2,4
-93.238027999792337,44.963965000284588,1015,01/12/2017 12:27am,Snow Emergency,"2325 9th st s,Minneapolis,MN",44.963965,-93.238028,6,Seward,Longfellow,2,4
-93.239684999762915,44.96399800000772,1016,01/12/2017 12:46am,Snow Emergency,"2216 9TH ST S,Minneapolis,MN",44.963998,-93.239685,6,Seward,Longfellow,2,4
-93.242044999776908,44.964031999777042,1017,01/12/2017 12:55am,Snow Emergency,"2128 9th street,Minneapolis,MN",44.964032,-93.242045,6,Seward,Longfellow,2,4
-93.234948999896403,44.963973999800317,1018,01/12/2017 01:02am,Snow Emergency,"2525 9th st s,Minneapolis,MN",44.963974,-93.234949,6,Seward,Longfellow,2,4
