X,Y,OBJECTID,Citation_N,Address,Latitude,Longitude,Neighborho,Community,Ward,Day_ID,Date,Code,Descriptio,Tow_Dist
-93.265739441322125,44.94499969497997,1001,271118304032,624 32ND ST E,44.9449996948,-93.2657394409,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.264404297020633,44.944759369149608,1002,271118304033,710 32ND ST E,44.9447593689,-93.2644042969,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.264434814614958,44.944770813022672,1003,271118304034,712 32ND ST E,44.944770813,-93.2644348145,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.261085509988277,44.944770813022672,1004,271118304035,914 32ND ST E,44.944770813,-93.2610855103,Powderhorn Park,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,6
-93.273635863903962,44.943172455144747,1005,271118304036,212 33RD ST E,44.9431724548,-93.2736358643,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.273338317809078,44.94319152796669,1006,271118304037,220 33RD ST E,44.9431915283,-93.2733383179,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.270782470634458,44.943172455144747,1007,271118304038,338 33RD ST E,44.9431724548,-93.2707824707,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.270568847474294,44.941326141588206,1008,271118304039,348 34TH ST E,44.9413261414,-93.2705688477,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.269752502276106,44.941394805725736,1009,271118304040,412 34TH ST E,44.9413948059,-93.2697525024,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.26610565155454,44.941421508395933,1010,271118304041,532 34TH ST E,44.9414215088,-93.2661056519,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
-93.265869140648306,44.941425323320061,1011,271118304042,538 34TH ST E,44.9414253235,-93.2658691406,Central,Powderhorn,9,2,2018-01-16T00:00:00.000Z,478.1000(b),Snow emergency parking restrictions - even number address,5
