X,Y,OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Ward,Community,Neighborho,Day_identi,TowDist
-93.300924999988695,44.992478000359483,1001,01/17/2018 01:20pm,Snow Emergency,"1329 JAMES AVE N,Minneapolis,MN",44.992478,-93.300925,5,Near North,Near - North,3,1
-93.278752000004772,44.966373999860252,1002,01/17/2018 12:12pm,Snow Emergency,"15 OAK GROVE STREET,Minneapolis,MN",44.966374,-93.278752,7,Central,Loring Park,3,3
-93.285888999977317,44.967008000319026,1003,01/17/2018 01:21pm,Snow Emergency,"1723 CLIFTON PL,Minneapolis,MN",44.967008,-93.285889,7,Central,Loring Park,3,3
-93.283318000125576,44.965571999748022,1004,01/17/2018 01:22pm,Snow Emergency,"245 CLIFTON AVE,Minneapolis,MN",44.965572,-93.283318,7,Central,Loring Park,3,3
-93.297075999657636,44.942203000368238,1005,01/17/2018 01:23pm,Snow Emergency,"3323 GIRARD AVE S,Minneapolis,MN",44.942203,-93.297076,10,Calhoun Isle,CARAG,3,5
-93.245698000062589,44.982219000306657,1006,01/17/2018 01:23pm,Snow Emergency,"207 8THAVE SE,Minneapolis,MN",44.982219,-93.245698,3,University,Marcy - Holmes,3,4
-93.248648000304911,44.940016000238302,1007,01/17/2018 01:24pm,Snow Emergency,"3439 18TH AVE S,Minneapolis,MN",44.940016,-93.248648,9,Powderhorn,Powderhorn Park,3,6
-93.24411499990731,44.94459500005928,1008,01/17/2018 01:25pm,Snow Emergency,"1911 32ND ST E,Minneapolis,MN",44.944595,-93.244115,9,Powderhorn,Corcoran,3,6
-93.244341000436805,44.94458699969033,1009,01/17/2018 01:26pm,Snow Emergency,"1909 32ND ST E,Minneapolis,MN",44.944587,-93.244341,9,Powderhorn,Corcoran,3,6
-93.29549599964065,44.943881000407885,1010,01/17/2018 01:27pm,Snow Emergency,"3225 FREMONT AVE S,Minneapolis,MN",44.943881,-93.295496,10,Calhoun Isle,CARAG,3,5
-93.247966000330621,44.941151000418415,1011,01/17/2018 01:27pm,Snow Emergency,"1813 34TH ST E,Minneapolis,MN",44.941151,-93.247966,9,Powderhorn,Powderhorn Park,3,6
-93.2470809999881,44.982700000005025,1012,01/17/2018 01:27pm,Snow Emergency,"223 - 7TH AVE SE,Minneapolis,MN",44.9827,-93.247081,3,University,Marcy - Holmes,3,4
-93.265004000034537,44.996228999768562,1013,01/17/2018 01:28pm,Snow Emergency,"809 MAIN ST NE,Minneapolis,MN",44.996229,-93.265004,3,Northeast,St. Anthony West,3,2
-93.264347000313762,45.000164999615095,1014,01/17/2018 01:32pm,Snow Emergency,"1205 3RD ST NE,Minneapolis,MN",45.000165,-93.264347,3,Northeast,Sheridan,3,2
-93.294208999645605,44.943752999901051,1015,01/17/2018 01:34pm,Snow Emergency,"3229 EMERSON AVE S ,Minneapolis,MN",44.943753,-93.294209,10,Calhoun Isle,CARAG,3,5
-93.266359999614281,44.99770699957844,1016,01/17/2018 01:34pm,Snow Emergency,"137 10TH AVE NE,Minneapolis,MN",44.997707,-93.26636,3,Northeast,St. Anthony West,3,2
-93.265818999846942,44.99669200043553,1017,01/17/2018 01:35pm,Snow Emergency,"901 MAIN ST NE,Minneapolis,MN",44.996692,-93.265819,3,Northeast,St. Anthony West,3,2
-93.242006999823161,44.944438000013747,1018,01/17/2018 01:35pm,Snow Emergency,"3205 21ST AVE S,Minneapolis,MN",44.944438,-93.242007,9,Powderhorn,Corcoran,3,6
-93.245391000294376,44.944548999736583,1019,01/17/2018 01:36pm,Snow Emergency,"1855 32ND ST E,Minneapolis,MN",44.944549,-93.245391,9,Powderhorn,Corcoran,3,6
