X,Y,OBJECTID,Citation,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Neighborho,Community,Ward,Day_ID,TowDist
-93.219825744962122,44.970352172514822,4001,271118301197,2018-01-24T00:00:00.000Z,2709 ESSEX ST SE,44.9703521729,-93.2198257446,478.1000(c),Snow emergency parking restrictions - odd number address,Prospect Park - East River Road,University,2,3,4
-93.303642272772606,45.016807555724142,4002,271118314158,2018-01-24T00:00:00.000Z,414 33RD AVE N,45.0168075562,-93.3036422729,478.1000(c),Snow emergency parking restrictions - odd number address,Folwell,Camden,4,3,1
-93.294456482280793,44.956073761395032,4003,271118328782,2018-01-24T00:00:00.000Z,2539 EMERSON AVE S,44.956073761,-93.2944564819,478.1000(c),Snow emergency parking restrictions - odd number address,Lowry Hill East,Calhoun Isle,10,3,3
-93.316207885485483,44.986110686958682,4004,271118321051,2018-01-24T00:00:00.000Z,2817 8TH AVE N,44.9861106873,-93.3162078857,478.1000(c),Snow emergency parking restrictions - odd number address,Willard - Hay,Near North,5,3,1
-93.290969848479676,45.036277771002403,4005,271118326597,2018-01-24T00:00:00.000Z,4421 BRYANT AVE N,45.036277771,-93.2909698486,478.1000(c),Snow emergency parking restrictions - odd number address,Lind - Bohanon,Camden,4,3,1
-93.294403076041078,44.956222534442475,4006,271118328783,2018-01-24T00:00:00.000Z,2535 EMERSON AVE S,44.9562225342,-93.2944030762,478.1000(c),Snow emergency parking restrictions - odd number address,Lowry Hill East,Calhoun Isle,10,3,3
-93.307058000426366,45.014293000022008,4007,271118304595,2018-01-24T00:00:00.000Z,3237 NEWTON AVE N,45.014293,-93.307058,478.1000(C),Snow emergency parking restrictions - odd number address,Folwell,Camden,4,3,1
-93.294410705889334,44.956516265613232,4008,271118328784,2018-01-24T00:00:00.000Z,2525 EMERSON AVE S,44.9565162659,-93.2944107056,478.1000(c),Snow emergency parking restrictions - odd number address,Lowry Hill East,Calhoun Isle,10,3,3
-93.316299438268402,44.913993835347298,4009,271118329668,2018-01-24T00:00:00.000Z,4901 VINCENT AVE S,44.9139938354,-93.3162994385,478.1000(c),Snow emergency parking restrictions - odd number address,Fulton,Southwest,13,3,5
-93.311195373767475,44.901805877639219,4010,271118324985,2018-01-24T00:00:00.000Z,5543 RICHMOND CUR,44.9018058777,-93.3111953735,478.1000(c),Snow emergency parking restrictions - odd number address,Armatage,Southwest,13,3,5
-93.294403076041078,44.956947326857687,4011,271118328785,2018-01-24T00:00:00.000Z,2509 EMERSON AVE S,44.9569473267,-93.2944030762,478.1000(c),Snow emergency parking restrictions - odd number address,Lowry Hill East,Calhoun Isle,10,3,3
-93.294387817243944,44.957084656032123,4012,271118328786,2018-01-24T00:00:00.000Z,2507 EMERSON AVE S,44.9570846558,-93.2943878174,478.1000(c),Snow emergency parking restrictions - odd number address,Lowry Hill East,Calhoun Isle,10,3,3
-93.311653136782809,44.987903595174828,4013,271118321052,2018-01-24T00:00:00.000Z,2521 OAK PARK AVE N,44.987903595,-93.3116531372,478.1000(c),Snow emergency parking restrictions - odd number address,Willard - Hay,Near North,5,3,1
-93.311569213848088,44.987911224123764,4014,271118321281,2018-01-24T00:00:00.000Z,2509 OAK PARK AVE N,44.9879112244,-93.3115692139,478.1000(c),Snow emergency parking restrictions - odd number address,Willard - Hay,Near North,5,3,1
-93.307043999780717,45.019657000070538,4015,271118304596,2018-01-24T00:00:00.000Z,3535 OLIVER AVE N,45.019657,-93.307044,478.1000(C),Snow emergency parking restrictions - odd number address,Shingle Creek,Camden,4,3,1
