X,Y,OBJECTID,Call_Taken,Customer,Location,Latitude,Longitude,Day,Ward,Neighborho,Community,TowDist
-93.28110499969597,45.014320000367775,1,1/22/2018  9:26:00pm,Snow Emergency,"3235 2nd st n ,Minneapolis,MN",45.01432,-93.281105,1,4,McKinley,Camden,1
-93.287688000201001,45.039590000178407,2,1/22/2018  9:30:00pm,Snow Emergency,"4635 lyndale ave n,Minneapolis,MN",45.03959,-93.287688,1,4,Lind - Bohanon,Camden,1
-93.279507999794305,45.004469000244228,3,1/22/2018  9:35:00pm,Snow Emergency,"2430 2nd St n ,Minneapolis,MN",45.004469,-93.279508,1,5,Hawthorne,Near North,1
-93.287738999854923,45.038999999950079,4,1/22/2018  9:38:00pm,Snow Emergency,"4615 lyndale ave n,Minneapolis,MN",45.039,-93.287739,1,4,Lind - Bohanon,Camden,1
-93.262878000019668,44.938742999989529,5,1/22/2018  9:43:00pm,Snow Emergency,"3520 Chicago ave s,Minneapolis,MN",44.938743,-93.262878,1,9,Central,Powderhorn,5
-93.262530000159359,44.93709200029565,6,1/22/2018  9:47:00pm,Snow Emergency,"3618 Chicago Avenue South,Minneapolis,MN",44.937092,-93.26253,1,8,Central,Powderhorn,5
-93.29919700034128,44.94706000041873,7,1/22/2018  9:48:00pm,Snow Emergency,"3037 HOLMES AVE,Minneapolis,MN",44.94706,-93.299197,1,10,ECCO,Calhoun Isle,5
-93.299550999578912,44.947815000162166,8,1/22/2018  9:58:00pm,Snow Emergency,"3000 Block of HOLMES AVE S,Minneapolis,MN",44.947815,-93.299551,1,10,ECCO,Calhoun Isle,5
-93.262618999766971,44.943679000085865,9,1/22/2018  9:59:00pm,Snow Emergency,"3235 Chicago Ave S,Minneapolis,MN",44.943679,-93.262619,1,9,Central,Powderhorn,5
-93.282678000289422,44.967837999923802,10,1/22/2018  10:10:00pm,Snow Emergency,"300 15TH ST W,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3
-93.269359000317593,45.000321999660628,11,1/22/2018  10:10:00pm,Snow Emergency,"116 13TH AVE NE,Minneapolis,MN",45.000322,-93.269359,1,3,Sheridan,Northeast,2
-93.279507999794305,45.004427000106034,12,1/22/2018  10:12:00pm,Snow Emergency,"2428 2nd St n ,Minneapolis,MN",45.004427,-93.279508,1,5,Hawthorne,Near North,1
-93.280516999559836,45.004025999600231,13,1/22/2018  10:16:00pm,Snow Emergency,"2431 2nd St n ,Minneapolis,MN",45.004026,-93.280517,1,5,Hawthorne,Near North,1
-93.25325799975684,44.985938000038743,14,1/22/2018  10:19:00pm,Snow Emergency,"200 university Ave sr,Minneapolis,MN",44.985938,-93.253258,1,3,Marcy Holmes,University,4
-93.236750000212282,45.019133000187878,15,1/22/2018  10:20:00pm,Snow Emergency,"2819 Johnson St NE,Minneapolis,MN",45.019133,-93.23675,1,1,Audubon Park,Northeast,2
-93.237438999610106,45.011841000261995,16,1/22/2018  10:21:00pm,Snow Emergency,"2308 Johnson St NE,Minneapolis,MN",45.011841,-93.237439,1,1,Windom Park,Northeast,2
-93.253449999617771,44.98623000001453,17,1/22/2018  10:23:00pm,Snow Emergency,"300 2nd Ave se,Minneapolis,MN",44.98623,-93.25345,1,3,Marcy Holmes,University,4
-93.247612000193612,44.983576999978595,18,1/22/2018  10:25:00pm,Snow Emergency,"600 BLOCK UNIVERSITY AVE SE,Minneapolis,MN",44.983577,-93.247612,1,3,Marcy Holmes,University,4
-93.254708000074118,44.986312000198723,19,1/22/2018  10:26:00pm,Snow Emergency,"100 University ave,Minneapolis,MN",44.986312,-93.254708,1,3,Marcy Holmes,University,4
-93.282678000289422,44.967837999923802,20,1/22/2018  10:28:00pm,Snow Emergency,"300 15st w,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3
-93.288374000359795,45.024644999866894,21,1/22/2018  10:31:00pm,Snow Emergency,"3823 lyndale ave n,Minneapolis,MN",45.024645,-93.288374,1,4,Webber - Camden,Camden,1
-93.281234000248901,44.967868999554753,22,1/22/2018  10:33:00pm,Snow Emergency,"200 w15th,Minneapolis,MN",44.967869,-93.281234,1,7,Loring Park,Central,3
-93.291454000301826,45.040605000220637,23,1/22/2018  10:35:00pm,Snow Emergency,"4709 Bryant Ave n,Minneapolis,MN",45.040605,-93.291454,1,4,Lind - Bohanon,Camden,1
-93.28835000015232,45.019303999979684,24,1/22/2018  10:36:00pm,Snow Emergency,"3527 lyndale ave n ,Minneapolis,MN",45.019304,-93.28835,1,4,McKinley,Camden,1
-93.282678000289422,44.967837999923802,25,1/22/2018  10:37:00pm,Snow Emergency,"300 15th street w,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3
-93.281234000248901,44.967868999554753,26,1/22/2018  10:39:00pm,Snow Emergency,"200 15TH ST W,Minneapolis,MN",44.967869,-93.281234,1,7,Loring Park,Central,3
-93.253449999617771,44.98623000001453,27,1/22/2018  10:42:00pm,Snow Emergency,"300 2nd ave se ,Minneapolis,MN",44.98623,-93.25345,1,3,Marcy Holmes,University,4
-93.278944999911801,44.968254000221975,28,1/22/2018  10:58:00pm,Snow Emergency,"1417 LaSalle Ave,Minneapolis,MN",44.968254,-93.278945,1,7,Loring Park,Central,3
-93.249238999680074,44.983599000093818,29,1/22/2018  11:01:00pm,Snow Emergency,"200 5th ave se,Minneapolis,MN",44.983599,-93.249239,1,3,Marcy Holmes,University,4
-93.291253000025904,45.048475999867549,30,1/22/2018  11:04:00pm,Snow Emergency,"5128 Bryant Ave n ,Minneapolis,MN",45.048476,-93.291253,1,4,Lind - Bohanon,Camden,1
-93.249238999680074,44.983599000093818,31,1/22/2018  11:04:00pm,Snow Emergency,"200 5th ave se,Minneapolis,MN",44.983599,-93.249239,1,3,Marcy Holmes,University,4
-93.26282000004295,44.927344999572142,32,1/22/2018  11:04:00pm,Snow Emergency,"4144 Chicago Ave S,Minneapolis,MN",44.927345,-93.26282,1,8,Bryant,Powderhorn,5
-93.252184999737892,44.946083000330248,33,1/22/2018  11:04:00pm,Snow Emergency,"3113 Bloomington Ave S,Minneapolis,MN",44.946083,-93.252185,1,9,Powderhorn Park,Powderhorn,6
-93.282678000289422,44.967837999923802,34,1/22/2018  11:06:00pm,Snow Emergency,"300 15 St W,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3
-93.247426999756215,45.025577999724987,35,1/22/2018  11:08:00pm,Snow Emergency,"3100 Central Ave NE,Minneapolis,MN",45.025578,-93.247427,1,1,Columbia Park,Northeast,2
-93.25248199994428,44.946010999707937,36,1/22/2018  11:09:00pm,Snow Emergency,"3115 Bloomington ave,Minneapolis,MN",44.946011,-93.252482,1,9,Powderhorn Park,Powderhorn,6
-93.28804200033801,45.019191000164597,37,1/22/2018  11:10:00pm,Snow Emergency,"3521 lyndale ave n ,Minneapolis,MN",45.019191,-93.288042,1,4,McKinley,Camden,1
-93.279822999931469,44.967319000271686,38,1/22/2018  11:11:00pm,Snow Emergency,"1504 LASALLE AVE,Minneapolis,MN",44.967319,-93.279823,1,7,Loring Park,Central,3
-93.291411000117535,45.037764999655053,39,1/22/2018  11:11:00pm,Snow Emergency,"4537 Bryant Ave n ,Minneapolis,MN",45.037765,-93.291411,1,4,Lind - Bohanon,Camden,1
-93.291637999793807,45.037716000093383,40,1/22/2018  11:13:00pm,Snow Emergency,"4535 Bryant Ave n,Minneapolis,MN",45.037716,-93.291638,1,4,Lind - Bohanon,Camden,1
-93.279822999931469,44.967154999903357,41,1/22/2018  11:13:00pm,Snow Emergency,"1512 lasalle ave,Minneapolis,MN",44.967155,-93.279823,1,7,Loring Park,Central,3
-93.2500140003458,44.984306000321737,42,1/22/2018  11:13:00pm,Snow Emergency,"400 university ave se ,Minneapolis,MN",44.984306,-93.250014,1,3,Marcy Holmes,University,4
