X,Y,FID,Citation,Date,Address,X_Coord,Y_Coord,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID
-93.312131828648802,45.020624651087282,5001,271116339000,2016-02-04T00:00:00.000Z,3607 SHERIDAN AVE N,-10387459,5624769,478.1000(C),SNOW EMERGENCY ODD,4,Cleveland,Camden,Day 3
-93.312131828648802,45.020662749642675,5002,271116339000,2016-02-04T00:00:00.000Z,3609 SHERIDAN AVE N,-10387459,5624775,478.1000(C),SNOW EMERGENCY ODD,4,Cleveland,Camden,Day 3
-93.285047622832593,45.020732596928376,5003,271116301000,2016-02-04T00:00:00.000Z,3623 4TH ST N,-10384444,5624786,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.31214081180164,45.020764345666443,5004,271116339000,2016-02-04T00:00:00.000Z,3615 SHERIDAN AVE N,-10387460,5624791,478.1000(C),SNOW EMERGENCY ODD,4,Cleveland,Camden,Day 3
-93.246015823737594,45.020827843089748,5005,271116305000,2016-02-04T00:00:00.000Z,2923 TYLER ST NE,-10380099,5624801,478.1000(C),SNOW EMERGENCY ODD,1,Audubon Park,Northeast,Day 3
-93.294390101787442,45.020961187449473,5006,271116337000,2016-02-04T00:00:00.000Z,3633 EMERSON AVE N,-10385484,5624822,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.303247490488857,45.020967537173142,5007,271116321000,2016-02-04T00:00:00.000Z,3629 LOGAN AVE N,-10386470,5624823,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.271599843029321,45.020999285780924,5008,271116338000,2016-02-04T00:00:00.000Z,2931 RANDOLPH ST NE,-10382947,5624828,478.1000(C),SNOW EMERGENCY ODD,1,Marshall Terrace,Northeast,Day 3
-93.290617177594143,45.021005635500359,5009,271116337000,2016-02-04T00:00:00.000Z,3637 BRYANT AVE N,-10385064,5624829,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.290617177594143,45.021107230915682,5010,271116337000,2016-02-04T00:00:00.000Z,3643 BRYANT AVE N,-10385064,5624845,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.290617177594143,45.021145329149952,5011,271116337000,2016-02-04T00:00:00.000Z,3645 BRYANT AVE N,-10385064,5624851,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,Day 3
-93.304523098192305,45.021323120574671,5012,271116321000,2016-02-04T00:00:00.000Z,3649 MORGAN AVE N,-10386612,5624879,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.238182514460092,45.022281914812275,5013,271116305000,2016-02-04T00:00:00.000Z,1515 30TH AVE NE,-10379227,5625030,478.1000(C),SNOW EMERGENCY ODD,1,Audubon Park,Northeast,Day 3
-93.294408068093134,45.022358109692114,5014,271116337000,2016-02-04T00:00:00.000Z,3709 EMERSON AVE N,-10385486,5625042,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.294408068093134,45.022389857528779,5015,271116337000,2016-02-04T00:00:00.000Z,3711 EMERSON AVE N,-10385486,5625047,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.307083296752054,45.022421605347837,5016,271116321000,2016-02-04T00:00:00.000Z,3707 OLIVER AVE N,-10386897,5625052,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.293150426695348,45.022523198250525,5017,271116337000,2016-02-04T00:00:00.000Z,3719 DUPONT AVE N,-10385346,5625068,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.307092279904893,45.023081955992829,5018,271116321000,2016-02-04T00:00:00.000Z,3745 OLIVER AVE N,-10386898,5625156,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.307092279904893,45.023120052913029,5019,271116321000,2016-02-04T00:00:00.000Z,3747 OLIVER AVE N,-10386898,5625162,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,Day 3
-93.289377502502063,45.024059768919528,5020,271116337000,2016-02-04T00:00:00.000Z,3805 ALDRICH AVE N,-10384926,5625310,478.1000(C),SNOW EMERGENCY ODD,4,Webber - Camden,Camden,Day 3
-93.289377502502063,45.024097865189049,5021,271116337000,2016-02-04T00:00:00.000Z,3807 ALDRICH AVE N,-10384926,5625316,478.1000(C),SNOW EMERGENCY ODD,4,Webber - Camden,Camden,Day 3
-93.296959283500016,45.024256599372457,5022,271116318000,2016-02-04T00:00:00.000Z,3813 GIRARD AVE N,-10385770,5625341,478.1000(C),SNOW EMERGENCY ODD,4,Webber - Camden,Camden,Day 3
