FID,X,Y,Call_Taken,Location,Day
1001,0,0,2016-02-04T00:00:00.000Z,2213 N 4th st,Day 3
1002,-10384957.219149,5619481.375278,2016-02-04T00:00:00.000Z,821 Lyndale PL,Day 3
1003,-10386203.357902,5612199.360843,2016-02-04T00:00:00.000Z,3431 Humboldt Ave South,Day 3
1004,-10380584.871575,5619614.072932,2016-02-04T00:00:00.000Z,521 3rd Ave se,Day 3
1005,-10380602.364753,5619218.152041,2016-02-04T00:00:00.000Z,321 4th ave se,Day 3
1006,-10381960.494769,5620789.164115,2016-02-04T00:00:00.000Z,225 7th Ave NE,Day 3
1007,-10381084.623353,5610800.614112,2016-02-04T00:00:00.000Z,3925 14th ave s,Day 3
1008,-10381478.580086,5620107.110584,2016-02-04T00:00:00.000Z,301 3rd ave ne,Day 3
1009,-10378690.442267,5620059.650897,2016-02-04T00:00:00.000Z,1095 13th ave se,Day 3
1010,-10378689.837165,5619819.816568,2016-02-04T00:00:00.000Z,1045 13th ave se,Day 3
1011,-10378808.623213,5619888.001126,2016-02-04T00:00:00.000Z,1210 talmage ave,Day 3
1012,-10385117.075551,5619732.455209,2016-02-04T00:00:00.000Z,1031 Aldrich Ave N,Day 3
1013,0,0,2016-02-04T00:00:00.000Z,3245 HOLMES,Day 3
1014,-10380340.946351,5619262.813324,2016-02-04T00:00:00.000Z,415 5th Ave se,Day 3
1015,-10384959.698239,5619523.11555,2016-02-04T00:00:00.000Z,903 Lyndale Pl,Day 3
1016,-10380340.946351,5619262.813324,2016-02-04T00:00:00.000Z,415 5th ave se,Day 3
1017,-10385046.317566,5616160.312389,2016-02-04T00:00:00.000Z,1773 BRYANT AVE S,Day 3
1018,0,0,2016-02-04T00:00:00.000Z,3451 Holmes,Day 3
1019,-10385331.554251,5615853.429227,2016-02-04T00:00:00.000Z,1925 dupont av s,Day 3
1020,-10381520.71149,5620603.33522,2016-02-04T00:00:00.000Z,505 4th St NE,Day 3
1021,-10384959.049031,5619501.480559,2016-02-04T00:00:00.000Z,829 Lyndale pl,Day 3
1022,-10380337.627031,5619268.820178,2016-02-04T00:00:00.000Z,419 5th Ave Se,Day 3
