X,Y,OBJECTID,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.287689000247155,45.009733000177846,1,02/07/2019 09:26pm,"2900 LYNDALE AVE N,Minneapolis,MN",45.009733,-93.287689,5,Near North,Hawthorne,1,1,Upton
-93.287841000062087,45.015030999880821,2,02/07/2019 09:40pm,"3300-3399 Lyndale Ave N,Minneapolis,MN",45.015031,-93.287841,4,Camden,McKinley,1,1,Upton
-93.229660999755311,44.988049000261185,3,02/07/2019 09:46pm,"1531 COMO AVE SE,Minneapolis,MN",44.988049,-93.229661,1,University,Como,4,1,Upton
-93.288048999761486,45.018490000213376,4,02/07/2019 09:51pm,"3499 Lyndale Ave n,Minneapolis,MN",45.01849,-93.288049,4,Camden,McKinley,1,1,Upton
-93.287685000062652,45.025888999677647,5,02/07/2019 10:00pm,"3900 lyndale ave n ,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Upton
-93.288052999945933,45.031534000094098,6,02/07/2019 10:13pm,"4199 Lyndale ave n,Minneapolis,MN",45.031534,-93.288053,4,Camden,Webber - Camden,1,1,Upton
-93.232479000205672,44.933783999731872,7,02/07/2019 10:19pm,"3806 28th ave S,Minneapolis,MN",44.933784,-93.232479,12,Powderhorn,Standish,6,1,Upton
-93.268095999630646,44.961732999878109,8,02/07/2019 10:19pm,"2100 Portland Avenue,Minneapolis,MN",44.961733,-93.268096,6,Phillips,Ventura Village,3,1,Upton
-93.273078000049622,44.939439999756246,9,02/07/2019 10:21pm,"3500 block of 3rd ave s,Minneapolis,MN",44.93944,-93.273078,9,Powderhorn,Central,5,1,Upton
-93.227993000176753,44.987596000055419,10,02/07/2019 10:25pm,"1712 Como Ave SE ,Minneapolis,MN",44.987596,-93.227993,2,University,Como,4,1,Upton
-93.229235999941409,44.987982999915573,11,02/07/2019 10:29pm,"1601 COMO AVE SE,Minneapolis,MN",44.987983,-93.229236,1,University,Como,4,1,Upton
-93.272527999867236,44.944665999736173,12,02/07/2019 10:30pm,"3205 3RD Avenue South ,Minneapolis,MN",44.944666,-93.272528,9,Powderhorn,Central,5,1,Upton
-93.287685000062652,45.025888999677647,13,02/07/2019 10:31pm,"3900 lyndale ave n,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Upton
-93.267661000254918,44.968047999715452,14,02/07/2019 10:34pm,"1500 blk portland ave s,Minneapolis,MN",44.968048,-93.267661,6,Central,Elliot Park,3,1,Upton
-93.287685000062652,45.025888999677647,15,02/07/2019 10:37pm,"3900 BLOCK LYNDALE AVE N,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Upton
-93.250664999789876,44.985442999694726,16,02/07/2019 10:38pm,"331 UNIVERSITY AVE SE,Minneapolis,MN",44.985443,-93.250665,3,University,Marcy Holmes,4,1,Upton
-93.240605999966874,44.988561999636602,17,02/07/2019 10:42pm,"830 9th St se,Minneapolis,MN",44.988562,-93.240606,3,University,Marcy Holmes,4,1,Upton
-93.267661000254918,44.968047999715452,18,02/07/2019 10:43pm,"1500 BLOCK PORTLAND AVE S,Minneapolis,MN",44.968048,-93.267661,6,Central,Elliot Park,3,1,Upton
-93.267661000254918,44.968047999715452,19,02/07/2019 10:44pm,"1500 BLOCK PORTLAND AVE S,Minneapolis,MN",44.968048,-93.267661,6,Central,Elliot Park,3,1,Upton
