X,Y,OBJECTID,Citation_N,Date,Address,Ordinance,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.280941,45.014943,1,271119336836,2019-02-12T00:00:00.000Z,3431 2ND ST N,478.1000(a),45.014943,-93.280941,4,Camden,McKinley,1,1,Westminster
-93.23537,44.987818,2,271119340679,2019-02-12T00:00:00.000Z,1116 COMO AVE SE,478.1000(a),44.987818,-93.23537,2,University,Como,4,1,Westminster
-93.235083,44.98786,3,271119340523,2019-02-12T00:00:00.000Z,1108 COMO AVE SE,478.1000(a),44.98786,-93.235083,2,University,Como,4,1,Westminster
-93.234252,44.987892,4,271119340524,2019-02-12T00:00:00.000Z,1203 COMO AVE SE,478.1000(a),44.987892,-93.234252,2,University,Como,4,1,Westminster
-93.234306,44.987827,5,271119340680,2019-02-12T00:00:00.000Z,1202 COMO AVE SE,478.1000(a),44.987827,-93.234306,2,University,Como,4,1,Westminster
-93.239045,44.987805,6,271119341258,2019-02-12T00:00:00.000Z,804 9TH AVE SE,478.1000(a),44.987805,-93.239045,3,University,Marcy Holmes,4,1,Westminster
-93.232591,44.987829,7,271119340525,2019-02-12T00:00:00.000Z,1313 COMO AVE SE,478.1000(a),44.987829,-93.232591,2,University,Como,4,1,Westminster
-93.230003,44.987791,8,271119340682,2019-02-12T00:00:00.000Z,1504 COMO AVE SE,478.1000(a),44.987791,-93.230003,2,University,Como,4,1,Westminster
-93.230082,44.987815,9,271119340681,2019-02-12T00:00:00.000Z,1505 COMO AVE SE,478.1000(a),44.987815,-93.230082,2,University,Como,4,1,Westminster
-93.279744,45.005466,10,271119336837,2019-02-12T00:00:00.000Z,2510 2ND ST N,478.1000(a),45.005466,-93.279744,5,Near North,Hawthorne,1,1,Westminster
-93.229886,44.987876,11,271119340526,2019-02-12T00:00:00.000Z,1519 COMO AVE SE,478.1000(a),44.987876,-93.229886,1,University,Como,4,1,Westminster
-93.229922,44.987798,12,271119340683,2019-02-12T00:00:00.000Z,1508 COMO AVE SE,478.1000(a),44.987798,-93.229922,2,University,Como,4,1,Westminster
-93.239052,44.987999,13,271119341259,2019-02-12T00:00:00.000Z,816 9TH AVE SE,478.1000(a),44.987999,-93.239052,3,University,Marcy Holmes,4,1,Westminster
-93.232184,44.928081,14,271119340646,2019-02-12T00:00:00.000Z,4120 28TH AVE S,478.1000(a),44.928081,-93.232184,12,Powderhorn,Standish,6,1,Westminster
-93.229853,44.98786,15,271119340527,2019-02-12T00:00:00.000Z,1521 COMO AVE SE,478.1000(a),44.98786,-93.229853,1,University,Como,4,1,Westminster
-93.229853,44.987798,16,271119340684,2019-02-12T00:00:00.000Z,1510 COMO AVE SE,478.1000(a),44.987798,-93.229853,2,University,Como,4,1,Westminster
-93.229781,44.987805,17,271119340685,2019-02-12T00:00:00.000Z,1512 COMO AVE SE,478.1000(a),44.987805,-93.229781,2,University,Como,4,1,Westminster
-93.221612,44.97427,18,271119310020,2019-02-12T00:00:00.000Z,618 25TH AVE SE,478.1000(a),44.97427,-93.221612,2,University,Prospect Park - East River Road,4,1,Westminster
-93.218329,44.975131,19,271119340587,2019-02-12T00:00:00.000Z,619 25TH AVE SE,478.1000(a),44.975131,-93.218329,2,University,Prospect Park - East River Road,4,1,Westminster
-93.279883,45.005603,20,271119335737,2019-02-12T00:00:00.000Z,2528 2ND ST N,478.1000(a),45.005603,-93.279883,5,Near North,Hawthorne,1,1,Westminster
-93.218704,44.975031,21,271119340588,2019-02-12T00:00:00.000Z,621 25TH AVE SE,478.1000(a),44.975031,-93.218704,2,University,Prospect Park - East River Road,4,1,Westminster
-93.229367,44.98779,22,271119340686,2019-02-12T00:00:00.000Z,1522 COMO AVE SE,478.1000(a),44.98779,-93.229367,2,University,Como,4,1,Westminster
-93.21751,44.975482,23,271119341159,2019-02-12T00:00:00.000Z,623 25TH AVE SE,478.1000(a),44.975482,-93.21751,2,University,Prospect Park - East River Road,4,1,Westminster
-93.220938,44.974234,24,271119310021,2019-02-12T00:00:00.000Z,620 25TH AVE SE,478.1000(a),44.974234,-93.220938,2,University,Prospect Park - East River Road,4,1,Westminster
-93.217441,44.975673,25,271119341160,2019-02-12T00:00:00.000Z,627 25TH AVE SE,478.1000(a),44.975673,-93.217441,2,University,Prospect Park - East River Road,4,1,Westminster
-93.218994,44.975245,26,271119341161,2019-02-12T00:00:00.000Z,629 25TH AVE SE,478.1000(a),44.975245,-93.218994,2,University,Prospect Park - East River Road,4,1,Westminster
-93.222139,44.987875,27,271119340687,2019-02-12T00:00:00.000Z,2116 COMO AVE SE,478.1000(a),44.987875,-93.222139,2,University,Como,4,1,Westminster
-93.280316,44.999284,28,271119335739,2019-02-12T00:00:00.000Z,2011 2ND ST N,478.1000(a),44.999284,-93.280316,5,Near North,Hawthorne,1,1,Westminster
-93.217319,44.975608,29,271119310022,2019-02-12T00:00:00.000Z,632 25TH AVE SE,478.1000(a),44.975608,-93.217319,2,University,Prospect Park - East River Road,4,1,Westminster
-93.232172,44.912415,30,271119341462,2019-02-12T00:00:00.000Z,5006 28TH AVE S,478.1000(a),44.912415,-93.232172,12,Nokomis,Keewaydin,6,1,Westminster
-93.280334,44.999171,31,271119336838,2019-02-12T00:00:00.000Z,2000 2ND ST N,478.1000(a),44.999171,-93.280334,5,Near North,Hawthorne,1,1,Westminster
-93.222785,44.97463,32,271119310023,2019-02-12T00:00:00.000Z,632 25TH AVE SE,478.1000(a),44.97463,-93.222785,2,University,Prospect Park - East River Road,4,1,Westminster
-93.216426,44.987909,33,271119340688,2019-02-12T00:00:00.000Z,2600 COMO AVE SE,478.1000(a),44.987909,-93.216426,2,University,Como,4,1,Westminster
-93.280254,44.999058,34,271119335740,2019-02-12T00:00:00.000Z,2004 2ND ST N,478.1000(a),44.999058,-93.280254,5,Near North,Near - North,1,1,Westminster
-93.217221,44.973107,35,271119341162,2019-02-12T00:00:00.000Z,2710 4TH ST SE,478.1000(a),44.973107,-93.217221,2,University,Prospect Park - East River Road,4,1,Westminster
-93.237038,45.016181,36,271119341260,2019-02-12T00:00:00.000Z,2633 JOHNSON ST NE,478.1000(a),45.016181,-93.237038,1,Northeast,Audubon Park,2,1,Westminster
-93.235375,44.987873,37,271119340689,2019-02-12T00:00:00.000Z,1103 COMO AVE SE,478.1000(a),44.987873,-93.235375,2,University,Como,4,1,Westminster
-93.214206,44.971717,38,271119310024,2019-02-12T00:00:00.000Z,2830 4TH ST SE,478.1000(a),44.971717,-93.214206,2,University,Prospect Park - East River Road,4,1,Westminster
-93.222734,44.900904,39,271119341463,2019-02-12T00:00:00.000Z,5625 34TH AVE S,478.1000(a),44.900904,-93.222734,12,Nokomis,Morris Park,6,1,Westminster
-93.222902,44.901057,40,271119340647,2019-02-12T00:00:00.000Z,5623 34TH AVE S,478.1000(a),44.901057,-93.222902,12,Nokomis,Morris Park,6,1,Westminster
-93.280059,44.998785,41,271119336839,2019-02-12T00:00:00.000Z,1920 2ND ST N,478.1000(a),44.998785,-93.280059,5,Near North,Near - North,1,1,Westminster
-93.222973,44.900632,42,271119341464,2019-02-12T00:00:00.000Z,5644 34TH AVE S,478.1000(a),44.900632,-93.222973,11,Nokomis,Wenonah,6,1,Westminster
-93.222999,44.900425,43,271119340648,2019-02-12T00:00:00.000Z,5642 34TH AVE S,478.1000(a),44.900425,-93.222999,11,Nokomis,Wenonah,6,1,Westminster
-93.222944,44.899927,44,271119341465,2019-02-12T00:00:00.000Z,5706 34TH AVE S,478.1000(a),44.899927,-93.222944,12,Nokomis,Wenonah,6,1,Westminster
-93.256967,44.988707,45,271119340528,2019-02-12T00:00:00.000Z,25 UNIVERSITY AVE NE,478.1000(a),44.988707,-93.256967,3,University,Nicollet Island - East Bank,2,1,Westminster
-93.257064,44.988813,46,271119340690,2019-02-12T00:00:00.000Z,28 UNIVERSITY AVE NE,478.1000(a),44.988813,-93.257064,3,University,Nicollet Island - East Bank,2,1,Westminster
-93.223011,44.898979,47,271119340649,2019-02-12T00:00:00.000Z,5732 34TH AVE S,478.1000(a),44.898979,-93.223011,11,Nokomis,Wenonah,6,1,Westminster
-93.27612,44.989207,48,271119335741,2019-02-12T00:00:00.000Z,715 2ND ST N,478.1000(a),44.989207,-93.27612,3,Central,North Loop,1,1,Westminster
-93.256768,44.98835,49,271119340691,2019-02-12T00:00:00.000Z,14 UNIVERSITY AVE NE,478.1000(a),44.98835,-93.256768,3,University,Nicollet Island - East Bank,2,1,Westminster
-93.23713,45.021485,50,271119341262,2019-02-12T00:00:00.000Z,2935 JOHNSON ST NE,478.1000(a),45.021485,-93.23713,1,Northeast,Audubon Park,2,1,Westminster
-93.208595,44.957884,51,271119310025,2019-02-12T00:00:00.000Z,307 ST. ANTHONY AVE SE,478.1000(a),44.957884,-93.208595,2,University,Prospect Park - East River Road,4,1,Westminster
-93.248899,44.984447,52,271119340529,2019-02-12T00:00:00.000Z,503 UNIVERSITY AVE SE,478.1000(a),44.984447,-93.248899,3,University,Marcy Holmes,4,1,Westminster
-93.237108,45.030211,53,271119341263,2019-02-12T00:00:00.000Z,3419 JOHNSON ST NE,478.1000(a),45.030211,-93.237108,1,Northeast,Waite Park,2,1,Westminster
-93.248851,44.984408,54,271119340693,2019-02-12T00:00:00.000Z,507 UNIVERSITY AVE SE,478.1000(a),44.984408,-93.248851,3,University,Marcy Holmes,4,1,Westminster
-93.275655,44.988342,55,271119336840,2019-02-12T00:00:00.000Z,701 2ND ST N,478.1000(a),44.988342,-93.275655,3,Central,North Loop,1,1,Westminster
-93.248889,44.984436,56,271119340692,2019-02-12T00:00:00.000Z,505 UNIVERSITY AVE SE,478.1000(a),44.984436,-93.248889,3,University,Marcy Holmes,4,1,Westminster
-93.222997,44.911363,57,271119341466,2019-02-12T00:00:00.000Z,5025 34TH AVE S,478.1000(a),44.911363,-93.222997,12,Nokomis,Keewaydin,6,1,Westminster
-93.275658,44.988297,58,271119335742,2019-02-12T00:00:00.000Z,625 2ND ST N,478.1000(a),44.988297,-93.275658,3,Central,North Loop,1,1,Westminster
-93.208584,44.9578,59,271119341163,2019-02-12T00:00:00.000Z,315 ST. ANTHONY AVE SE,478.1000(a),44.9578,-93.208584,2,University,Prospect Park - East River Road,4,1,Westminster
-93.208591,44.957608,60,271119341164,2019-02-12T00:00:00.000Z,321 ST. ANTHONY AVE SE,478.1000(a),44.957608,-93.208591,2,University,Prospect Park - East River Road,4,1,Westminster
-93.275223,44.987998,61,271119336841,2019-02-12T00:00:00.000Z,619 2ND ST N,478.1000(a),44.987998,-93.275223,3,Central,North Loop,1,1,Westminster
-93.209476,44.957263,62,271119344125,2019-02-12T00:00:00.000Z,323 ST. ANTHONY AVE SE,478.1000(a),44.957263,-93.209476,2,University,Prospect Park - East River Road,4,1,Westminster
-93.209922,44.957386,63,271119310026,2019-02-12T00:00:00.000Z,335 ST. ANTHONY AVE SE,478.1000(a),44.957386,-93.209922,2,University,Prospect Park - East River Road,4,1,Westminster
-93.248019,44.984091,64,271119340530,2019-02-12T00:00:00.000Z,523 UNIVERSITY AVE SE,478.1000(a),44.984091,-93.248019,3,University,Marcy Holmes,4,1,Westminster
-93.209354,44.957456,65,271119344126,2019-02-12T00:00:00.000Z,327 ST. ANTHONY AVE SE,478.1000(a),44.957456,-93.209354,2,University,Prospect Park - East River Road,4,1,Westminster
-93.209833,44.957313,66,271119310027,2019-02-12T00:00:00.000Z,333 ST. ANTHONY AVE SE,478.1000(a),44.957313,-93.209833,2,University,Prospect Park - East River Road,4,1,Westminster
-93.245244,44.982996,67,271119340531,2019-02-12T00:00:00.000Z,717 UNIVERSITY AVE SE,478.1000(a),44.982996,-93.245244,3,University,Marcy Holmes,4,1,Westminster
-93.244725,44.982762,68,271119340532,2019-02-12T00:00:00.000Z,801 UNIVERSITY AVE SE,478.1000(a),44.982762,-93.244725,3,University,Marcy Holmes,4,1,Westminster
-93.274592,44.98771,69,271119335743,2019-02-12T00:00:00.000Z,525 2ND ST N,478.1000(a),44.98771,-93.274592,3,Central,North Loop,1,1,Westminster
-93.209751,44.957046,70,271119310028,2019-02-12T00:00:00.000Z,225 ST. ANTHONY AVE SE,478.1000(a),44.957046,-93.209751,2,University,Prospect Park - East River Road,4,1,Westminster
-93.273866,44.987423,71,271119336842,2019-02-12T00:00:00.000Z,505 2ND ST N,478.1000(a),44.987423,-93.273866,3,Central,North Loop,1,1,Westminster
-93.244622,44.982753,72,271119340533,2019-02-12T00:00:00.000Z,803 UNIVERSITY AVE SE,478.1000(a),44.982753,-93.244622,3,University,Marcy Holmes,4,1,Westminster
-93.273008,44.986553,73,271119335744,2019-02-12T00:00:00.000Z,411 2ND ST N,478.1000(a),44.986553,-93.273008,3,Central,North Loop,3,1,Westminster
-93.272726,44.986356,74,271119336843,2019-02-12T00:00:00.000Z,403 2ND ST N,478.1000(a),44.986356,-93.272726,3,Central,North Loop,3,1,Westminster
-93.255005,44.988611,75,271119340694,2019-02-12T00:00:00.000Z,1 4TH ST NE,478.1000(a),44.988611,-93.255005,3,University,Nicollet Island - East Bank,2,1,Westminster
-93.22299,44.920081,76,271119340650,2019-02-12T00:00:00.000Z,4546 34TH AVE S,478.1000(a),44.920081,-93.22299,12,Nokomis,Ericsson,6,1,Westminster
-93.222916,44.919903,77,271119341467,2019-02-12T00:00:00.000Z,4557 34TH AVE S,478.1000(a),44.919903,-93.222916,12,Nokomis,Ericsson,6,1,Westminster
-93.222994,44.920155,78,271119340651,2019-02-12T00:00:00.000Z,4548 34TH AVE S,478.1000(a),44.920155,-93.222994,12,Nokomis,Ericsson,6,1,Westminster
-93.252548,45.000656,79,271119341264,2019-02-12T00:00:00.000Z,687 13TH AVE NE,478.1000(a),45.000656,-93.252548,1,Northeast,Logan Park,2,1,Westminster
-93.259942,45.000849,80,271119341265,2019-02-12T00:00:00.000Z,509 13TH AVE NE,478.1000(a),45.000849,-93.259942,3,Northeast,Sheridan,2,1,Westminster
-93.21988,44.970389,81,271119310029,2019-02-12T00:00:00.000Z,175 27TH AVE SE,478.1000(a),44.970389,-93.21988,2,University,Prospect Park - East River Road,4,1,Westminster
-93.219721,44.97058,82,271119310030,2019-02-12T00:00:00.000Z,173 27TH AVE SE,478.1000(a),44.97058,-93.219721,2,University,Prospect Park - East River Road,4,1,Westminster
-93.261295,45.00098,83,271119341266,2019-02-12T00:00:00.000Z,414 13TH AVE NE,478.1000(a),45.00098,-93.261295,3,Northeast,Sheridan,2,1,Westminster
-93.219428,44.970924,84,271119344127,2019-02-12T00:00:00.000Z,177 27TH AVE SE,478.1000(a),44.970924,-93.219428,2,University,Prospect Park - East River Road,4,1,Westminster
-93.211531,44.912624,85,271119341468,2019-02-12T00:00:00.000Z,4301 50TH ST E,478.1000(a),44.912624,-93.211531,12,Nokomis,Minnehaha,6,1,Westminster
-93.261359,45.000959,86,271119343529,2019-02-12T00:00:00.000Z,405 13TH AVE NE,478.1000(a),45.000959,-93.261359,3,Northeast,Sheridan,2,1,Westminster
-93.218684,44.972122,87,271119310031,2019-02-12T00:00:00.000Z,215 27TH AVE SE,478.1000(a),44.972122,-93.218684,2,University,Prospect Park - East River Road,4,1,Westminster
-93.262399,45.000881,88,271119343530,2019-02-12T00:00:00.000Z,344 13TH AVE NE,478.1000(a),45.000881,-93.262399,3,Northeast,Sheridan,2,1,Westminster
-93.262896,45.00087,89,271119343531,2019-02-12T00:00:00.000Z,342 13TH AVE NE,478.1000(a),45.00087,-93.262896,3,Northeast,Sheridan,2,1,Westminster
-93.221959,44.912611,90,271119340652,2019-02-12T00:00:00.000Z,3423 50TH ST E,478.1000(a),44.912611,-93.221959,12,Nokomis,Minnehaha,6,1,Westminster
-93.227062,44.973119,91,271119340534,2019-02-12T00:00:00.000Z,309 OAK ST SE,478.1000(a),44.973119,-93.227062,2,University,Prospect Park - East River Road,4,1,Westminster
-93.265776,45.000638,92,271119343532,2019-02-12T00:00:00.000Z,211 13TH AVE NE,478.1000(a),45.000638,-93.265776,3,Northeast,Sheridan,2,1,Westminster
-93.224494,44.970152,93,271119310032,2019-02-12T00:00:00.000Z,918 FULTON ST SE,478.1000(a),44.970152,-93.224494,2,University,Prospect Park - East River Road,4,1,Westminster
-93.225316,44.970376,94,271119344128,2019-02-12T00:00:00.000Z,902 FULTON ST SE,478.1000(a),44.970376,-93.225316,2,University,Prospect Park - East River Road,4,1,Westminster
