X,Y,OBJECTID,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.288021000268884,45.013111000372419,1,02/12/2019 09:18pm,"3201-3299 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Westminster
-93.262588000136077,44.941389999748765,2,02/12/2019 09:19pm,"3398 Chicago ave s,Minneapolis,MN",44.94139,-93.262588,9,Powderhorn,Central,5,1,Westminster
-93.262606000066796,44.943159000387595,3,02/12/2019 09:19pm,"3301 Chicago Avenue South,Minneapolis,MN",44.943159,-93.262606,9,Powderhorn,Central,5,1,Westminster
-93.288036000061311,45.01670799987437,4,02/12/2019 09:26pm,"3400-3498 lyndale ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster
-93.288048999761486,45.018490000213376,5,02/12/2019 09:34pm,"3498 Lyndale Ave n,Minneapolis,MN",45.01849,-93.288049,4,Camden,McKinley,1,1,Westminster
-93.27755899984794,44.963796999731812,6,02/12/2019 09:38pm,"1 E 19TH ST,Minneapolis,MN",44.963797,-93.277559,6,Central,Steven's Square - Loring Heights,3,1,Westminster
-93.288036000061311,45.01670799987437,7,02/12/2019 09:40pm,"3400 Lyndale Ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster
-93.276939000034815,44.964115000007325,8,02/12/2019 09:45pm,"16 EAST / 19TH ST,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster
-93.276939000034815,44.964115000007325,9,02/12/2019 09:47pm,"16 19th st e,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster
-93.262901000180989,44.939686000308711,10,02/12/2019 10:04pm,"3458 Chicago Ave,Minneapolis,MN",44.939686,-93.262901,9,Powderhorn,Central,5,1,Westminster
-93.235311000402305,44.987678000239555,11,02/12/2019 10:08pm,"1116 Como Ave se,Minneapolis,MN",44.987678,-93.235311,2,University,Como,4,1,Westminster
-93.279700999701333,44.948359000067853,12,02/12/2019 10:10pm,"3000 Blaisdell ,Minneapolis,MN",44.948359,-93.279701,10,Powderhorn,Whittier,3,1,Westminster
-93.288113000014903,45.029786000423655,13,02/12/2019 10:11pm,"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster
-93.234368000083123,44.988002999938544,14,02/12/2019 10:14pm,"1203 como ave se,Minneapolis,MN",44.988003,-93.234368,2,University,Como,4,1,Westminster
-93.288113000014903,45.029786000423655,15,02/12/2019 10:14pm,"4100 Lyndale Ave N,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster
-93.288113000014903,45.029786000423655,16,02/12/2019 10:14pm,"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster
