X,Y,FID,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Neighborho,Community,Ward,Snow_Em_Na,Day_ID,Tow_Distri
-93.299407958984006,45.012912750243991,3001,271118356793,2018-02-25T00:00:00.000Z,3123 IRVING AVE N,45.0129127502,-93.299407959,478.1000(c),Snow emergency parking restrictions - odd number address,Jordan,Near North,5,Yardville,3,1
-93.238403320312003,45.024917602539006,3002,271118338661,2018-02-25T00:00:00.000Z,3123 LINCOLN ST NE,45.0249176025,-93.2384033203,478.1000(c),Snow emergency parking restrictions - odd number address,Waite Park,Northeast,1,Yardville,3,2
-93.283157348632002,44.945838928222003,3003,271118356572,2018-02-25T00:00:00.000Z,3123 PLEASANT AVE,44.9458389282,-93.2831573486,478.1000(c),Snow emergency parking restrictions - odd number address,Lyndale,Powderhorn,8,Yardville,3,5
-93.301856994627997,45.004238128661989,3004,271118348940,2018-02-24T00:00:00.000Z,2412 JAMES AVE N,45.0042381287,-93.3018569946,478.1000(b),Snow emergency parking restrictions - even number address,Jordan,Near North,5,Yardville,2,1
-93.27537536621,44.951377868652003,3005,271118350722,2018-02-24T00:00:00.000Z,2814 STEVENS AVE S,44.9513778687,-93.2753753662,478.1000(b),Snow emergency parking restrictions - even number address,Whittier,Powderhorn,10,Yardville,2,3
-93.251289367675,44.958332061766995,3006,271118359449,2018-02-25T00:00:00.000Z,2413 16TH AVE S,44.9583320618,-93.2512893677,478.1000(c),Snow emergency parking restrictions - odd number address,East Phillips,Phillips,9,Yardville,3,3
-93.24072265625,44.945369720458984,3007,271118344229,2018-02-24T00:00:00.000Z,3124 22ND AVE S,44.9453697205,-93.2407226563,478.1000(b),Snow emergency parking restrictions - even number address,Corcoran,Powderhorn,9,Yardville,2,6
-93.260055541992003,44.951381683348998,3008,271118352532,2018-02-25T00:00:00.000Z,2815 10TH AVE S,44.9513816833,-93.260055542,478.1000(c),Snow emergency parking restrictions - odd number address,Midtown Phillips,Phillips,9,Yardville,3,3
-93.236701965332003,44.942947387695,3009,271118343306,2018-02-25T00:00:00.000Z,2413 33RD ST E,44.9429473877,-93.2367019653,478.1000(c),Snow emergency parking restrictions - odd number address,Corcoran,Powderhorn,9,Yardville,3,6
-93.230018615722003,44.946136474608998,3010,271118349485,2018-02-24T00:00:00.000Z,3124 29TH AVE S,44.9461364746,-93.2300186157,478.1000(b),Snow emergency parking restrictions - even number address,Longfellow,Longfellow,2,Yardville,2,6
-93.279029846190994,44.975395202635994,3011,271118352630,2018-02-25T00:00:00.000Z,2815 13TH AVE S,44.9753952026,-93.2790298462,478.1000(c),Snow emergency parking restrictions - odd number address,Downtown West,Central,7,Yardville,3,3
-93.286514282225994,45.004150390624993,3012,271118355938,2018-02-25T00:00:00.000Z,2413 6TH ST N,45.0041503906,-93.2865142822,478.1000(c),Snow emergency parking restrictions - odd number address,Hawthorne,Near North,5,Yardville,3,1
-93.283370971679005,45.012577056883998,3013,271118351230,2018-02-24T00:00:00.000Z,3124 3RD ST N,45.0125770569,-93.2833709717,478.1000(b),Snow emergency parking restrictions - even number address,Hawthorne,Near North,5,Yardville,2,1
-93.31526184082,44.908817291258998,3014,271118324597,2018-02-25T00:00:00.000Z,2815 52ND ST W,44.9088172913,-93.3152618408,478.1000(c),Snow emergency parking restrictions - odd number address,Fulton,Southwest,13,Yardville,3,5
-93.289276123045994,45.009136199950987,3015,271118355992,2018-02-25T00:00:00.000Z,2815 ALDRICH AVE N,45.0091362,-93.289276123,478.1000(c),Snow emergency parking restrictions - odd number address,Hawthorne,Near North,5,Yardville,3,1
-93.293075561522997,45.009075164793998,3016,271118356091,2018-02-25T00:00:00.000Z,2815 DUPONT AVE N,45.0090751648,-93.2930755615,478.1000(c),Snow emergency parking restrictions - odd number address,Hawthorne,Near North,5,Yardville,3,1
-93.300422668457017,44.951789855956996,3017,271118352792,2018-02-25T00:00:00.000Z,2815 HUMBOLDT AVE S,44.951789856,-93.3004226685,478.1000(c),Snow emergency parking restrictions - odd number address,East Isles,Calhoun Isle,7,Yardville,3,3
-93.300376892089005,44.951606750487997,3018,271118352793,2018-02-25T00:00:00.000Z,2815 HUMBOLDT AVE S,44.9516067505,-93.3003768921,478.1000(c),Snow emergency parking restrictions - odd number address,East Isles,Calhoun Isle,7,Yardville,3,3
-93.281181335449006,44.951538085937003,3019,271118352197,2018-02-24T00:00:00.000Z,2815 PILLSBURY AVE,44.9515380859,-93.2811813354,478.1000(b),Snow emergency parking restrictions - even number address,Whittier,Powderhorn,10,Yardville,2,3
-93.263862609862997,44.951297760008998,3020,271118346646,2018-02-24T00:00:00.000Z,2816 COLUMBUS AVE S,44.95129776,-93.2638626099,478.1000(b),Snow emergency parking restrictions - even number address,Phillips West,Phillips,6,Yardville,2,3
-93.217872619627997,44.97024536132799,3021,271118336849,2018-02-24T00:00:00.000Z,2816 DELAWARE ST SE,44.9702453613,-93.2178726196,478.1000(b),Snow emergency parking restrictions - even number address,Prospect Park - East River Road,University,2,Yardville,2,4
