X,Y,OBJECTID,Citation_N,Date,Address,Ordinance,Ordinanc_1,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.305406999833167,45.002783999881729,2001,271119351067,2019-02-21T00:00:00.000Z,2306 LOGAN AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.002784,-93.305407,5,Near North,Jordan,1,2,Yale
-93.285529999609764,45.043449000071348,2002,271119349786,2019-02-21T00:00:00.000Z,5004 6TH ST N,478.1000(b),Snow emergency parking restrictions - even number address,45.043449,-93.28553,4,Camden,Lind - Bohanon,1,2,Yale
-93.249898000392363,44.956517000359327,2003,271119349243,2019-02-21T00:00:00.000Z,2520 17TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.956517,-93.249898,9,Phillips,East Phillips,3,2,Yale
-93.305515000316973,45.002693000181864,2004,271119351068,2019-02-21T00:00:00.000Z,2302 LOGAN AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.002693,-93.305515,5,Near North,Jordan,1,2,Yale
-93.307475999917415,44.90390699970834,2005,271119350664,2019-02-21T00:00:00.000Z,5436 OLIVER AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.903907,-93.307476,13,Southwest,Armatage,5,2,Yale
-93.217814000215924,44.969775000216146,2006,271119312430,2019-02-21T00:00:00.000Z,2830 DELAWARE ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.969775,-93.217814,2,University,Prospect Park - East River Road,4,2,Yale
-93.237897000046473,44.961767999693507,2007,271119346765,2019-02-21T00:00:00.000Z,2100 24TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961768,-93.237897,6,Longfellow,Seward,4,2,Yale
-93.22867200001275,44.949634999555656,2008,271119348322,2019-02-21T00:00:00.000Z,2912 32ND AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.949635,-93.228672,2,Longfellow,Longfellow,4,2,Yale
-93.286778999651062,44.960711000412402,2009,271119352076,2019-02-21T00:00:00.000Z,2204 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.960711,-93.286779,10,Powderhorn,Whittier,3,2,Yale
-93.239851000223439,45.031496000140351,2010,271119342452,2019-02-21T00:00:00.000Z,3502 BUCHANAN ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.031496,-93.239851,1,Northeast,Waite Park,2,2,Yale
-93.245639000039773,44.96879900017376,2011,271119348776,2019-02-21T00:00:00.000Z,1916 5TH ST S,478.1000(b),Snow emergency parking restrictions - even number address,44.968799,-93.245639,6,University,Cedar Riverside,4,2,Yale
-93.289851000123519,44.987308000264079,2012,271119345413,2019-02-21T00:00:00.000Z,720 9TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.987308,-93.289851,5,Near North,Sumner - Glenwood,1,2,Yale
-93.285529999609764,45.043449000071348,2013,271119349787,2019-02-21T00:00:00.000Z,5004 6TH ST N,478.1000(b),Snow emergency parking restrictions - even number address,45.043449,-93.28553,4,Camden,Lind - Bohanon,1,2,Yale
-93.324719000081757,44.945212999780153,2014,271119310161,2019-02-21T00:00:00.000Z,3528 32ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.945213,-93.324719,13,Calhoun Isle,West Calhoun,3,2,Yale
-93.230948999796453,44.942974999996295,2015,271119346719,2019-02-21T00:00:00.000Z,2822 33RD ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.942975,-93.230949,9,Longfellow,Longfellow,6,2,Yale
-93.244758999927853,44.968719000081819,2016,271119348777,2019-02-21T00:00:00.000Z,1918 5TH ST S,478.1000(b),Snow emergency parking restrictions - even number address,44.968719,-93.244759,6,University,Cedar Riverside,4,2,Yale
-93.210274999691421,44.932078000199624,2017,271119336903,2019-02-21T00:00:00.000Z,3212 45TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.932078,-93.210275,12,Longfellow,Howe,6,2,Yale
-93.249952000184635,44.95621399987624,2018,271119349244,2019-02-21T00:00:00.000Z,2528 17TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.956214,-93.249952,9,Phillips,East Phillips,3,2,Yale
-93.248492000305532,44.954028999838499,2019,271119329141,2019-02-21T00:00:00.000Z,1808 27TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.954029,-93.248492,9,Phillips,East Phillips,3,2,Yale
-93.249958999608111,44.956220000152939,2020,271119349245,2019-02-21T00:00:00.000Z,2530 17TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.95622,-93.249959,9,Phillips,East Phillips,3,2,Yale
-93.244846000342591,44.96872400031242,2021,271119348778,2019-02-21T00:00:00.000Z,1920 5TH ST S,478.1000(b),Snow emergency parking restrictions - even number address,44.968724,-93.244846,6,University,Cedar Riverside,4,2,Yale
-93.230790999704823,44.943006999673344,2022,271119346720,2019-02-21T00:00:00.000Z,2824 33RD ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.943007,-93.230791,9,Longfellow,Longfellow,6,2,Yale
-93.228463000267197,44.949691000339442,2023,271119348323,2019-02-21T00:00:00.000Z,2912 32ND AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.949691,-93.228463,2,Longfellow,Longfellow,4,2,Yale
-93.286792000250557,44.958972000257631,2024,271119352077,2019-02-21T00:00:00.000Z,2402 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.958972,-93.286792,10,Powderhorn,Whittier,3,2,Yale
-93.230769999635754,44.942984999558121,2025,271119346721,2019-02-21T00:00:00.000Z,2826 33RD ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.942985,-93.23077,9,Longfellow,Longfellow,6,2,Yale
-93.291928999723496,44.950695999920526,2026,271119349655,2019-02-21T00:00:00.000Z,2836 COLFAX AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.950696,-93.291929,10,Calhoun Isle,Lowry Hill East,3,2,Yale
-93.327777999954719,44.912369999675775,2027,271119347552,2019-02-21T00:00:00.000Z,5004 EWING AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.91237,-93.327778,13,Southwest,Fulton,5,2,Yale
-93.325021999665523,44.945392999987007,2028,271119310162,2019-02-21T00:00:00.000Z,3602 32ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.945393,-93.325022,13,Calhoun Isle,West Calhoun,3,2,Yale
-93.230730999635909,44.94298799969647,2029,271119346722,2019-02-21T00:00:00.000Z,2828 33RD ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.942988,-93.230731,9,Longfellow,Longfellow,6,2,Yale
-93.28679100020446,44.95890599991202,2030,271119352078,2019-02-21T00:00:00.000Z,2404 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.958906,-93.286791,10,Powderhorn,Whittier,3,2,Yale
-93.327785000277515,44.912265000229638,2031,271119347553,2019-02-21T00:00:00.000Z,5006 EWING AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.912265,-93.327785,13,Southwest,Fulton,5,2,Yale
-93.30441399990616,45.00626899961469,2032,271119351069,2019-02-21T00:00:00.000Z,2606 MORGAN AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.006269,-93.304414,5,Near North,Jordan,1,2,Yale
-93.237571000301386,44.962271999553195,2033,271119346766,2019-02-21T00:00:00.000Z,2004 24TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.962272,-93.237571,6,Longfellow,Seward,4,2,Yale
-93.299556999855611,45.029717999985792,2034,271119343500,2019-02-21T00:00:00.000Z,4100 IRVING AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.029718,-93.299557,4,Camden,Webber - Camden,1,2,Yale
-93.327806000346584,44.912118999792085,2035,271119347554,2019-02-21T00:00:00.000Z,5012 EWING AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.912119,-93.327806,13,Southwest,Fulton,5,2,Yale
-93.32778700036971,44.912055999584766,2036,271119348073,2019-02-21T00:00:00.000Z,5014 EWING AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.912056,-93.327787,13,Southwest,Fulton,5,2,Yale
-93.28676499990479,44.958710999912796,2037,271119352079,2019-02-21T00:00:00.000Z,2414 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.958711,-93.286765,10,Powderhorn,Whittier,3,2,Yale
-93.221076999603838,44.925074000065081,2038,271119342682,2019-02-21T00:00:00.000Z,3520 43RD ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.925074,-93.221077,12,Longfellow,Hiawatha,6,2,Yale
-93.304431999836879,45.006596000305251,2039,271119351070,2019-02-21T00:00:00.000Z,2618 MORGAN AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.006596,-93.304432,5,Near North,Jordan,1,2,Yale
-93.270566000220697,44.908215999668698,2040,271119347969,2019-02-21T00:00:00.000Z,5210 HAMPSHIRE DR,478.1000(b),Snow emergency parking restrictions - even number address,44.908216,-93.270566,11,Nokomis,Page,5,2,Yale
-93.317586000293659,44.916739999751258,2041,271119342360,2019-02-21T00:00:00.000Z,4736 WASHBURN AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.91674,-93.317586,13,Southwest,Fulton,5,2,Yale
-93.32615000042216,44.945175999872561,2042,271119310163,2019-02-21T00:00:00.000Z,3628 32ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.945176,-93.32615,13,Calhoun Isle,West Calhoun,3,2,Yale
-93.327792999747089,44.91194800000028,2043,271119348074,2019-02-21T00:00:00.000Z,5018 EWING AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.911948,-93.327793,13,Southwest,Fulton,5,2,Yale
-93.247247000448681,44.967479999602347,2044,271119348779,2019-02-21T00:00:00.000Z,1810 7TH ST S,478.1000(b),Snow emergency parking restrictions - even number address,44.96748,-93.247247,6,University,Cedar Riverside,4,2,Yale
-93.327802000162137,44.911682000324106,2045,271119350019,2019-02-21T00:00:00.000Z,5030 EWING AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.911682,-93.327802,13,Southwest,Fulton,5,2,Yale
-93.291969999815592,44.951328000287049,2046,271119349657,2019-02-21T00:00:00.000Z,2816 COLFAX AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.951328,-93.29197,10,Calhoun Isle,Lowry Hill East,3,2,Yale
-93.229447999825311,45.012990000188438,2047,271119344607,2019-02-21T00:00:00.000Z,2354 BENJAMIN ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.01299,-93.229448,1,Northeast,Windom Park,2,2,Yale
-93.327802000162137,44.911832000046843,2048,271119348075,2019-02-21T00:00:00.000Z,5022 EWING AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.911832,-93.327802,13,Southwest,Fulton,5,2,Yale
-93.270001000245941,44.908805999897027,2049,271119347970,2019-02-21T00:00:00.000Z,5200 HAMPSHIRE DR,478.1000(b),Snow emergency parking restrictions - even number address,44.908806,-93.270001,11,Nokomis,Page,5,2,Yale
-93.220604000274363,44.92511400011108,2050,271119342683,2019-02-21T00:00:00.000Z,3526 43RD ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.925114,-93.220604,12,Longfellow,Hiawatha,6,2,Yale
-93.285529999609764,45.043449000071348,2051,271119349788,2019-02-21T00:00:00.000Z,4650 6TH ST N,478.1000(b),Snow emergency parking restrictions - even number address,45.043449,-93.28553,4,Camden,Lind - Bohanon,1,2,Yale
-93.229442000447932,45.012885999889022,2052,271119344609,2019-02-21T00:00:00.000Z,2346 BENJAMIN ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.012886,-93.229442,1,Northeast,Windom Park,2,2,Yale
-93.231510999632917,44.951078000449399,2053,271119348324,2019-02-21T00:00:00.000Z,2816 28TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.951078,-93.231511,2,Longfellow,Longfellow,4,2,Yale
-93.299607000362755,45.031892000415553,2054,271119343501,2019-02-21T00:00:00.000Z,4216 IRVING AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.031892,-93.299607,4,Camden,Webber - Camden,1,2,Yale
-93.229430999940632,45.012961999796516,2055,271119344608,2019-02-21T00:00:00.000Z,2350 BENJAMIN ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.012962,-93.229431,1,Northeast,Windom Park,2,2,Yale
-93.217852000169614,44.969078000449429,2056,271119312431,2019-02-21T00:00:00.000Z,60 WILLIAMS AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.969078,-93.217852,2,University,Prospect Park - East River Road,4,2,Yale
-93.293249000341063,44.988165000214622,2057,271119345414,2019-02-21T00:00:00.000Z,1106 10TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.988165,-93.293249,5,Near North,Sumner - Glenwood,1,2,Yale
-93.326235999891423,44.945190999664931,2058,271119310164,2019-02-21T00:00:00.000Z,3626 32ND ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.945191,-93.326236,13,Calhoun Isle,West Calhoun,3,2,Yale
-93.29328200006421,44.988158999937923,2059,271119345415,2019-02-21T00:00:00.000Z,1108 10TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.988159,-93.293282,5,Near North,Sumner - Glenwood,1,2,Yale
-93.286768000043139,45.034946000057914,2060,271119349789,2019-02-21T00:00:00.000Z,4642 6TH ST N,478.1000(b),Snow emergency parking restrictions - even number address,45.034946,-93.286768,4,Camden,Camden Industrial,1,2,Yale
