X,Y,OBJECTID,Call_Taken,Location,Tow_Reason,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.287717999785798,45.038699999605342,1,02/20/2019 09:17pm,"4601 Lyndale Ave n ,Minneapolis,MN",Snow Emergency,45.0387,-93.287718,4,Camden,Lind - Bohanon,1,1,Yale
-93.287344999671973,45.040553999667395,2,02/20/2019 09:21pm,"4699 Lyndale Ave n,Minneapolis,MN",Snow Emergency,45.040554,-93.287345,4,Camden,Lind - Bohanon,1,1,Yale
-93.235448999571645,44.987643000424157,3,02/20/2019 09:23pm,"1100 COMO AVE SE,Minneapolis,MN",Snow Emergency,44.987643,-93.235449,2,University,Como,4,1,Yale
-93.262689000297087,44.948356999975601,4,02/20/2019 09:25pm,"3000 Chicago ave ,Minneapolis,MN",Snow Emergency,44.948357,-93.262689,6,Phillips,Phillips West,3,1,Yale
-93.288451000313387,45.027751000108594,5,02/20/2019 09:33pm,"4001 LYNDALE AVE N ,Minneapolis,MN",Snow Emergency,45.027751,-93.288451,4,Camden,Webber - Camden,1,1,Yale
-93.288451000313387,45.027751000108594,6,02/20/2019 09:36pm,"4001 LYNDALE AVE N ,Minneapolis,MN",Snow Emergency,45.027751,-93.288451,4,Camden,Webber - Camden,1,1,Yale
-93.269138000018643,44.939811999823974,7,02/20/2019 09:38pm,"482 E 35TH ST ,Minneapolis,MN",Snow Emergency,44.939812,-93.269138,9,Powderhorn,Central,5,1,Yale
-93.288074000015058,45.025756999885687,8,02/20/2019 09:41pm,"3901-3999 LYNDALE AVE N,Minneapolis,MN",Snow Emergency,45.025757,-93.288074,4,Camden,Webber - Camden,1,1,Yale
-93.28833500035995,45.022258000406453,9,02/20/2019 09:58pm,"3701 LYNDALE AVE N ,Minneapolis,MN",Snow Emergency,45.022258,-93.288335,4,Camden,McKinley,1,1,Yale
-93.273433000232728,44.939561999986381,10,02/20/2019 10:02pm,"250 35th street East,Minneapolis,MN",Snow Emergency,44.939562,-93.273433,9,Powderhorn,Central,5,1,Yale
-93.280216000068322,44.999172999734185,11,02/20/2019 10:04pm,"2001 2ND ST N ,Minneapolis,MN",Snow Emergency,44.999173,-93.280216,5,Near North,Hawthorne,1,1,Yale
-93.28833500035995,45.022258000406453,12,02/20/2019 10:05pm,"3701LYNDALE AVE N ,Minneapolis,MN",Snow Emergency,45.022258,-93.288335,4,Camden,McKinley,1,1,Yale
-93.281184999787854,45.015058000226588,13,02/20/2019 10:07pm,"3301 2ND ST N ,Minneapolis,MN",Snow Emergency,45.015058,-93.281185,4,Camden,McKinley,1,1,Yale
-93.28838700005997,45.01685799959705,14,02/20/2019 10:09pm,"3401 LYNDALE AVE N,Minneapolis,MN",Snow Emergency,45.016858,-93.288387,4,Camden,McKinley,1,1,Yale
-93.287992999877019,45.00024999993758,15,02/20/2019 10:11pm,"2101 LYNDALE AVE N ,Minneapolis,MN",Snow Emergency,45.00025,-93.287993,5,Near North,Hawthorne,1,1,Yale
-93.246819999643208,44.990529000413119,16,02/20/2019 10:16pm,"333 8TH ST SE,Minneapolis,MN",Snow Emergency,44.990529,-93.24682,3,University,Marcy Holmes,4,1,Yale
-93.288083000430106,45.0275360000864,17,02/20/2019 10:17pm,"3999 LYNDALE AVE N ,Minneapolis,MN",Snow Emergency,45.027536,-93.288083,4,Camden,Webber - Camden,1,1,Yale
-93.227087999811317,44.987995999615748,18,02/20/2019 10:17pm,"1741 COMO AVE SE,Minneapolis,MN",Snow Emergency,44.987996,-93.227088,1,University,Como,4,1,Yale
-93.232681999674526,44.984427999652496,19,02/20/2019 10:18pm,"1399 8TH ST SE,Minneapolis,MN",Snow Emergency,44.984428,-93.232682,3,University,Marcy Holmes,4,1,Yale
