X,Y,FID,Citation_N,Date,Address,Latitude,Longitude,Ordinance,Ordinanc_1,Neighborho,Community,Ward,Snow_Em_Na,Day_ID,Tow_Distri
-93.28890228271402,45.043098449706996,3001,271118359139,2018-02-26T00:00:00.000Z,4834 CAMDEN AVE N,45.0430984497,-93.2889022827,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.28889465332,45.043254852293991,3002,271118359140,2018-02-26T00:00:00.000Z,4838 CAMDEN AVE N,45.0432548523,-93.2888946533,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.271568298339005,44.914726257324006,3003,271118343680,2018-02-26T00:00:00.000Z,4844 CLINTON AVE S,44.9147262573,-93.2715682983,478.1000(b),Snow emergency parking restrictions - even number address,Field,Nokomis,8,Xerxes,2,5
-93.290145874022997,45.043590545653998,3004,271118359150,2018-02-26T00:00:00.000Z,4850 ALDRICH AVE N,45.0435905457,-93.290145874,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.288879394530994,45.043571472167997,3005,271118359141,2018-02-26T00:00:00.000Z,4854 CAMDEN AVE N,45.0435714722,-93.2888793945,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.204368591307997,44.907829284668004,3006,271118355030,2018-02-26T00:00:00.000Z,4900 53RD ST E,44.9078292847,-93.2043685913,478.1000(b),Snow emergency parking restrictions - even number address,Minnehaha,Nokomis,12,Xerxes,2,6
-93.203979492187003,44.907550811766988,3007,271118357323,2018-02-26T00:00:00.000Z,4904 53RD ST E,44.9075508118,-93.2039794922,478.1000(b),Snow emergency parking restrictions - even number address,Minnehaha,Nokomis,12,Xerxes,2,6
-93.304908752440994,44.913730621336988,3008,271118354803,2018-02-26T00:00:00.000Z,4910 MORGAN AVE S,44.9137306213,-93.3049087524,478.1000(b),Snow emergency parking restrictions - even number address,Lynnhurst,Southwest,13,Xerxes,2,5
-93.271591186522997,44.913578033446996,3009,271118343679,2018-02-26T00:00:00.000Z,4916 CLINTON AVE S,44.9135780334,-93.2715911865,478.1000(b),Snow emergency parking restrictions - even number address,Field,Nokomis,8,Xerxes,2,5
-93.296630859375,45.044544219969993,3010,271118359179,2018-02-26T00:00:00.000Z,4916 FREMONT AVE N,45.04454422,-93.2966308594,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.304901123046008,44.913551330565994,3011,271118354802,2018-02-26T00:00:00.000Z,4916 MORGAN AVE S,44.9135513306,-93.304901123,478.1000(b),Snow emergency parking restrictions - even number address,Lynnhurst,Southwest,13,Xerxes,2,5
-93.271583557127997,44.913471221923004,3012,271118343271,2018-02-26T00:00:00.000Z,4920 CLINTON AVE S,44.9134712219,-93.2715835571,478.1000(b),Snow emergency parking restrictions - even number address,Field,Nokomis,8,Xerxes,2,5
-93.296684265135994,45.044681549072003,3013,271118359178,2018-02-26T00:00:00.000Z,4920 FREMONT AVE N,45.0446815491,-93.2966842651,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.31290435791,45.045104980467997,3014,271118359387,2018-02-27T00:00:00.000Z,4931 SHERIDAN AVE N,45.0451049805,-93.3129043579,478.1000(c),Snow emergency parking restrictions - odd number address,Shingle Creek,Camden,4,Xerxes,3,1
-93.2564163208,44.987571716307997,3015,271118353141,2018-02-25T00:00:00.000Z,5 UNIVERSITY AVE SE,44.9875717163,-93.2564163208,478.1000(a),Snow emergency parking restrictions - snow emergency route,Nicollet Island - East Bank,University,3,Xerxes,1,4
-93.21594,44.969377,3016,271118360415,2018-02-26T00:00:00.000Z,50 ARTHUR AVE SE,44.969377,-93.21594,478.1000(b),Snow emergency parking restrictions - even number address,Prospect Park - East River Road,University,2,Xerxes,2,4
-93.268768310545994,44.968078613280994,3017,271118357489,2018-02-25T00:00:00.000Z,500 15TH ST W,44.9680786133,-93.2687683105,478.1000(a),Snow emergency parking restrictions - snow emergency route,Elliot Park,Central,7,Xerxes,1,3
-93.272270202635994,44.987709045410007,3018,271118343283,2018-02-25T00:00:00.000Z,500 1ST ST N,44.9877090454,-93.2722702026,478.1000(a),Snow emergency parking restrictions - snow emergency route,North Loop,Central,3,Xerxes,1,1
-93.288642883300014,44.982997894286996,3019,271118335835,2018-02-26T00:00:00.000Z,500 LYNDALE PL,44.9829978943,-93.2886428833,478.1000(b),Snow emergency parking restrictions - even number address,Sumner - Glenwood,Near North,5,Xerxes,2,3
-93.29021453857402,45.046142578124986,3020,271118359149,2018-02-26T00:00:00.000Z,5008 ALDRICH AVE N,45.0461425781,-93.2902145386,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.29019165039,45.046291351317983,3021,271118359148,2018-02-26T00:00:00.000Z,5012 ALDRICH AVE N,45.0462913513,-93.2901916504,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.27237701416,44.987758636473998,3022,271118343284,2018-02-25T00:00:00.000Z,502 1ST ST N,44.9877586365,-93.2723770142,478.1000(a),Snow emergency parking restrictions - snow emergency route,North Loop,Central,3,Xerxes,1,1
-93.286148071289006,44.942909240721995,3023,271118342194,2018-02-26T00:00:00.000Z,502 33RD ST W,44.9429092407,-93.2861480713,478.1000(b),Snow emergency parking restrictions - even number address,Lyndale,Powderhorn,8,Xerxes,2,5
-93.268730163573991,44.935943603515,3024,271118352758,2018-02-26T00:00:00.000Z,502 37TH ST E,44.9359436035,-93.2687301636,478.1000(b),Snow emergency parking restrictions - even number address,Central,Powderhorn,8,Xerxes,2,5
-93.268531799316008,44.932392120361001,3025,271118352765,2018-02-26T00:00:00.000Z,502 39TH ST E,44.9323921204,-93.2685317993,478.1000(b),Snow emergency parking restrictions - even number address,Bryant,Powderhorn,8,Xerxes,2,5
-93.244804382323991,44.985263824461995,3026,271118358539,2018-02-26T00:00:00.000Z,502 7TH AVE SE,44.9852638245,-93.2448043823,478.1000(b),Snow emergency parking restrictions - even number address,Marcy Holmes,University,3,Xerxes,2,4
-93.243052,44.985141,3027,271118356194,2018-02-26T00:00:00.000Z,502 8TH AVE SE,44.985141,-93.243052,478.1000(b),Snow emergency parking restrictions - even number address,Marcy Holmes,University,3,Xerxes,2,4
-93.297927856445,45.046356201171008,3028,271118359182,2018-02-26T00:00:00.000Z,5020 GIRARD AVE N,45.0463562012,-93.2979278564,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.311256408690994,44.911830902098998,3029,271118354801,2018-02-26T00:00:00.000Z,5020 SHERIDAN AVE S,44.9118309021,-93.3112564087,478.1000(b),Snow emergency parking restrictions - even number address,Fulton,Southwest,13,Xerxes,2,5
-93.288742065429005,44.98314285278299,3030,271118340747,2018-02-27T00:00:00.000Z,503 LYNDALE PL,44.9831428528,-93.2887420654,478.1000(c),Snow emergency parking restrictions - odd number address,Sumner - Glenwood,Near North,5,Xerxes,3,3
-93.221534729002997,44.911483764647997,3031,271118355415,2018-02-26T00:00:00.000Z,5032 35TH AVE S,44.9114837646,-93.221534729,478.1000(b),Snow emergency parking restrictions - even number address,Minnehaha,Nokomis,12,Xerxes,2,6
-93.296653747557997,45.04693984985299,3032,271118359177,2018-02-26T00:00:00.000Z,5034 FREMONT AVE N,45.0469398499,-93.2966537476,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.287689208983991,45.04711151123,3033,271118359137,2018-02-26T00:00:00.000Z,5036 6TH ST N,45.0471115112,-93.287689209,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.287651062010994,45.045845031737997,3034,271118359138,2018-02-26T00:00:00.000Z,5036 6TH ST N,45.0458450317,-93.287651062,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.296585083006988,45.047035217285,3035,271118359176,2018-02-26T00:00:00.000Z,5036 FREMONT AVE N,45.0470352173,-93.296585083,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.287643432617003,45.047210693358991,3036,271118359136,2018-02-26T00:00:00.000Z,5038 6TH ST N,45.0472106934,-93.2876434326,478.1000(b),Snow emergency parking restrictions - even number address,Lind - Bohanon,Camden,4,Xerxes,2,1
-93.237655639648011,44.982769012451001,3037,271118356211,2018-02-26T00:00:00.000Z,504 12TH AVE SE,44.9827690125,-93.2376556396,478.1000(b),Snow emergency parking restrictions - even number address,Marcy Holmes,University,3,Xerxes,2,4
-93.27251434326098,44.987808227538991,3038,271118343285,2018-02-25T00:00:00.000Z,504 1ST ST N,44.9878082275,-93.2725143433,478.1000(a),Snow emergency parking restrictions - snow emergency route,North Loop,Central,3,Xerxes,1,1
-93.268859863280994,44.94496536254799,3039,271118352425,2018-02-26T00:00:00.000Z,504 32ND ST E,44.9449653625,-93.2688598633,478.1000(b),Snow emergency parking restrictions - even number address,Central,Powderhorn,9,Xerxes,2,5
