id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
US1MNAA0004,45.409,-93.309,284.1,MN,SAINT FRANCIS 4.0 E,,,SNOW,2010,2019
US1MNAA0005,45.3846,-93.1553,280.4,MN,EAST BETHEL 3.1 NE,,,SNOW,2010,2019
US1MNAA0006,45.1708,-93.257,277.1,MN,BLAINE 2.4 W,,,SNOW,2010,2019
US1MNAA0013,45.1648,-93.2855,267.6,MN,COON RAPIDS 1.4 ESE,,,SNOW,2011,2019
US1MNAA0015,45.1426,-93.1195,273.7,MN,LINO LAKES 2.5 SW,,,SNOW,2011,2019
US1MNAA0020,45.1646,-93.2072,276.5,MN,BLAINE 0.4 S,,,SNOW,2011,2019
US1MNAA0031,45.2488,-93.1597,274.9,MN,HAM LAKE 2.2 E,,,SNOW,2012,2019
US1MNAA0036,45.2582,-93.4114,268.5,MN,RAMSEY 1.9 E,,,SNOW,2013,2019
US1MNAA0054,45.1947,-93.3749,269.1,MN,ANOKA 1.3 SSE,,,SNOW,2015,2019
US1MNAT0001,46.2052,-93.2494,382.2,MN,MCGRATH 2.8 SSE,,,SNOW,1998,2019
US1MNAT0004,46.7138,-93.2885,383.7,MN,MCGREGOR 7.3 N,,,SNOW,2012,2019
US1MNBK0003,46.9583,-95.6551,449.6,MN,ROCHERT 7.0 NNE,,,SNOW,2011,2019
US1MNBK0006,46.7985,-96.1218,442.9,MN,LAKE PARK 6.0 S,,,SNOW,2013,2019
US1MNBK0010,46.8867,-95.8444,420,MN,DETROIT LAKES 5.7 N,,,SNOW,2015,2019
US1MNBU0002,43.975,-93.9586,311.2,MN,MAPLETON 3.5 N,,,SNOW,2010,2019
US1MNBU0006,44.1854,-94.1591,243.2,MN,LAKE CRYSTAL 6.3 NNE,,,SNOW,2010,2019
US1MNBW0001,44.2612,-94.9922,322.5,MN,SPRINGFIELD 1.7 NNW,,,SNOW,2010,2019
US1MNBW0002,44.3217,-94.4771,269.7,MN,NEW ULM 0.8 NW,,,SNOW,2010,2019
US1MNBW0006,44.1112,-94.798,324.6,MN,COMFREY 5.2 E,,,SNOW,2013,2019
US1MNBW0008,44.1511,-94.7852,323.7,MN,COMFREY 6.5 ENE,,,SNOW,2014,2019
US1MNCG0001,45.7169,-92.9257,280.7,MN,RUSH CITY 2.8 NE,,,SNOW,2009,2019
US1MNCG0003,45.3586,-92.8792,283.8,MN,CHISAGO CITY 1.8 ENE,,,SNOW,2011,2019
US1MNCG0007,45.395,-93.0181,277.7,MN,STACY 1.4 NW,,,SNOW,2011,2019
US1MNCG0011,45.3318,-92.8982,275.8,MN,CHISAGO CITY 1.3 SSE,,,SNOW,2011,2019
US1MNCG0016,45.5312,-92.9711,281,MN,NORTH BRANCH 1.3 NNW,,,SNOW,2013,2019
US1MNCG0027,45.5005,-93.0054,278,MN,NORTH BRANCH 2.4 WSW,,,SNOW,1998,2019
US1MNCK0003,47.6239,-90.761,282.5,MN,TOFTE 4.9 NE,,,SNOW,2011,2019
US1MNCN0001,46.7078,-92.3279,362.7,MN,CARLTON 5.6 NE,,,SNOW,2010,2019
US1MNCP0001,44.9453,-95.7203,309.1,MN,MONTEVIDEO 0.4 SSW,,,SNOW,2010,2019
US1MNCS0001,46.4025,-94.4631,402.6,MN,PILLAGER 5.1 N,,,SNOW,2010,2019
US1MNCV0001,44.7573,-93.6416,258.2,MN,CARVER 0.7 W,,,SNOW,2009,2019
US1MNCV0008,44.9663,-93.8489,295.7,MN,WATERTOWN 0.5 NNW,,,SNOW,2011,2019
US1MNCV0012,44.8536,-93.5863,296,MN,CHANHASSEN 1.2 W,,,SNOW,2012,2019
US1MNCV0022,44.8567,-93.6864,301.8,MN,VICTORIA 1.6 WSW,,,SNOW,2014,2019
US1MNCV0027,44.8898,-93.6099,308.5,MN,CHANHASSEN 3.4 NW,,,SNOW,2015,2019
US1MNCW0008,46.3856,-93.9572,374.6,MN,BRAINERD 11.5 E,,,SNOW,2012,2019
US1MNCY0001,46.8877,-96.748,275.5,MN,MOORHEAD 2.0 N,,,SNOW,2007,2019
US1MNCY0006,46.8293,-96.7832,274.9,MN,MOORHEAD 2.8 SW,,,SNOW,2013,2019
US1MNCY0011,46.8836,-96.7134,276.8,MN,DILWORTH 0.8 WNW,,,SNOW,2014,2019
US1MNDD0003,44.0504,-92.7214,368.8,MN,MANTORVILLE 1.9 ESE,,,SNOW,2011,2019
US1MNDD0011,44.0365,-92.9493,394.4,MN,CLAREMONT 2.5 ESE,,,SNOW,2012,2019
US1MNDK0011,44.7608,-93.13,298.7,MN,ROSEMOUNT 3.3 WNW,,,SNOW,2010,2019
US1MNDK0014,44.8344,-93.0358,280.1,MN,INVER GROVE HEIGHTS 1.3 ENE,,,SNOW,2010,2019
US1MNDK0015,44.7914,-93.2304,289.6,MN,BURNSVILLE 3.0 NE,,,SNOW,2010,2019
US1MNDK0016,44.7514,-93.1936,302.4,MN,ROSEMOUNT 6.3 W,,,SNOW,2010,2019
US1MNDK0017,44.6481,-93.2677,304.8,MN,LAKEVILLE 2.2 SSW,,,SNOW,2010,2019
US1MNDK0020,44.6443,-93.2655,321.9,MN,LAKEVILLE 2.4 SSW,,,SNOW,2011,2019
US1MNDK0021,44.8819,-93.0352,250.2,MN,SOUTH SAINT PAUL 0.5 SE,,,SNOW,2011,2019
US1MNDK0022,44.6365,-93.1577,276.8,MN,FARMINGTON 1.5 SSE,,,SNOW,2011,2019
US1MNDK0023,44.7182,-93.121,289.9,MN,ROSEMOUNT 3.3 SW,,,SNOW,2011,2019
US1MNDK0025,44.7788,-93.1453,281.9,MN,EAGAN 2.8 SSE,,,SNOW,2011,2019
US1MNDK0032,44.4722,-93.1702,295,MN,NORTHFIELD 1.1 NNW (126),,,SNOW,2011,2019
US1MNDK0044,44.7208,-93.1497,286.8,MN,ROSEMOUNT 4.5 WSW,,,SNOW,2013,2019
US1MNDK0049,44.6569,-93.2839,311.8,MN,LAKEVILLE 2.1 SW,,,SNOW,2014,2019
US1MNDK0053,44.7042,-93.1846,283.8,MN,LAKEVILLE 3.8 ENE,,,SNOW,2014,2019
US1MNDK0063,44.4835,-93.1284,286.2,MN,NORTHFIELD 2.4 NE,,,SNOW,2015,2019
US1MNDK0070,44.8432,-93.179,267,MN,EAGAN 2.0 NNW,,,SNOW,2015,2019
US1MNDK0073,44.7125,-93.2304,317.3,MN,LAKEVILLE 2.6 NNE,,,SNOW,2015,2019
US1MNDS0003,46.0487,-95.4333,417.3,MN,MILTONA 6.7 W,,,SNOW,2011,2019
US1MNDS0005,45.9677,-95.6025,422.5,MN,BRANDON 0.4 WNW,,,SNOW,2012,2019
US1MNDS0006,45.8333,-95.6043,430.4,MN,KENSINGTON 5.9 NE,,,SNOW,2013,2019
US1MNDS0008,45.8915,-95.3438,434.3,MN,ALEXANDRIA 1.7 ENE,,,SNOW,1998,2019
US1MNFM0001,43.7879,-92.0266,268.8,MN,CHATFIELD 9.0 ESE,,,SNOW,2010,2019
US1MNFM0007,43.713,-92.0518,345.9,MN,PRESTON 3.2 NNE,,,SNOW,2011,2019
US1MNFM0009,43.8388,-92.1991,295.7,MN,CHATFIELD 0.7 SW,,,SNOW,1998,2019
US1MNFM0010,43.7434,-92.3065,323.4,MN,WYKOFF 3.1 NW,,,SNOW,2014,2019
US1MNFN0005,43.638,-93.385,380.4,MN,ALBERT LEA 1.6 SW,,,SNOW,2015,2019
US1MNGH0001,44.5377,-92.5377,319.4,MN,RED WING 4.4 SE,,,SNOW,2009,2019
US1MNGH0003,44.456,-92.2907,213.4,MN,LAKE CITY 1.2 NNW,,,SNOW,2010,2019
US1MNGH0004,44.3425,-92.9792,321.3,MN,NERSTRAND 4.2 E,,,SNOW,2011,2019
US1MNGH0007,44.4955,-92.6111,335.3,MN,RED WING 6.0 S,,,SNOW,2011,2019
US1MNGH0011,44.2567,-92.781,374,MN,WANAMINGO 3.2 S,,,SNOW,2015,2019
US1MNGH0012,44.2362,-92.7644,374.3,MN,PINE ISLAND 6.4 WNW,,,SNOW,2015,2019
US1MNGR0004,45.7846,-95.7804,370.3,MN,KENSINGTON 4.1 W,,,SNOW,2015,2019
US1MNHN0005,45.01,-93.3792,277.1,MN,NEW HOPE 1.9 S,,,SNOW,2009,2019
US1MNHN0006,44.9829,-93.5736,306.3,MN,LONG LAKE 0.2 WSW,,,SNOW,2009,2019
