id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
US1MNAA0004,45.409,-93.309,284.1,MN,SAINT FRANCIS 4.0 E,,,SNWD,2010,2019
US1MNAA0005,45.3846,-93.1553,280.4,MN,EAST BETHEL 3.1 NE,,,SNWD,2010,2019
US1MNAA0054,45.1947,-93.3749,269.1,MN,ANOKA 1.3 SSE,,,SNWD,2015,2019
US1MNAT0004,46.7138,-93.2885,383.7,MN,MCGREGOR 7.3 N,,,SNWD,2012,2019
US1MNBK0006,46.7985,-96.1218,442.9,MN,LAKE PARK 6.0 S,,,SNWD,2013,2019
US1MNBK0010,46.8867,-95.8444,420,MN,DETROIT LAKES 5.7 N,,,SNWD,2015,2019
US1MNBW0001,44.2612,-94.9922,322.5,MN,SPRINGFIELD 1.7 NNW,,,SNWD,2010,2019
US1MNBW0006,44.1112,-94.798,324.6,MN,COMFREY 5.2 E,,,SNWD,2013,2019
US1MNBW0008,44.1511,-94.7852,323.7,MN,COMFREY 6.5 ENE,,,SNWD,2014,2019
US1MNCG0003,45.3586,-92.8792,283.8,MN,CHISAGO CITY 1.8 ENE,,,SNWD,2014,2019
US1MNCG0016,45.5312,-92.9711,281,MN,NORTH BRANCH 1.3 NNW,,,SNWD,2013,2019
US1MNCK0003,47.6239,-90.761,282.5,MN,TOFTE 4.9 NE,,,SNWD,2011,2019
US1MNCN0001,46.7078,-92.3279,362.7,MN,CARLTON 5.6 NE,,,SNWD,2010,2019
US1MNCP0001,44.9453,-95.7203,309.1,MN,MONTEVIDEO 0.4 SSW,,,SNWD,2010,2019
US1MNCS0001,46.4025,-94.4631,402.6,MN,PILLAGER 5.1 N,,,SNWD,2010,2019
US1MNCV0001,44.7573,-93.6416,258.2,MN,CARVER 0.7 W,,,SNWD,2009,2019
US1MNCV0008,44.9663,-93.8489,295.7,MN,WATERTOWN 0.5 NNW,,,SNWD,2011,2019
US1MNCV0022,44.8567,-93.6864,301.8,MN,VICTORIA 1.6 WSW,,,SNWD,2014,2019
US1MNCV0027,44.8898,-93.6099,308.5,MN,CHANHASSEN 3.4 NW,,,SNWD,2015,2019
US1MNCW0008,46.3856,-93.9572,374.6,MN,BRAINERD 11.5 E,,,SNWD,2012,2019
US1MNCY0001,46.8877,-96.748,275.5,MN,MOORHEAD 2.0 N,,,SNWD,2007,2019
US1MNDD0003,44.0504,-92.7214,368.8,MN,MANTORVILLE 1.9 ESE,,,SNWD,2011,2019
US1MNDK0014,44.8344,-93.0358,280.1,MN,INVER GROVE HEIGHTS 1.3 ENE,,,SNWD,2010,2019
US1MNDK0015,44.7914,-93.2304,289.6,MN,BURNSVILLE 3.0 NE,,,SNWD,2010,2019
US1MNDK0044,44.7208,-93.1497,286.8,MN,ROSEMOUNT 4.5 WSW,,,SNWD,2013,2019
US1MNDK0049,44.6569,-93.2839,311.8,MN,LAKEVILLE 2.1 SW,,,SNWD,2014,2019
US1MNDK0053,44.7042,-93.1846,283.8,MN,LAKEVILLE 3.8 ENE,,,SNWD,2014,2019
US1MNDK0063,44.4835,-93.1284,286.2,MN,NORTHFIELD 2.4 NE,,,SNWD,2015,2019
US1MNDK0070,44.8432,-93.179,267,MN,EAGAN 2.0 NNW,,,SNWD,2015,2019
US1MNDK0073,44.7125,-93.2304,317.3,MN,LAKEVILLE 2.6 NNE,,,SNWD,2015,2019
US1MNDS0005,45.9677,-95.6025,422.5,MN,BRANDON 0.4 WNW,,,SNWD,2012,2019
US1MNFM0010,43.7434,-92.3065,323.4,MN,WYKOFF 3.1 NW,,,SNWD,2014,2019
US1MNGH0003,44.456,-92.2907,213.4,MN,LAKE CITY 1.2 NNW,,,SNWD,2010,2019
US1MNGH0004,44.3425,-92.9792,321.3,MN,NERSTRAND 4.2 E,,,SNWD,2011,2019
US1MNHN0005,45.01,-93.3792,277.1,MN,NEW HOPE 1.9 S,,,SNWD,2009,2019
US1MNHN0006,44.9829,-93.5736,306.3,MN,LONG LAKE 0.2 WSW,,,SNWD,2009,2019
US1MNHN0009,45.0039,-93.2895,272.2,MN,MINNEAPOLIS 3.0 NNW,,,SNWD,2009,2019
US1MNHN0014,44.9145,-93.6992,287.1,MN,MINNETRISTA 1.5 SSE,,,SNWD,2010,2019
US1MNHN0017,44.8294,-93.5201,275.8,MN,EDEN PRAIRIE 3.3 WSW,,,SNWD,2010,2019
US1MNHN0019,44.8783,-93.3789,292.6,MN,EDINA 1.3 SW,,,SNWD,2010,2019
US1MNHN0022,44.9289,-93.3163,278.3,MN,MINNEAPOLIS 3.3 SW,,,SNWD,2010,2019
US1MNHN0030,45.0406,-93.4195,290.8,MN,PLYMOUTH 2.4 ENE,,,SNWD,2011,2019
US1MNHN0031,45.1226,-93.4579,275.5,MN,MAPLE GROVE 1.0 NNE,,,SNWD,2011,2019
US1MNHN0072,45.1395,-93.4207,280.4,MN,MAPLE GROVE 2.9 NE,,,SNWD,2012,2019
US1MNHN0078,44.8913,-93.3141,271.9,MN,RICHFIELD 1.9 WNW,,,SNWD,2011,2019
US1MNHN0083,44.9334,-93.6316,285.9,MN,SPRING PARK 0.2 SSE,,,SNWD,2012,2019
US1MNHN0088,44.9846,-93.3744,273.4,MN,GOLDEN VALLEY 0.8 WSW,,,SNWD,2012,2019
US1MNHN0089,44.9154,-93.3585,282.2,MN,EDINA 1.7 N,,,SNWD,2012,2019
US1MNHN0110,44.8687,-93.3394,253.9,MN,EDINA 1.9 SSE,,,SNWD,2014,2019
US1MNHN0128,45.018,-93.3295,274.6,MN,ROBBINSDALE 0.6 SSE,,,SNWD,2015,2019
US1MNHN0134,45.0674,-93.2934,260.9,MN,BROOKLYN CENTER 1.1 E,,,SNWD,2015,2019
US1MNHN0150,45.125,-93.4344,279.2,MN,MAPLE GROVE 1.8 NE,,,SNWD,2015,2019
US1MNHS0004,43.557,-91.513,333.5,MN,CALEDONIA 5.4 S,,,SNWD,2011,2019
US1MNIT0001,47.2227,-93.496,384,MN,GRAND RAPIDS 2.0 E,,,SNWD,2011,2019
US1MNIT0007,47.1369,-93.5666,420.9,MN,GRAND RAPIDS 6.2 SSW,,,SNWD,2013,2019
US1MNKB0003,45.9807,-93.2541,315.8,MN,BROOK PARK 9.0 WNW,,,SNWD,2010,2019
US1MNKD0001,45.407,-94.8466,371.9,MN,BELGRADE 8.0 ESE,,,SNWD,2010,2019
US1MNKD0003,45.1994,-95.0057,367.9,MN,WILLMAR 5.9 NNE,,,SNWD,2011,2019
US1MNLK0005,47.1656,-91.6195,397.2,MN,TWO HARBORS 9.7 NNE,,,SNWD,2012,2019
US1MNLY0002,44.4401,-95.7898,354.2,MN,MARSHALL 0.6 S,,,SNWD,2009,2019
US1MNMC0005,44.7683,-94.1558,304.2,MN,GLENCOE 0.3 WSW,,,SNWD,2012,2019
US1MNMC0007,44.9279,-94.2041,322.8,MN,SILVER LAKE 1.7 N,,,SNWD,2015,2019
