Community,Date,Day,Emergency,Latitude,Location,Longitude,Neighborhood,Time,Tow_Zone,Ward
Near North,02/24/2019,1.0,Armatage,45.00025,"2101 LYNDALE AVE N ,Minneapolis,MN",-93.287993,Hawthorne,21:20,1.0,5.0
Near North,02/24/2019,1.0,Armatage,45.00025,"2101 LYNDALE AVE N ,Minneapolis,MN",-93.287993,Hawthorne,21:23,1.0,5.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.951599,"2806 EMERSON AVE S,Minneapolis,MN",-93.294638,Lowry Hill East,21:25,3.0,10.0
Near North,02/24/2019,1.0,Armatage,45.009708,"2901 Lyndale Ave n ,Minneapolis,MN",-93.288395,Hawthorne,21:35,1.0,5.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.95157800000001,"2800 Emerson Avenue South,Minneapolis,MN",-93.294725,Lowry Hill East,21:36,3.0,10.0
Near North,02/24/2019,1.0,Armatage,45.010657,"2939 Lyndale Ave n,Minneapolis,MN",-93.288386,Hawthorne,21:37,1.0,5.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.950835,"2848 emerson Avenue S,Minneapolis,MN",-93.29474300000001,Lowry Hill East,21:39,3.0,10.0
Near North,02/24/2019,1.0,Armatage,45.009708,"2901 lyndale ave n ,Minneapolis,MN",-93.288395,Hawthorne,21:43,1.0,5.0
Near North,02/24/2019,1.0,Armatage,45.009708,"2901 lyndale ave n,Minneapolis,MN",-93.288395,Hawthorne,21:46,1.0,5.0
Powderhorn,02/24/2019,1.0,Armatage,44.946506,"3100 block of Chicago ave s,Minneapolis,MN",-93.262979,Central,21:46,5.0,9.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.950835,"2848 EMERSON AVE S,Minneapolis,MN",-93.29474300000001,Lowry Hill East,21:48,3.0,10.0
Camden,02/24/2019,1.0,Armatage,45.013111,"3200 -3298 lyndale ave n ,Minneapolis,MN",-93.288021,McKinley,21:51,1.0,4.0
Camden,02/24/2019,1.0,Armatage,45.013111,"3200 -3298 lyndale ave n ,Minneapolis,MN",-93.288021,McKinley,21:54,1.0,4.0
Northeast,02/24/2019,1.0,Armatage,45.030058000000004,"3418 johnson st ne,Minneapolis,MN",-93.237424,Waite Park,21:58,2.0,1.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.950835,"2848 Emerson Ave S,Minneapolis,MN",-93.29474300000001,Lowry Hill East,21:59,3.0,10.0
Northeast,02/24/2019,1.0,Armatage,45.029948,"3414 johnson st ne,Minneapolis,MN",-93.23745100000001,Waite Park,22:02,2.0,1.0
Camden,02/24/2019,1.0,Armatage,45.016858,"3401 Lyndale Ave N,Minneapolis,MN",-93.288387,McKinley,22:09,1.0,4.0
Powderhorn,02/24/2019,1.0,Armatage,44.937618,"3600 block of Chicago ave,Minneapolis,MN",-93.262861,Central,22:10,5.0,8.0
Camden,02/24/2019,1.0,Armatage,45.018646000000004,"3501 lyndale av no ,Minneapolis,MN",-93.28835500000001,McKinley,22:11,1.0,4.0
Northeast,02/24/2019,1.0,Armatage,45.025317,"3142 JOHNSON ST NE,Minneapolis,MN",-93.23736099999999,Waite Park,22:13,2.0,1.0
Powderhorn,02/24/2019,1.0,Armatage,44.941224,"3400 Chicago Ave,Minneapolis,MN",-93.26294,Central,22:14,5.0,9.0
Powderhorn,02/24/2019,1.0,Armatage,44.941224,"3400 Chicago ave s,Minneapolis,MN",-93.26294,Central,22:16,5.0,9.0
Northeast,02/24/2019,1.0,Armatage,45.028152,"3315 johnson st ne,Minneapolis,MN",-93.236874,Waite Park,22:17,2.0,1.0
Northeast,02/24/2019,1.0,Armatage,45.010591999999995,"2229 johnson st ne,Minneapolis,MN",-93.236919,Windom Park,22:19,2.0,1.0
Powderhorn,02/24/2019,1.0,Armatage,44.942992,"3300 Chicago ave s,Minneapolis,MN",-93.26288100000001,Central,22:19,5.0,9.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.948923,"2930 EMERSON AVE S,Minneapolis,MN",-93.294702,Lowry Hill East,22:24,3.0,10.0
Camden,02/24/2019,1.0,Armatage,45.025721000000004,"3899 Lyndale Ave n,Minneapolis,MN",-93.288074,Webber - Camden,22:27,1.0,4.0
Powderhorn,02/24/2019,1.0,Armatage,44.943974,"3225 Chicago Ave S,Minneapolis,MN",-93.262311,Powderhorn Park,22:28,6.0,9.0
Camden,02/24/2019,1.0,Armatage,45.024082,"3801 Lyndale Ave n,Minneapolis,MN",-93.288347,Webber - Camden,22:30,1.0,4.0
Powderhorn,02/24/2019,1.0,Armatage,44.939313,"3504 Chicago Ave S,Minneapolis,MN",-93.262842,Central,22:31,5.0,9.0
Northeast,02/24/2019,1.0,Armatage,45.019663,"2833 johnson st ne,Minneapolis,MN",-93.236906,Audubon Park,22:33,2.0,1.0
Camden,02/24/2019,1.0,Armatage,45.025889,"3900-3998 lyndale ave n ,Minneapolis,MN",-93.287685,Webber - Camden,22:34,1.0,4.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.949688,"2910 Emerson Avenue South,Minneapolis,MN",-93.294799,Lowry Hill East,22:37,3.0,10.0
Camden,02/24/2019,1.0,Armatage,45.024097999999995,"3800-3899 lyndale ave n ,Minneapolis,MN",-93.287796,Webber - Camden,22:38,1.0,4.0
Camden,02/24/2019,1.0,Armatage,45.025889,"3900 Lyndale Ave N,Minneapolis,MN",-93.287685,Webber - Camden,22:39,1.0,4.0
Northeast,02/24/2019,1.0,Armatage,45.019396,"2823 johnson st ne,Minneapolis,MN",-93.236814,Audubon Park,22:41,2.0,1.0
Central,02/24/2019,1.0,Armatage,44.968101000000004,"440 15th st,Minneapolis,MN",-93.284828,Loring Park,22:42,3.0,7.0
Powderhorn,02/24/2019,1.0,Armatage,44.937618,"3600 block of Chicago ave,Minneapolis,MN",-93.262861,Central,22:43,5.0,8.0
Northeast,02/24/2019,1.0,Armatage,45.008786,"1928 central ave ne,Minneapolis,MN",-93.24761099999999,Holland,22:44,2.0,1.0
Northeast,02/24/2019,1.0,Armatage,45.008786,"1928 central ave ne,Minneapolis,MN",-93.24761099999999,Holland,22:46,2.0,1.0
Powderhorn,02/24/2019,1.0,Armatage,44.937618,"3600 block of chicago,Minneapolis,MN",-93.262861,Central,22:52,5.0,8.0
Camden,02/24/2019,1.0,Armatage,45.025889,"3900 lyndale av no ,Minneapolis,MN",-93.287685,Webber - Camden,22:52,1.0,4.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.950835,"2848 EMERSON AVE S,Minneapolis,MN",-93.29474300000001,Lowry Hill East,22:58,3.0,10.0
Central,02/24/2019,1.0,Armatage,44.988836,"700 2nd st n,Minneapolis,MN",-93.27623299999999,North Loop,22:59,1.0,3.0
