Location,Latitude,Longitude,Ward,Neighborhood,Community,Tow_Zone,Day,Emergency,Date,Time
BRYANT AVE N,45.015587,-93.290601,4,McKinley,Camden,1,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.016145,-93.307014,4,Folwell,Camden,1,3,Armatage,02/26/2019,00:00
DUPONT AVE S,44.959333,-93.29282099999999,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
DUPONT AVE S,44.956759999999996,-93.293048,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.015412,-93.290589,4,McKinley,Camden,1,3,Armatage,02/26/2019,00:00
ABBOTT AVE S,44.910790999999996,-93.322914,13,Fulton,Southwest,5,3,Armatage,02/26/2019,00:00
47TH AVE S,44.947109999999995,-93.206489,2,Cooper,Longfellow,6,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.949657,-93.290599,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
RIVER TERRACE E,44.956383,-93.208598,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
COLFAX AVE S,44.898641999999995,-93.292049,13,Kenny,Southwest,5,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.016114,-93.307082,4,Folwell,Camden,1,3,Armatage,02/26/2019,00:00
DUPONT AVE S,44.959493,-93.292462,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
32ND ST W,44.945124,-93.324344,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.014126,-93.290581,4,McKinley,Camden,1,3,Armatage,02/26/2019,00:00
21ST ST E,44.9618,-93.259303,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.014015,-93.290573,4,McKinley,Camden,1,3,Armatage,02/26/2019,00:00
31ST AVE NE,45.024014,-93.26952,1,Marshall Terrace,Northeast,2,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.949704,-93.290607,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.001749,-93.306949,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.015749,-93.30702,4,Folwell,Camden,1,3,Armatage,02/26/2019,00:00
21ST ST E,44.961821,-93.259178,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
PIERCE ST NE,45.013892999999996,-93.240928,1,Audubon Park,Northeast,2,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.001611,-93.30696,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.015402,-93.307035,4,Folwell,Camden,1,3,Armatage,02/26/2019,00:00
33RD AVE S,44.898389,-93.224188,11,Wenonah,Nokomis,6,3,Armatage,02/26/2019,00:00
33RD AVE S,44.949445000000004,-93.224276,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
32ND ST W,44.945184000000005,-93.325688,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
21ST ST E,44.961804,-93.259089,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
PIERCE ST NE,45.015461,-93.240964,1,Audubon Park,Northeast,2,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.954289,-93.290588,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
21ST ST E,44.961832,-93.258975,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
35TH AVE S,44.899654,-93.221662,12,Morris Park,Nokomis,6,3,Armatage,02/26/2019,00:00
21ST ST E,44.961846,-93.25883,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.961953,-93.29055600000001,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.010989,-93.29057,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
ARTHUR AVE SE,44.963712,-93.213819,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.999128000000006,-93.30703100000001,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.014875,-93.307035,4,Folwell,Camden,1,3,Armatage,02/26/2019,00:00
32ND AVE S,44.951188,-93.225594,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.955028000000006,-93.29056800000001,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
21ST ST E,44.96182,-93.25869499999999,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.010987,-93.29056800000001,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
35TH AVE S,44.90106,-93.221694,12,Morris Park,Nokomis,6,3,Armatage,02/26/2019,00:00
CHOWEN AVE S,44.945336,-93.325087,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.961375,-93.290521,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
32ND AVE S,44.95133,-93.22574,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
ARTHUR AVE SE,44.963812,-93.213767,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.997308000000004,-93.306957,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
35TH AVE S,44.901114,-93.221663,12,Morris Park,Nokomis,6,3,Armatage,02/26/2019,00:00
32ND AVE S,44.951593,-93.225796,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
32ND AVE S,44.951437,-93.225932,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
