Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
"2101 LYNDALE AVE N ,Minneapolis,MN",45.00025,-93.287993,5,Near North,Hawthorne,1,1,Armatage,02/24/2019,21:20
"2101 LYNDALE AVE N ,Minneapolis,MN",45.00025,-93.287993,5,Near North,Hawthorne,1,1,Armatage,02/24/2019,21:23
"2806 EMERSON AVE S,Minneapolis,MN",44.951599,-93.294638,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,21:25
"2901 Lyndale Ave n ,Minneapolis,MN",45.009708,-93.288395,5,Near North,Hawthorne,1,1,Armatage,02/24/2019,21:35
"2800 Emerson Avenue South,Minneapolis,MN",44.951578000000005,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,21:36
"2939 Lyndale Ave n,Minneapolis,MN",45.010657,-93.288386,5,Near North,Hawthorne,1,1,Armatage,02/24/2019,21:37
"2848 emerson Avenue S,Minneapolis,MN",44.950835,-93.29474300000001,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,21:39
"2901 lyndale ave n ,Minneapolis,MN",45.009708,-93.288395,5,Near North,Hawthorne,1,1,Armatage,02/24/2019,21:43
"2901 lyndale ave n,Minneapolis,MN",45.009708,-93.288395,5,Near North,Hawthorne,1,1,Armatage,02/24/2019,21:46
"3100 block of Chicago ave s,Minneapolis,MN",44.946506,-93.262979,9,Powderhorn,Central,5,1,Armatage,02/24/2019,21:46
"2848 EMERSON AVE S,Minneapolis,MN",44.950835,-93.29474300000001,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,21:48
"3200 -3298 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Armatage,02/24/2019,21:51
"3200 -3298 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Armatage,02/24/2019,21:54
"3418 johnson st ne,Minneapolis,MN",45.030058000000004,-93.237424,1,Northeast,Waite Park,2,1,Armatage,02/24/2019,21:58
"2848 Emerson Ave S,Minneapolis,MN",44.950835,-93.29474300000001,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,21:59
"3414 johnson st ne,Minneapolis,MN",45.029948,-93.23745100000001,1,Northeast,Waite Park,2,1,Armatage,02/24/2019,22:02
"3401 Lyndale Ave N,Minneapolis,MN",45.016858,-93.288387,4,Camden,McKinley,1,1,Armatage,02/24/2019,22:09
"3600 block of Chicago ave,Minneapolis,MN",44.937618,-93.262861,8,Powderhorn,Central,5,1,Armatage,02/24/2019,22:10
"3501 lyndale av no ,Minneapolis,MN",45.018646000000004,-93.28835500000001,4,Camden,McKinley,1,1,Armatage,02/24/2019,22:11
"3142 JOHNSON ST NE,Minneapolis,MN",45.025317,-93.23736099999999,1,Northeast,Waite Park,2,1,Armatage,02/24/2019,22:13
"3400 Chicago Ave,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Armatage,02/24/2019,22:14
"3400 Chicago ave s,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Armatage,02/24/2019,22:16
"3315 johnson st ne,Minneapolis,MN",45.028152,-93.236874,1,Northeast,Waite Park,2,1,Armatage,02/24/2019,22:17
"2229 johnson st ne,Minneapolis,MN",45.010591999999995,-93.236919,1,Northeast,Windom Park,2,1,Armatage,02/24/2019,22:19
"3300 Chicago ave s,Minneapolis,MN",44.942992,-93.26288100000001,9,Powderhorn,Central,5,1,Armatage,02/24/2019,22:19
"2930 EMERSON AVE S,Minneapolis,MN",44.948923,-93.294702,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,22:24
"3899 Lyndale Ave n,Minneapolis,MN",45.025721000000004,-93.288074,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,22:27
"3225 Chicago Ave S,Minneapolis,MN",44.943974,-93.262311,9,Powderhorn,Powderhorn Park,6,1,Armatage,02/24/2019,22:28
"3801 Lyndale Ave n,Minneapolis,MN",45.024082,-93.288347,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,22:30
"3504 Chicago Ave S,Minneapolis,MN",44.939313,-93.262842,9,Powderhorn,Central,5,1,Armatage,02/24/2019,22:31
"2833 johnson st ne,Minneapolis,MN",45.019663,-93.236906,1,Northeast,Audubon Park,2,1,Armatage,02/24/2019,22:33
"3900-3998 lyndale ave n ,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,22:34
"2910 Emerson Avenue South,Minneapolis,MN",44.949688,-93.294799,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,22:37
"3800-3899 lyndale ave n ,Minneapolis,MN",45.024097999999995,-93.287796,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,22:38
"3900 Lyndale Ave N,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,22:39
"2823 johnson st ne,Minneapolis,MN",45.019396,-93.236814,1,Northeast,Audubon Park,2,1,Armatage,02/24/2019,22:41
"440 15th st,Minneapolis,MN",44.968101000000004,-93.284828,7,Central,Loring Park,3,1,Armatage,02/24/2019,22:42
"3600 block of Chicago ave,Minneapolis,MN",44.937618,-93.262861,8,Powderhorn,Central,5,1,Armatage,02/24/2019,22:43
"1928 central ave ne,Minneapolis,MN",45.008786,-93.24761099999999,1,Northeast,Holland,2,1,Armatage,02/24/2019,22:44
"1928 central ave ne,Minneapolis,MN",45.008786,-93.24761099999999,1,Northeast,Holland,2,1,Armatage,02/24/2019,22:46
"3600 block of chicago,Minneapolis,MN",44.937618,-93.262861,8,Powderhorn,Central,5,1,Armatage,02/24/2019,22:52
"3900 lyndale av no ,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,22:52
"2848 EMERSON AVE S,Minneapolis,MN",44.950835,-93.29474300000001,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,22:58
"700 2nd st n,Minneapolis,MN",44.988836,-93.27623299999999,3,Central,North Loop,1,1,Armatage,02/24/2019,22:59
"214 15th Street West,Minneapolis,MN",44.968032,-93.28165600000001,7,Central,Loring Park,3,1,Armatage,02/24/2019,22:59
"500 2nd st n,Minneapolis,MN",44.987221999999996,-93.27335699999999,3,Central,North Loop,1,1,Armatage,02/24/2019,23:01
"200 W 15TH ST,Minneapolis,MN",44.967895,-93.281325,7,Central,Loring Park,3,1,Armatage,02/24/2019,23:04
"3900 lyndale ave n,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,23:05
"3900-3998 lyndale ave n ,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,23:07
"4449 Upton ave,Minneapolis,MN",44.92174,-93.314739,13,Southwest,Linden Hills,5,1,Armatage,02/24/2019,23:08
"3900 lyndale ave n,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,23:08
"3901 Lyndale Ave N,Minneapolis,MN",45.025757,-93.288074,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,23:10
"4000-4098 lyndale ave n ,Minneapolis,MN",45.027711,-93.28777600000001,4,Camden,Webber - Camden,1,1,Armatage,02/24/2019,23:15
"117 15th st ,Minneapolis,MN",44.967605,-93.280236,7,Central,Loring Park,3,1,Armatage,02/24/2019,23:15
"5300 Chicago Ave,Minneapolis,MN",44.906921000000004,-93.263019,11,Nokomis,Page,5,1,Armatage,02/24/2019,23:21
"135 13th ave ne,Minneapolis,MN",45.000703,-93.268751,3,Northeast,Sheridan,2,1,Armatage,02/24/2019,23:22
"1900 como ave se,Minneapolis,MN",44.987578000000006,-93.22536,2,University,Como,4,1,Armatage,02/24/2019,23:22
"135 13th ave ne,Minneapolis,MN",45.000703,-93.268751,3,Northeast,Sheridan,2,1,Armatage,02/24/2019,23:23
"76 13th ave ne,Minneapolis,MN",44.999517,-93.270475,3,Northeast,Sheridan,2,1,Armatage,02/24/2019,23:25
"1808 UNIVERISTY AVE NE,Minneapolis,MN",45.00694,-93.263409,3,Northeast,Bottineau,2,1,Armatage,02/24/2019,23:27
"2800 EMERSON AVE S,Minneapolis,MN",44.951578000000005,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Armatage,02/24/2019,23:28
"400 2ND ST N ,Minneapolis,MN",44.986174,-93.272446,3,Central,North Loop,3,1,Armatage,02/24/2019,23:31
"400 2ND ST N ,Minneapolis,MN",44.986174,-93.272446,3,Central,North Loop,3,1,Armatage,02/24/2019,23:34
"5300 Chicago ave s,Minneapolis,MN",44.906921000000004,-93.263019,11,Nokomis,Page,5,1,Armatage,02/24/2019,23:34
