Longitude,Latitude,Location,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
-93.26757539055649,44.96390591562688,601 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.267431660111,44.96390591562688,607 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26738674434681,44.96390591562688,609 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26728792966557,44.96391227167509,613 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26723403074853,44.96391227167509,615 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.2671891149843,44.96391227167509,617 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26713521606726,44.96391227167509,619 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26709030030304,44.96391227167509,621 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26694656985758,44.96391227167509,627 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26699148562177,44.96391227167509,625 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.2668926709405,44.96391227167509,629 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26679385625928,44.96391227167509,633 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.2665962268968,44.96391227167509,641 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26665012581384,44.96391227167509,639 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26669504157805,44.96391227167509,637 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26674894049508,44.96391227167509,635 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.25673272507713,44.964903806573275,1819 13TH AVE S,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.25674170823,44.96373430205879,1915 13TH AVE S,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.251594361652,44.96377879451464,1811 16TH AVE S,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.25160334480482,44.96459872073763,1809 16TH AVE S,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.23447247233665,45.007822101163256,1809 19TH ST E,1,Windom Park,Northeast,3,2,12/13/2016,00:00,Dana
-93.25952648561078,44.96389320352833,1009 19TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26661419320247,44.965170755348524,641 18TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26661419320247,44.965170755348524,641 18TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
-93.26364076961201,44.96519617897661,731 18TH ST E,6,Ventura Village,Phillips,3,3,12/13/2016,00:00,Dana
