Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
"5555 34 ave s,Minneapolis,MN",44.901953000000006,-93.222912,12,Morris Park,Nokomis,2,6,12/12/2016,03:56,Dana
"grant st e / porland ave,Minneapolis,MN",44.969485999999996,-93.267517,7,Elliot Park,Central,2,3,12/12/2016,03:57,Dana
"4300 Nicollet ,Minneapolis,MN",44.924943,-93.278242,8,King Field,Southwest,2,5,12/12/2016,03:58,Dana
"2109 9th st s ,Minneapolis,MN",44.964005,-93.24215600000001,6,Seward,Longfellow,2,4,12/12/2016,04:06,Dana
"5535 34th Ave. so,Minneapolis,MN",44.902582,-93.222647,12,Morris Park,Nokomis,2,6,12/12/2016,04:09,Dana
"14th St e and 10th Ave s,Minneapolis,MN",44.968855,-93.259686,6,Elliot Park,Central,2,3,12/12/2016,04:09,Dana
"5749 28 ave s,Minneapolis,MN",44.899498,-93.23235600000001,11,Wenonah,Nokomis,2,6,12/12/2016,04:14,Dana
"2220 9th street s,Minneapolis,MN",44.963997,-93.239589,6,Seward,Longfellow,2,4,12/12/2016,04:25,Dana
"3000 Holmes Ave S ,Minneapolis,MN",44.947829,-93.29956999999999,10,ECCO,Calhoun Isle,2,5,12/12/2016,04:43,Dana
"14th and 10th Ave s,Minneapolis,MN",44.968855,-93.259686,6,Elliot Park,Central,2,3,12/12/2016,04:45,Dana
"3000 Holmes Ave S,Minneapolis,MN",44.947829,-93.29956999999999,10,ECCO,Calhoun Isle,2,5,12/12/2016,04:47,Dana
"14th and 10th Ave s,Minneapolis,MN",44.968855,-93.259686,6,Elliot Park,Central,2,3,12/12/2016,04:48,Dana
"2118 Lyndale Ave n. ,Minneapolis,MN",45.00088,-93.28769799999999,5,Hawthorne,Near North,1,1,12/11/2016,21:18,Dana
"2211 9th st s,Minneapolis,MN",44.963688,-93.23990500000001,6,Seward,Longfellow,2,4,12/12/2016,04:54,Dana
"422 2ND AVE SE,Minneapolis,MN",44.987425,-93.252505,3,Marcy Holmes,University,2,4,12/12/2016,08:19,Dana
"3300 Lyndale Ave N,Minneapolis,MN",45.015044,-93.287773,4,McKinley,Camden,1,1,12/11/2016,21:40,Dana
"3044 Chicago ave s,Minneapolis,MN",44.946940999999995,-93.262979,9,Central,Powderhorn,1,5,12/11/2016,21:44,Dana
"420 2nd ave se,Minneapolis,MN",44.987406,-93.25251999999999,3,Marcy Holmes,University,2,4,12/12/2016,08:21,Dana
"2700 Lyndale Ave n,Minneapolis,MN",45.007733,-93.287959,5,Hawthorne,Near North,1,1,12/11/2016,21:44,Dana
"604 2nd ave se,Minneapolis,MN",44.989348,-93.250984,3,Marcy Holmes,University,2,4,12/12/2016,08:25,Dana
"3021 Lyndale ave n ,Minneapolis,MN",45.011634,-93.288016,5,Hawthorne,Near North,1,1,12/11/2016,21:48,Dana
"1810 Bryant Ave s,Minneapolis,MN",44.964934,-93.290901,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,08:33,Dana
"3425 Lyndale Ave N,Minneapolis,MN",45.017451,-93.28806,4,McKinley,Camden,1,1,12/11/2016,21:53,Dana
"738 aldrich ave n,Minneapolis,MN",44.985977,-93.29064100000001,5,Sumner - Glenwood,Near North,2,1,12/12/2016,08:38,Dana
"2800-2899 EMERSON AVE S,Minneapolis,MN",44.951575,-93.29446999999999,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,21:55,Dana
"3012 Knox Ave s,Minneapolis,MN",44.947827000000004,-93.30497700000001,10,ECCO,Calhoun Isle,2,5,12/12/2016,08:39,Dana
"946 Aldrich Avenue North ,Minneapolis,MN",44.987907,-93.29071,5,Sumner - Glenwood,Near North,2,1,12/12/2016,08:41,Dana
"2800-2899 EMERSON AVE S,Minneapolis,MN",44.951575,-93.29446999999999,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,21:58,Dana
"3014 Knox Ave s,Minneapolis,MN",44.947761,-93.304665,10,ECCO,Calhoun Isle,2,5,12/12/2016,08:41,Dana
"2888 emerson ave s,Minneapolis,MN",44.950148999999996,-93.2945,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,22:01,Dana
"804 aldrich ave n,Minneapolis,MN",44.986532000000004,-93.290966,5,Sumner - Glenwood,Near North,2,1,12/12/2016,08:41,Dana
"1416 41st st e,Minneapolis,MN",44.928738,-93.254723,8,Bancroft,Powderhorn,2,6,12/12/2016,08:44,Dana
"3222 chicago,Minneapolis,MN",44.943959,-93.26264499999999,9,Central,Powderhorn,1,5,12/11/2016,22:03,Dana
"1776 bryant ave s,Minneapolis,MN",44.96589,-93.29054000000001,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,08:45,Dana
"758 Aldrich Ave n ,Minneapolis,MN",44.986211,-93.291011,5,Sumner - Glenwood,Near North,2,1,12/12/2016,08:45,Dana
"28th & Emerson Ave S,Minneapolis,MN",44.951946,-93.294442,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,22:09,Dana
"708 Bryant Ave. N. ,Minneapolis,MN",44.985623,-93.291797,5,Sumner - Glenwood,Near North,2,1,12/12/2016,08:46,Dana
"1778 bryant ave s,Minneapolis,MN",44.965848,-93.29054000000001,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,08:48,Dana
"2800 emerson av ,Minneapolis,MN",45.008695,-93.294294,5,Hawthorne,Near North,1,1,12/11/2016,22:14,Dana
"3016 18th ave s,Minneapolis,MN",44.947744,-93.249027,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,14:06,Dana
"1040 Aldrich Ave n ,Minneapolis,MN",44.988344,-93.291023,5,Sumner - Glenwood,Near North,2,1,12/12/2016,08:48,Dana
"3018 11th Avenue South,Minneapolis,MN",44.947688,-93.258876,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,15:37,Dana
"3322 Chicago ave s,Minneapolis,MN",44.942439,-93.262977,9,Central,Powderhorn,1,5,12/11/2016,22:14,Dana
"314 3rd ave se,Minneapolis,MN",44.986114,-93.251351,3,Marcy Holmes,University,2,4,12/12/2016,08:54,Dana
"338 19th ave ne,Minneapolis,MN",45.007283,-93.26257700000001,1,Holland,Northeast,2,2,12/12/2016,14:08,Dana
"1780 BRYANT AVE S,Minneapolis,MN",44.965804999999996,-93.29054000000001,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,08:54,Dana
"1320 upton ave n,Minneapolis,MN",44.992308,-93.314263,5,Willard - Hay,Near North,2,1,12/12/2016,15:38,Dana
"420 8th Ave se,Minneapolis,MN",44.984349,-93.243275,3,Marcy Holmes,University,2,4,12/12/2016,14:11,Dana
"3300 4TH AVE S,Minneapolis,MN",44.943042,-93.27046800000001,9,Central,Powderhorn,1,5,12/11/2016,22:15,Dana
"616 3rd ave ne,Minneapolis,MN",44.992344,-93.25310400000001,3,St. Anthony East,Northeast,2,2,12/12/2016,08:55,Dana
"908 upton ave n,Minneapolis,MN",44.987305,-93.314366,5,Willard - Hay,Near North,2,1,12/12/2016,15:40,Dana
"322 Clifton Ave ,Minneapolis,MN",44.966577,-93.284418,7,Loring Park,Central,2,3,12/12/2016,14:11,Dana
"3510 13th ave,Minneapolis,MN",44.939068,-93.25657,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,08:58,Dana
"3000 4TH AVE S ,Minneapolis,MN",44.948333,-93.270308,9,Central,Powderhorn,1,5,12/11/2016,22:16,Dana
"3908 Harriet ave s,Minneapolis,MN",44.931903000000005,-93.28603000000001,8,King Field,Southwest,2,5,12/12/2016,15:42,Dana
"1008 summit s,Minneapolis,MN",44.965438,-93.292209,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,14:14,Dana
"1900 COLFAX AVE S,Minneapolis,MN",44.964284,-93.292146,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,08:58,Dana
"3300 2nd St N,Minneapolis,MN",45.01493,-93.280834,4,McKinley,Camden,1,1,12/11/2016,22:17,Dana
"3024 30TH AVE S,Minneapolis,MN",44.947469,-93.228779,2,Longfellow,Longfellow,2,6,12/12/2016,15:42,Dana
"1206 newton ave n,Minneapolis,MN",44.989996999999995,-93.305705,5,Near - North,Near North,2,1,12/12/2016,14:14,Dana
"520 2nd Avenue Southeast ,Minneapolis,MN",44.988796,-93.25107,3,Marcy Holmes,University,2,4,12/12/2016,08:58,Dana
"3200 4th ave s,Minneapolis,MN",44.944805,-93.270637,9,Central,Powderhorn,1,5,12/11/2016,22:19,Dana
"3802 12th ave,Minneapolis,MN",44.933935,-93.257464,8,Bancroft,Powderhorn,2,6,12/12/2016,10:14,Dana
"2022 grand ave s,Minneapolis,MN",44.961929999999995,-93.284201,10,Whittier,Powderhorn,2,3,12/12/2016,15:42,Dana
"326 CLIFTON AVE,Minneapolis,MN",44.965906,-93.28323,7,Loring Park,Central,2,3,12/12/2016,14:15,Dana
"4450 14th ave,Minneapolis,MN",44.923103999999995,-93.25496600000001,11,Northrop,Nokomis,2,6,12/12/2016,09:00,Dana
"520 Bryant ave n,Minneapolis,MN",44.983576,-93.290811,5,Sumner - Glenwood,Near North,2,3,12/12/2016,10:15,Dana
"2800-2899 Emerson ave s,Minneapolis,MN",44.951575,-93.29446999999999,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,22:20,Dana
"800 27th ave ne,Minneapolis,MN",45.016588,-93.250702,1,Holland,Northeast,2,2,12/12/2016,15:45,Dana
"910 19th St e,Minneapolis,MN",44.963947,-93.260524,6,Ventura Village,Phillips,2,3,12/12/2016,14:16,Dana
"300 3rd Ave se,Minneapolis,MN",44.985690000000005,-93.252032,3,Marcy Holmes,University,2,4,12/12/2016,09:02,Dana
"1120 humblolt ave n,Minneapolis,MN",44.989549,-93.298167,5,Near - North,Near North,2,1,12/12/2016,10:15,Dana
"2222 14th Ave N,Minneapolis,MN",44.993334999999995,-93.30851700000001,5,Willard - Hay,Near North,2,1,12/12/2016,15:45,Dana
"2635 Johnson St NE,Minneapolis,MN",45.016234000000004,-93.236901,1,Audubon Park,Northeast,1,2,12/11/2016,22:20,Dana
"1536 spruce pl,Minneapolis,MN",44.966908000000004,-93.280854,7,Loring Park,Central,2,3,12/12/2016,09:04,Dana
"1204 newton ave n,Minneapolis,MN",44.989944,-93.305451,5,Near - North,Near North,2,1,12/12/2016,14:17,Dana
"1342 queen Ave n ,Minneapolis,MN",44.992296,-93.309487,5,Willard - Hay,Near North,2,1,12/12/2016,15:48,Dana
"2600 2nd st n ,Minneapolis,MN",45.006418,-93.27950799999999,5,Hawthorne,Near North,1,1,12/11/2016,22:20,Dana
