Location,Latitude,Longitude,Ward,Neighborhood,Community,Tow_Zone,Day,Emergency,Date,Time
5201 ELLIOT AVE,44.908722999999995,-93.261341,11,Hale,Nokomis,6,3,Diamond Lake,03/12/2019,00:00
5135 ELLIOT AVE,44.909946999999995,-93.261342,11,Hale,Nokomis,6,3,Diamond Lake,03/12/2019,00:00
5624 23RD AVE S,44.900912,-93.238724,11,Wenonah,Nokomis,6,2,Diamond Lake,03/11/2019,00:00
5616 23RD AVE S,44.901070000000004,-93.238726,11,Wenonah,Nokomis,6,2,Diamond Lake,03/11/2019,00:00
5154 10TH AVE S,44.909113,-93.260165,11,Hale,Nokomis,6,2,Diamond Lake,03/11/2019,00:00
131 59TH ST W,44.89562,-93.280867,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
341 59TH ST W,44.896378000000006,-93.284403,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
345 59TH ST W,44.896433,-93.28439399999999,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
401 59TH ST W,44.896474,-93.28478299999999,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
405 59TH ST W,44.896444,-93.285028,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
225 60TH ST W,44.893628,-93.28246800000001,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
703 61ST ST W,44.891956,-93.288899,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
705 61ST ST W,44.891977000000004,-93.28886999999999,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
707 61ST ST W,44.892106,-93.289014,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
715 61ST ST W,44.892365999999996,-93.288914,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
717 61ST ST W,44.892371999999995,-93.289275,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
719 61ST ST W,44.892355,-93.28939,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
723 61ST ST W,44.892520000000005,-93.290654,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
905 61ST ST W,44.892525,-93.29114399999999,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
907 61ST ST W,44.892549,-93.29118000000001,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
6125 COLFAX LA,44.891546999999996,-93.29173399999999,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
6129 COLFAX LA,44.891667,-93.29158100000001,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
6131 COLFAX LA,44.891701,-93.291452,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
1001 61ST ST W,44.892491,-93.292013,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
1003 61ST ST W,44.892522,-93.292312,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
131 62ND ST W,44.890893,-93.28193399999999,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
149 62ND ST W,44.890819,-93.282022,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
201 62ND ST W,44.890833,-93.28211,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
203 62ND ST W,44.890812,-93.282128,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
207 62ND ST W,44.890786,-93.282538,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
211 62ND ST W,44.890844,-93.282427,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
221 61ST ST E,44.892425,-93.272553,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
303 61ST ST E,44.892395,-93.27282199999999,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
503 61ST ST E,44.892601,-93.26911,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
505 61ST ST E,44.892501,-93.268969,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
507 61ST ST E,44.8926,-93.268875,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
709 61ST ST E,44.892136,-93.26558299999999,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
621 59TH ST E,44.896312,-93.266633,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
609 59TH ST E,44.896343,-93.26735699999999,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
719 56TH ST E,44.901686,-93.26305500000001,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
727 56TH ST E,44.901857,-93.26298,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
215 58TH ST E,44.897971000000005,-93.273251,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
221 58TH ST E,44.897904,-93.27311,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
333 CHESTER ST S,44.894999,-93.27150999999999,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
331 CHESTER ST S,44.895053999999995,-93.271423,11,Diamond Lake,Nokomis,5,3,Diamond Lake,03/12/2019,00:00
7 61ST ST E,44.892616,-93.277897,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
9 61ST ST E,44.892567,-93.277762,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
23 61ST ST E,44.892594,-93.277967,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
125 61ST ST E,44.892416,-93.277188,11,Windom,Southwest,5,3,Diamond Lake,03/12/2019,00:00
3324 32ND ST W,44.945199,-93.32089599999999,13,West Calhoun,Calhoun Isle,5,2,Diamond Lake,03/11/2019,00:00
3220 32ND ST W,44.94492,-93.320622,13,West Calhoun,Calhoun Isle,5,2,Diamond Lake,03/11/2019,00:00
3208 32ND ST W,44.944727,-93.320126,13,West Calhoun,Calhoun Isle,5,2,Diamond Lake,03/11/2019,00:00
