Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
"592 4TH ST SE,Minneapolis,MN",44.984731,-93.24713100000001,3,University,Marcy Holmes,4,1,Diamond Lake,03/10/2019,21:45
"w 15th/ oak grove,Minneapolis,MN",44.96772,-93.27856700000001,7,Central,Loring Park,3,1,Diamond Lake,03/10/2019,21:45
"3832 28th Avenue s,Minneapolis,MN",44.933124,-93.23245899999999,12,Powderhorn,Standish,6,1,Diamond Lake,03/10/2019,21:47
"464 4TH ST SE,Minneapolis,MN",44.985306,-93.248586,3,University,Marcy Holmes,4,1,Diamond Lake,03/10/2019,21:51
"2101-2199 lyndale ave n ,Minneapolis,MN",45.00025,-93.287993,5,Near North,Hawthorne,1,1,Diamond Lake,03/10/2019,21:54
"2502 2ND ST N,Minneapolis,MN",45.005007,-93.279625,5,Near North,Hawthorne,1,1,Diamond Lake,03/10/2019,21:55
"4400 block of 4th ave s,Minneapolis,MN",44.923093,-93.270583,8,Nokomis,Regina,5,1,Diamond Lake,03/10/2019,21:55
"2552 2 st n,Minneapolis,MN",45.005803,-93.280237,5,Near North,Hawthorne,1,1,Diamond Lake,03/10/2019,21:56
"2501 2nd st n ,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake,03/10/2019,21:59
"2501 2nd st n,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake,03/10/2019,22:00
"w 15th/ oak grove,Minneapolis,MN",44.96772,-93.27856700000001,7,Central,Loring Park,3,1,Diamond Lake,03/10/2019,22:02
"4500 block of 4th ave s,Minneapolis,MN",44.921364000000004,-93.270485,8,Nokomis,Regina,5,1,Diamond Lake,03/10/2019,22:06
"2552 2 St N,Minneapolis,MN",45.005803,-93.280237,5,Near North,Hawthorne,1,1,Diamond Lake,03/10/2019,22:06
"1348 2nd st n,Minneapolis,MN",44.993076,-93.27986700000001,5,Near North,Near - North,1,1,Diamond Lake,03/10/2019,22:11
"315 15th st w,Minneapolis,MN",44.967553,-93.283101,7,Central,Loring Park,3,1,Diamond Lake,03/10/2019,22:11
"3498 Johnson St. Ne,Minneapolis,MN",45.031267,-93.237116,1,Northeast,Waite Park,2,1,Diamond Lake,03/10/2019,22:13
"815 2ND ST N,Minneapolis,MN",44.989646,-93.277819,3,Central,North Loop,1,1,Diamond Lake,03/10/2019,22:20
"679 13th ave ne,Minneapolis,MN",45.001149,-93.253781,1,Northeast,Logan Park,2,1,Diamond Lake,03/10/2019,22:20
"3200 CHICAGO AVE S,Minneapolis,MN",44.944621000000005,-93.26288199999999,9,Powderhorn,Central,5,1,Diamond Lake,03/10/2019,22:21
"2501 2nd st n ,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake,03/10/2019,22:22
"3132 Chicago Ave S,Minneapolis,MN",44.945631,-93.262979,9,Powderhorn,Central,5,1,Diamond Lake,03/10/2019,22:22
"OAK GROVE ST / 15TH AVE W,Minneapolis,MN",44.96772,-93.27856700000001,7,Central,Loring Park,3,1,Diamond Lake,03/10/2019,22:24
"701 2 st N,Minneapolis,MN",44.98839,-93.2761,3,Central,North Loop,1,1,Diamond Lake,03/10/2019,22:25
"592 4TH ST SE,Minneapolis,MN",44.984731,-93.24713100000001,3,University,Marcy Holmes,4,1,Diamond Lake,03/10/2019,22:25
"329 15TH ST W,Minneapolis,MN",44.967766999999995,-93.283858,7,Central,Loring Park,3,1,Diamond Lake,03/10/2019,22:26
"641 13th ave Ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake,03/10/2019,22:28
"3400 lyndale av no,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Diamond Lake,03/10/2019,22:29
"3400 CHICAGO AVE S,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Diamond Lake,03/10/2019,22:29
