Longitude,Latitude,Location,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
-93.29447993331586,44.95189172606853,2800 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.26261669018814,44.94796908885295,3021 CHICAGO AVE S,9,Powderhorn Park,Powderhorn,1,6,12/17/2016,00:00,Ferry
-93.29447993331586,44.95185358177865,2802 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.24414732794665,44.96387413537522,908 20TH AVE S,6,Seward,Longfellow,1,4,12/17/2016,00:00,Ferry
-93.27027931956165,44.91409102179866,4909 4TH AVE S,8,Field,Nokomis,1,5,12/17/2016,00:00,Ferry
-93.26272448802223,44.94800087791432,3018 CHICAGO AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.29447993331586,44.95181543746342,2804 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.26272448802223,44.947905510677394,3024 CHICAGO AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.24263815826932,44.96405846058974,2007 9TH ST S,6,Seward,Longfellow,1,4,12/17/2016,00:00,Ferry
-93.27024338695033,44.938819465344096,3540 4TH AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.28100520405405,44.9677639073754,214 15TH ST W,7,Loring Park,Central,1,3,12/17/2016,00:00,Ferry
-93.26272448802223,44.947937299773976,3022 CHICAGO AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.2701535554219,44.940377356920976,3455 4TH AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.29447993331586,44.951777293122845,2806 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.24266510772784,44.96397583211855,2008 9TH ST S,6,Seward,Longfellow,1,4,12/17/2016,00:00,Ferry
-93.23581096211002,44.964694060235566,2516 BUTLER PL,2,Cedar Riverside,University,1,4,12/17/2016,00:00,Ferry
-93.27974756265628,44.967681284241436,127 15TH ST W,7,Loring Park,Central,1,3,12/17/2016,00:00,Ferry
-93.28453558312063,44.968100754305276,426 15TH ST W,7,Loring Park,Central,1,3,12/17/2016,00:00,Ferry
-93.26048768296477,44.99185300664043,216 4TH AVE NE,3,St. Anthony West,Northeast,2,2,12/18/2016,00:00,Ferry
-93.2626346564938,44.920668503938415,4546 CHICAGO AVE S,8,Regina,Nokomis,1,5,12/17/2016,00:00,Ferry
-93.27023440379746,44.91728443888389,4733 4TH AVE S,8,Field,Nokomis,1,5,12/17/2016,00:00,Ferry
-93.25498101027313,44.92846636112599,4112 14TH AVE S,8,Bancroft,Powderhorn,2,6,12/18/2016,00:00,Ferry
-93.29447993331586,44.951745506152974,2808 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.29315042669536,44.94763212372009,3041 DUPONT AVE S,10,South Uptown,Calhoun Isle,1,5,12/17/2016,00:00,Ferry
-93.30343613669851,44.94796908885295,3020 JAMES AVE S,10,ECCO,Calhoun Isle,2,5,12/18/2016,00:00,Ferry
-93.26267957225801,44.944205139544366,3232 CHICAGO AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.27283053496856,44.95526739532066,2612 3RD AVE S,10,Whittier,Powderhorn,2,3,12/18/2016,00:00,Ferry
-93.26256279127108,44.917367134578534,4729 CHICAGO AVE S,11,Northrop,Nokomis,1,6,12/17/2016,00:00,Ferry
-93.29447993331586,44.95170736176592,2810 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.30712821251628,44.960066733836335,2304 OLIVER AVE S,7,Kenwood,Calhoun Isle,2,3,12/18/2016,00:00,Ferry
-93.270261353256,44.94093055722906,3422 4TH AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.24269205718636,44.96397583211855,2010 9TH ST S,6,Seward,Longfellow,1,4,12/17/2016,00:00,Ferry
-93.27153696095945,44.960670595680526,2222 CLINTON AVE S,10,Whittier,Powderhorn,2,3,12/18/2016,00:00,Ferry
-93.29314144354252,44.94777199627953,3033 DUPONT AVE S,10,South Uptown,Calhoun Isle,1,5,12/17/2016,00:00,Ferry
-93.2845535494263,44.968024487249096,427 15TH ST W,7,Loring Park,Central,1,3,12/17/2016,00:00,Ferry
-93.23591875994413,44.964694060235566,2510 BUTLER PL,2,Cedar Riverside,University,1,4,12/17/2016,00:00,Ferry
-93.27153696095945,44.96161769250861,2120 CLINTON AVE S,10,Whittier,Powderhorn,2,3,12/18/2016,00:00,Ferry
-93.26267957225801,44.94438316973429,3220 CHICAGO AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.27974756265628,44.96775755175394,126 15TH ST W,7,Loring Park,Central,1,3,12/17/2016,00:00,Ferry
-93.27960383221087,44.96882528628122,116 14TH ST W,7,Loring Park,Central,2,3,12/18/2016,00:00,Ferry
-93.28463439780188,44.96803719843217,431 15TH ST W,7,Loring Park,Central,1,3,12/17/2016,00:00,Ferry
-93.26267058910518,44.91764702681585,4712 CHICAGO AVE S,8,Field,Nokomis,1,5,12/17/2016,00:00,Ferry
-93.29048243030151,44.98571572698253,742 ALDRICH AVE N,5,Sumner - Glenwood,Near North,2,1,12/18/2016,00:00,Ferry
-93.26267957225801,44.94411612424236,3238 CHICAGO AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.270261353256,44.94100050171603,3418 4TH AVE S,9,Central,Powderhorn,1,5,12/17/2016,00:00,Ferry
-93.24962705117977,44.98867644289576,604 3RD AVE SE,3,Marcy Holmes,University,2,4,12/18/2016,00:00,Ferry
-93.2944889164687,44.95163107291575,2814 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.23544265284352,44.993244286117466,1128 WINTER ST NE,1,Como,University,2,2,12/18/2016,00:00,Ferry
-93.29315042669536,44.94770206004241,3037 DUPONT AVE S,10,South Uptown,Calhoun Isle,1,5,12/17/2016,00:00,Ferry
-93.24099424129936,44.9639504079496,2102 9TH ST S,6,Seward,Longfellow,1,4,12/17/2016,00:00,Ferry
-93.3183212209564,45.00106404591686,2116 XERXES AVE N,5,Willard - Hay,Near North,2,1,12/18/2016,00:00,Ferry
-93.23595469255545,44.964694060235566,2508 BUTLER PL,2,Cedar Riverside,University,1,4,12/17/2016,00:00,Ferry
-93.27017152172756,44.92103743131259,4525 4TH AVE S,8,Regina,Nokomis,1,5,12/17/2016,00:00,Ferry
-93.27016253857471,45.012286807420246,2416 GRAND ST NE,3,Bottineau,Northeast,2,2,12/18/2016,00:00,Ferry
-93.26256279127108,44.91747527492275,4723 CHICAGO AVE S,11,Northrop,Nokomis,1,6,12/17/2016,00:00,Ferry
-93.2944889164687,44.95159292845265,2816 EMERSON AVE S,10,Lowry Hill East,Calhoun Isle,1,3,12/17/2016,00:00,Ferry
-93.24617752048876,44.947829216773776,3028 LONGFELLOW AVE S,9,Corcoran,Powderhorn,2,6,12/18/2016,00:00,Ferry
-93.26267058910518,44.917608859772855,4714 CHICAGO AVE S,8,Field,Nokomis,1,5,12/17/2016,00:00,Ferry
