Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
"2563 2nd st n. ,Minneapolis,MN",45.005508,-93.280233,5,Hawthorne,Near North,1,1,12/17/2016,21:15,Ferry
"3018 Chicago Avenue S,Minneapolis,MN",44.947734000000004,-93.26302700000001,9,Central,Powderhorn,1,5,12/17/2016,21:21,Ferry
"3232 Chicago ave,Minneapolis,MN",44.943659999999994,-93.262996,9,Central,Powderhorn,1,5,12/17/2016,21:23,Ferry
"2802 EMERSON AVE S,Minneapolis,MN",44.951574,-93.29446999999999,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,21:24,Ferry
"2814 EMERSON AVE S,Minneapolis,MN",44.951547,-93.294471,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,21:26,Ferry
"3220 Chicago Ave. S. ,Minneapolis,MN",44.94402,-93.263003,9,Central,Powderhorn,1,5,12/17/2016,21:29,Ferry
"4327 4th Ave s,Minneapolis,MN",44.924246000000004,-93.269937,8,Regina,Nokomis,1,5,12/17/2016,21:34,Ferry
"2563 2nd St N,Minneapolis,MN",45.005508,-93.280233,5,Hawthorne,Near North,1,1,12/17/2016,21:34,Ferry
"935 2nd st n,Minneapolis,MN",44.991053,-93.27934499999999,3,North Loop,Central,1,1,12/17/2016,21:41,Ferry
"2563 2ND ST N ,Minneapolis,MN",45.005508,-93.280233,5,Hawthorne,Near North,1,1,12/17/2016,21:42,Ferry
"3717 4 th ave s,Minneapolis,MN",44.935396999999995,-93.269855,8,Central,Powderhorn,1,5,12/17/2016,21:42,Ferry
"4909 4th Avenue South,Minneapolis,MN",44.913924,-93.27005600000001,8,Field,Nokomis,1,5,12/17/2016,21:43,Ferry
"2816 emerson ave s,Minneapolis,MN",44.951524,-93.294472,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,21:43,Ferry
"935 2nd st n,Minneapolis,MN",44.991053,-93.27934499999999,3,North Loop,Central,1,1,12/17/2016,21:43,Ferry
"4316 4TH ave s,Minneapolis,MN",44.924498,-93.227416,12,Ericsson,Nokomis,1,6,12/17/2016,21:46,Ferry
"3917 4th Avenue South,Minneapolis,MN",44.931744,-93.26982,8,Bryant,Powderhorn,1,5,12/17/2016,21:46,Ferry
"3418 Johnson St NE,Minneapolis,MN",45.030046,-93.23740600000001,1,Waite Park,Northeast,1,2,12/17/2016,21:47,Ferry
"428 5th Ave se ,Minneapolis,MN",44.9861,-93.247751,3,Marcy Holmes,University,2,4,12/18/2016,10:25,Ferry
"3549 4th Ave s,Minneapolis,MN",44.938047,-93.270166,9,Central,Powderhorn,1,5,12/17/2016,21:47,Ferry
"1218 Morgan Ave N,Minneapolis,MN",44.990289000000004,-93.30411099999999,5,Near - North,Near North,2,1,12/18/2016,11:23,Ferry
"3104 Humboldt Ave South,Minneapolis,MN",44.946294,-93.301087,10,ECCO,Calhoun Isles,2,5,12/18/2016,10:25,Ferry
"2810 Emerson ave s,Minneapolis,MN",44.951571,-93.29446999999999,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,21:49,Ferry
"1504 5th st ne,Minneapolis,MN",45.003352,-93.260273,3,Sheridan,Northeast,2,2,12/18/2016,11:24,Ferry
"3210 Emerson Ave s,Minneapolis,MN",44.944282,-93.294527,10,South Uptown,Calhoun Isles,2,5,12/18/2016,14:32,Ferry
"324 7th ave se,Minneapolis,MN",44.983612,-93.24606999999999,3,Marcy Holmes,University,2,4,12/18/2016,10:25,Ferry
"1034 13th ave se,Minneapolis,MN",44.988868,-93.23292099999999,2,Como,University,2,4,12/18/2016,11:24,Ferry
"3116 colfax ave s,Minneapolis,MN",44.945898,-93.2923,10,South Uptown,Calhoun Isles,2,5,12/18/2016,14:32,Ferry
"935 2ND ST N ,Minneapolis,MN",44.991053,-93.27934499999999,3,North Loop,Central,1,1,12/17/2016,21:51,Ferry
"1004 13th ave se,Minneapolis,MN",44.988046999999995,-93.233289,2,Como,University,2,4,12/18/2016,11:26,Ferry
"4733 4TH AVE S ,Minneapolis,MN",44.916895000000004,-93.270005,8,Field,Nokomis,1,5,12/17/2016,21:51,Ferry
"1828 33rd st E,Minneapolis,MN",44.942945,-93.247093,9,Corcoran,Powderhorn,2,6,12/18/2016,14:32,Ferry
"410 11th Ave SE,Minneapolis,MN",44.982376,-93.239339,3,Marcy Holmes,University,2,4,12/18/2016,11:27,Ferry
"3024 Chicago Avenue South,Minneapolis,MN",44.947497,-93.26300400000001,9,Central,Powderhorn,1,5,12/17/2016,21:51,Ferry
"144 19TH ST E,Minneapolis,MN",44.963968,-93.274513,6,Steven's Square - Loring Heights,Central,2,3,12/18/2016,14:33,Ferry
"946 12th ave se,Minneapolis,MN",44.986983,-93.234551,2,Como,University,2,4,12/18/2016,11:27,Ferry
"500-799 2nd st n,Minneapolis,MN",44.987185,-93.273561,3,North Loop,Central,1,1,12/17/2016,21:52,Ferry
"668 15th ave ne,Minneapolis,MN",45.003068,-93.253918,1,Logan Park,Northeast,2,2,12/18/2016,14:33,Ferry
"3118 3rd st n,Minneapolis,MN",45.012184999999995,-93.283395,5,Hawthorne,Near North,2,1,12/18/2016,10:26,Ferry
"523 15TH ST E,Minneapolis,MN",44.968046,-93.268187,6,Elliot Park,Central,2,3,12/18/2016,01:36,Ferry
"1714 Irving Ave. N. ,Minneapolis,MN",44.996828,-93.299125,5,Near - North,Near North,2,1,12/18/2016,10:26,Ferry
"1218 Sheridan Ave n,Minneapolis,MN",44.990544,-93.31206800000001,5,Willard - Hay,Near North,2,1,12/18/2016,14:34,Ferry
"410 8th ave se,Minneapolis,MN",44.98418,-93.243798,3,Marcy Holmes,University,2,4,12/18/2016,11:27,Ferry
"3715 4TH AVE S,Minneapolis,MN",44.935516,-93.269785,8,Central,Powderhorn,1,5,12/17/2016,21:53,Ferry
"1102 13th ave se,Minneapolis,MN",44.990904,-93.233074,2,Como,University,2,4,12/18/2016,13:36,Ferry
"3610 10th Avenue South,Minneapolis,MN",44.937288,-93.260023,9,Powderhorn Park,Powderhorn,2,6,12/18/2016,10:27,Ferry
"2226 6th st n,Minneapolis,MN",45.002334999999995,-93.286192,5,Hawthorne,Near North,2,1,12/18/2016,11:27,Ferry
"3204 16th Avenue South,Minneapolis,MN",44.944386,-93.251474,9,Powderhorn Park,Powderhorn,2,6,12/18/2016,14:34,Ferry
"3038 13th ave s,Minneapolis,MN",44.947041,-93.256644,9,Powderhorn Park,Powderhorn,2,6,12/18/2016,13:36,Ferry
"420 7th ave se,Minneapolis,MN",44.984832,-93.24509300000001,3,Marcy Holmes,University,2,4,12/18/2016,10:28,Ferry
"3238 Chicago Avenue South,Minneapolis,MN",44.943534,-93.26263399999999,9,Central,Powderhorn,1,5,12/17/2016,21:55,Ferry
"108 9th ave ne,Minneapolis,MN",44.996217,-93.267119,3,St. Anthony West,Northeast,2,2,12/18/2016,11:28,Ferry
"202 23rd ave ne,Minneapolis,MN",45.011092,-93.266166,3,Bottineau,Northeast,2,2,12/18/2016,15:40,Ferry
"612 8th ave se,Minneapolis,MN",44.986208000000005,-93.242187,3,Marcy Holmes,University,2,4,12/18/2016,10:28,Ferry
"3934 aldrich ave n ,Minneapolis,MN",45.026786,-93.28909300000001,4,Webber - Camden,Camden,2,1,12/18/2016,14:34,Ferry
"2834 Emerson ave s,Minneapolis,MN",44.951218,-93.29447900000001,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,21:55,Ferry
"224 12th ave ne,Minneapolis,MN",44.99961,-93.265047,3,Sheridan,Northeast,2,2,12/18/2016,13:36,Ferry
"1710 Fremont Ave s,Minneapolis,MN",44.967013,-93.295642,7,Lowry Hill,Calhoun Isles,2,3,12/18/2016,11:29,Ferry
"2722 Bryant Ave n,Minneapolis,MN",45.008463,-93.290293,5,Hawthorne,Near North,2,1,12/18/2016,15:41,Ferry
"3822 11th ave s,Minneapolis,MN",44.933352,-93.25873100000001,8,Bancroft,Powderhorn,2,6,12/18/2016,10:29,Ferry
"2017 PORTLAND AVE,Minneapolis,MN",44.962005,-93.267656,6,Ventura Village,Phillips,2,3,12/18/2016,02:35,Ferry
"1004 Newton Ave N,Minneapolis,MN",44.988157,-93.305711,5,Near - North,Near North,2,1,12/18/2016,13:37,Ferry
"2912 EMERSON AVE S,Minneapolis,MN",44.949559,-93.294494,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,21:55,Ferry
"1828 Oliver Ave n,Minneapolis,MN",44.998234000000004,-93.306933,5,Willard - Hay,Near North,2,1,12/18/2016,13:37,Ferry
