Longitude,Latitude,Location,Ward,Neighborhood,Community,Day,Date,Time,Emergency,Tow_Zone
-93.3159406854535,45.01253448363783,3121 VINCENT AVE N,4,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.30289714752804,45.00195330926103,2225 ILLION AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.26726996335987,45.002023179367505,163 14TH AVE NE,3,Sheridan,Northeast,3,12/31/2015,00:00,Grant,-1
-93.3159406854535,45.01255353561019,3123 VINCENT AVE N,4,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.28652984305141,45.01321400006749,3205 6TH ST N,4,McKinley,Camden,3,12/31/2015,00:00,Grant,-1
-93.3133804868937,45.00246780532138,2301 THOMAS AVE N,5,Willard - Hay,Near North,3,12/31/2015,00:00,Grant,-1
-93.30957163008905,45.01328385643968,3205 QUEEN AVE N,4,Cleveland,Camden,3,12/31/2015,00:00,Grant,-1
-93.28343963847401,45.01336006329396,3219 3RD ST N,4,McKinley,Camden,3,12/31/2015,00:00,Grant,-1
-93.28343963847401,45.00264565473674,2305 3RD ST N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.30208866377231,45.00270917225128,2311 ILLION AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.29690538458296,45.01338546555618,3211 GIRARD AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.29690538458296,45.01341721836813,3213 GIRARD AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.29110226784756,45.00272822749192,2311 BRYANT AVE N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.28343963847401,45.00275363446956,2315 3RD ST N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.30577175643722,45.01345532171922,3211 NEWTON AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.28343963847401,45.01345532171922,3227 3RD ST N,4,McKinley,Camden,3,12/31/2015,00:00,Grant,-1
-93.26262567334095,45.003109330973565,347 15TH AVE NE,3,Sheridan,Northeast,3,12/31/2015,00:00,Grant,-1
-93.25228606442076,45.00311568267679,713 15TH AVE NE,1,Logan Park,Northeast,3,12/31/2015,00:00,Grant,-1
-93.29817200913358,45.01346802283062,3215 HUMBOLDT AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.31211386234312,45.013474373385264,3211 SHERIDAN AVE N,4,Cleveland,Camden,3,12/31/2015,00:00,Grant,-1
-93.3133804868937,45.00316649627715,2341 THOMAS AVE N,5,Willard - Hay,Near North,3,12/31/2015,00:00,Grant,-1
-93.29817200913358,45.013569631620385,3221 HUMBOLDT AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.30486445800025,45.00333799184568,2343 LOGAN AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.3007052582348,45.01369664235408,3227 JAMES AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.3133804868937,45.003439618607,2357 THOMAS AVE N,5,Willard - Hay,Near North,3,12/31/2015,00:00,Grant,-1
-93.303238507336,45.01371569393983,3227 LOGAN AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.28651187674572,45.00371273963472,2401 6TH ST N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.26460196696604,45.01383635383577,2537 3RD ST NE,1,Marshall Terrace,Northeast,3,12/31/2015,00:00,Grant,-1
-93.28499372391556,45.00387153033135,2415 4TH ST N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.31212284549595,45.01406497188885,3245 SHERIDAN AVE N,4,Cleveland,Camden,3,12/31/2015,00:00,Grant,-1
-93.28499372391556,45.003909640033044,2419 4TH ST N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.30702939783501,45.01415387866299,3251 OLIVER AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.30340020408717,45.004271680934735,2439 LOGAN AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.24671650965921,45.015004836518365,949 26TH AVE NE,1,Audubon Park,Northeast,3,12/31/2015,00:00,Grant,-1
-93.30954468063051,45.00477980465697,2505 QUEEN AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.26563502954276,45.01501118690258,237 26TH AVE NE,1,Marshall Terrace,Northeast,3,12/31/2015,00:00,Grant,-1
-93.30954468063051,45.004856022826566,2511 QUEEN AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.2657248610712,45.01501753728609,231 26TH AVE NE,1,Marshall Terrace,Northeast,3,12/31/2015,00:00,Grant,-1
-93.28957513186457,45.00500845886158,2517 ALDRICH AVE N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.22804951805522,45.015068340328895,2305 26TH AVE NE,1,Audubon Park,Northeast,3,12/31/2015,00:00,Grant,-1
-93.29263838698341,45.005040216317816,2519 DUPONT AVE N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.29185685268621,45.01522074918684,3315 COLFAX AVE N,4,McKinley,Camden,3,12/31/2015,00:00,Grant,-1
-93.31337150374088,45.0051672459667,2505 THOMAS AVE N,5,Willard - Hay,Near North,3,12/31/2015,00:00,Grant,-1
-93.29943863368419,45.015284252757944,3315 IRVING AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.25831375997723,45.00527522094677,607 17TH AVE NE,1,Holland,Northeast,3,12/31/2015,00:00,Grant,-1
-93.303238507336,45.015449361713216,3323 LOGAN AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.31337150374088,45.005287923872224,2519 THOMAS AVE N,5,Willard - Hay,Near North,3,12/31/2015,00:00,Grant,-1
-93.303238507336,45.01551921535868,3327 LOGAN AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.26405399464272,45.00531332971469,309 17TH AVE NE,3,Bottineau,Northeast,3,12/31/2015,00:00,Grant,-1
-93.3045051318866,45.015595419238366,3331 MORGAN AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.2319931221525,45.00605009424455,1803 ARTHUR ST NE,1,Windom Park,Northeast,3,12/31/2015,00:00,Grant,-1
-93.29816302598074,45.01562082050905,3335 HUMBOLDT AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.23455332071224,45.00606279699818,1803 HAYES ST NE,1,Windom Park,Northeast,3,12/31/2015,00:00,Grant,-1
-93.3045051318866,45.01566527270567,3335 MORGAN AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.28344862162686,45.00613901346077,2617 3RD ST N,5,Hawthorne,Near North,3,12/31/2015,00:00,Grant,-1
-93.29943863368419,45.0157668775969,3343 IRVING AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.30067830877628,45.00614536482807,2607 JAMES AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.3045051318866,45.0158748325963,3347 MORGAN AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.30446919927526,45.00615806756057,2607 MORGAN AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.3045051318866,45.015938335442065,3351 MORGAN AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.30194493332688,45.00618347301712,2609 KNOX AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.30703838098783,45.01595738628206,3351 OLIVER AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
-93.2994206673785,45.00620252710214,2611 IRVING AVE N,5,Jordan,Near North,3,12/31/2015,00:00,Grant,-1
-93.30069627508196,45.01716392656996,3419 JAMES AVE N,4,Folwell,Camden,3,12/31/2015,00:00,Grant,-1
