Date,Time,Location,Latitude,Longitude,Ward,Community,Neighborhood,Emergency
12/29/2015,00:00,2326 Central Ave NE,45.011236184280484,-93.24740688343616,1,Northeast,Holland,Grant
12/29/2015,00:00,618 1ST N,44.97945116173709,-93.27510825313226,3,Central,Downtown West,Grant
12/29/2015,00:00,1824 3rd ave s,44.964889467239466,-93.27281155185176,6,Central,Steven's Square - Loring Heights,Grant
12/29/2015,00:00,2519 bloomington ave s,44.95697462618004,-93.25235251858196,9,Phillips,East Phillips,Grant
12/29/2015,00:00,3447 Central Ave NE,45.030269886375805,-93.24719240972475,1,Northeast,Waite Park,Grant
12/29/2015,00:00,4540 Lyndale Ave n,45.03756901548505,-93.2876295781686,4,Camden,Camden Industrial,Grant
12/29/2015,00:00,4643 lyndale ave n,45.03931408986688,-93.28739284932645,4,Camden,Lind - Bohanon,Grant
12/29/2015,00:00,702 25th ave s,44.966536257185275,-93.23620745023808,2,University,Cedar Riverside,Grant
12/29/2015,00:00,4729 Lyndale Ave n,45.04086057914243,-93.28701421111319,4,Camden,Lind - Bohanon,Grant
12/29/2015,00:00,4651 lyndale ave. n,45.039451372760894,-93.28736499019708,4,Camden,Lind - Bohanon,Grant
12/29/2015,00:00,4859 Chicago av s,44.915047057910265,-93.26258083712437,11,Nokomis,Northrop,Grant
12/29/2015,00:00,720 25th ave s,44.96624151995696,-93.23620590678324,2,University,Cedar Riverside,Grant
12/29/2015,00:00,704 25th ave s,44.96650350867914,-93.23620727874311,2,University,Cedar Riverside,Grant
12/29/2015,00:00,chicago ave s/34th st e,44.941456,-93.262657,9,Powderhorn,Central,Grant
12/29/2015,00:00,716 25th Ave s,44.966307017249676,-93.23620624977322,2,University,Cedar Riverside,Grant
12/29/2015,00:00,2005 3rd Ave S,44.96260617377678,-93.27268658405485,10,Powderhorn,Whittier,Grant
12/29/2015,00:00,3040 4TH AVE S,44.947654069183926,-93.27035737319329,9,Powderhorn,Central,Grant
12/29/2015,00:00,3953 chicago ave s,44.93139550651957,-93.26244144852596,8,Powderhorn,Bancroft,Grant
12/29/2015,00:00,4504 3rd av s,44.92136523854043,-93.2728504579048,8,Nokomis,Regina,Grant
12/29/2015,00:00,357 13th Ave NE,45.000936866083286,-93.26246700409115,3,Northeast,Sheridan,Grant
12/29/2015,00:00,3063 4TH AVE S,44.947298162518486,-93.27024776893929,9,Powderhorn,Central,Grant
12/29/2015,00:00,506 24th st e,44.95924046288883,-93.26886406600711,6,Phillips,Phillips West,Grant
12/29/2015,00:00,726 1st St N,44.98952788196233,-93.27484960256967,3,Central,North Loop,Grant
12/29/2015,00:00,3909 3rd ave s,44.93213704290253,-93.27267369532234,8,Powderhorn,Bryant,Grant
