Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Emergency,Day,Date,Time
704 18TH ST E,44.965232,-93.26450200000001,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,15:19
1716 THOMAS PL,44.98527,-93.30251899999999,5,Near North,Near - North,1,Howe,2,04/16/2018,15:19
912 27TH AVE NE,45.016782,-93.248323,1,Northeast,Columbia Park,2,Howe,2,04/16/2018,15:19
2400 HARRIET AVE S,44.958859999999994,-93.285934,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:19
5126 ALDRICH AVE N,45.048379,-93.289914,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:19
4456 35TH AVE S,44.92167,-93.22166,12,Nokomis,Ericsson,6,Howe,2,04/16/2018,15:20
64 BEDFORD ST SE,44.967602,-93.20914599999999,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:20
1714 THOMAS PL,44.985276,-93.30234,5,Near North,Near - North,1,Howe,2,04/16/2018,15:20
908 27TH AVE NE,45.016789,-93.248459,1,Northeast,Columbia Park,2,Howe,2,04/16/2018,15:20
3434 OLIVER AVE N,45.017795,-93.306991,4,Camden,Folwell,1,Howe,2,04/16/2018,15:20
410 37TH ST E,44.936285,-93.267937,8,Powderhorn,Central,5,Howe,2,04/16/2018,15:21
1710 THOMAS PL,44.985079,-93.302583,5,Near North,Near - North,1,Howe,2,04/16/2018,15:21
2652 BUCHANAN ST NE,45.016628999999995,-93.23971999999999,1,Northeast,Audubon Park,2,Howe,2,04/16/2018,15:21
5142 ALDRICH AVE N,45.048853,-93.289929,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:21
1708 THOMAS PL,44.985257,-93.30232099999999,5,Near North,Near - North,1,Howe,2,04/16/2018,15:22
3640 OLIVER AVE N,45.021834000000005,-93.306998,4,Camden,Folwell,1,Howe,2,04/16/2018,15:22
5548 1ST AVE S,44.901813,-93.276841,11,Southwest,Windom,5,Howe,2,04/16/2018,15:23
644 27TH AVE NE,45.016787,-93.25599,1,Northeast,Columbia Park,2,Howe,2,04/16/2018,15:23
2120 HARRIET AVE S,44.961209000000004,-93.285764,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:23
5236 ALDRICH AVE N,45.050536,-93.289869,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:23
1706 THOMAS PL,44.985295,-93.302382,5,Near North,Near - North,1,Howe,2,04/16/2018,15:24
646 27TH AVE NE,45.016768,-93.255969,1,Northeast,Holland,2,Howe,2,04/16/2018,15:24
3730 OLIVER AVE N,45.023112,-93.30703299999999,4,Camden,Folwell,1,Howe,2,04/16/2018,15:24
3804 41ST AVE S,44.934001,-93.214108,12,Longfellow,Howe,6,Howe,2,04/16/2018,15:25
230 37TH ST E,44.935990000000004,-93.272306,8,Powderhorn,Central,5,Howe,2,04/16/2018,15:25
1020 18TH ST E,44.965184,-93.25860899999999,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,15:25
1708 THOMAS PL,44.985267,-93.30234499999999,5,Near North,Near - North,1,Howe,2,04/16/2018,15:25
1322 35TH AVE N,45.018587,-93.296322,4,Camden,Folwell,1,Howe,2,04/16/2018,15:25
2112 HARRIET AVE S,44.961444,-93.285811,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:25
5246 ALDRICH AVE N,45.050822,-93.289997,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:25
2720 16TH AVE S,44.952809,-93.251429,9,Phillips,East Phillips,3,Howe,2,04/16/2018,15:25
3750 OLIVER AVE N,45.023722,-93.30703100000001,4,Camden,Folwell,1,Howe,2,04/16/2018,15:26
2726 16TH AVE S,44.952658,-93.251245,9,Phillips,East Phillips,3,Howe,2,04/16/2018,15:27
2644 6TH ST NE,45.016290999999995,-93.25920699999999,1,Northeast,Holland,2,Howe,2,04/16/2018,15:27
2100 HARRIET AVE S,44.96176,-93.28586800000001,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:27
76 MALCOLM AVE SE,44.96863,-93.214926,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:28
84 MALCOLM AVE SE,44.96864,-93.215058,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:28
2724 16TH AVE S,44.952637,-93.251306,9,Phillips,East Phillips,3,Howe,2,04/16/2018,15:29
1314 18TH ST E,44.965171999999995,-93.255794,6,Phillips,Ventura Village,3,Howe,2,04/16/2018,15:29
2010 NORTH FRONTAGE ROAD,44.984956,-93.30705999999999,5,Near North,Near - North,1,Howe,2,04/16/2018,15:29
2004 HARRIET AVE S,44.962543,-93.285788,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:29
4206 57TH ST E,44.899946,-93.21266,12,Nokomis,Morris Park,6,Howe,2,04/16/2018,15:29
3940 41ST AVE S,44.931237,-93.213996,12,Longfellow,Howe,6,Howe,2,04/16/2018,15:30
2724 16TH AVE S,44.95267,-93.251254,9,Phillips,East Phillips,3,Howe,2,04/16/2018,15:30
2200 BUTLER PL,44.964227,-93.240863,6,Longfellow,Seward,4,Howe,2,04/16/2018,15:30
82 MALCOLM AVE SE,44.968539,-93.215182,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:30
1106 21ST AVE N,45.000268,-93.29439599999999,5,Near North,Jordan,1,Howe,2,04/16/2018,15:30
2108 35TH AVE N,45.018681,-93.305963,4,Camden,Folwell,1,Howe,2,04/16/2018,15:30
3658 5TH ST NE,45.034926,-93.259957,1,Northeast,Columbia Park,2,Howe,2,04/16/2018,15:30
4130 41ST AVE S,44.928461999999996,-93.21409,12,Longfellow,Hiawatha,6,Howe,2,04/16/2018,15:32
1404 14TH AVE N,44.993088,-93.298496,5,Near North,Near - North,1,Howe,2,04/16/2018,15:32
810 26TH AVE NE,45.014941,-93.250277,1,Northeast,Holland,2,Howe,2,04/16/2018,15:32
2202 BUTLER PL,44.964729,-93.241194,2,University,Cedar Riverside,4,Howe,2,04/16/2018,15:33
1118 21ST AVE N,45.000256,-93.295202,5,Near North,Jordan,1,Howe,2,04/16/2018,15:33
4416 BRYANT AVE N,45.035475,-93.291366,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:33
5740 24TH AVE S,44.89852,-93.237494,11,Nokomis,Wenonah,6,Howe,2,04/16/2018,15:34
3710 45TH ST W,44.921555,-93.327078,13,Southwest,Linden Hills,5,Howe,2,04/16/2018,15:34
2700 ESSEX ST SE,44.970302000000004,-93.219942,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:34
2106 NORTH FRONTAGE ROAD,44.984727,-93.309321,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:34
820 26TH AVE NE,45.014959999999995,-93.249813,1,Northeast,Holland,2,Howe,2,04/16/2018,15:34
4422 BRYANT AVE N,45.036335,-93.29114,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:34
4420 BRYANT AVE N,45.036226,-93.291127,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:34
2820 16TH AVE S,44.951205,-93.251468,9,Phillips,East Phillips,3,Howe,2,04/16/2018,15:34
4400 41ST AVE S,44.923362,-93.214118,12,Longfellow,Hiawatha,6,Howe,2,04/16/2018,15:35
