Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
"710 RUSSELL AVE N,Minneapolis,MN",44.985471000000004,-93.31076800000001,5,Near North,Willard - Hay,1,2,Howe,04/16/2018,14:43
"150 26th Ave SE,Minneapolis,MN",44.971199,-93.220151,2,University,Prospect Park - East River Road,4,2,Howe,04/16/2018,14:43
"360 18th Ave NE,Minneapolis,MN",45.006359,-93.262426,1,Northeast,Holland,2,2,Howe,04/16/2018,14:44
"3520 31st st e ,Minneapolis,MN",44.939345,-93.227075,12,Longfellow,Howe,6,2,Howe,04/16/2018,14:46
"4004 Emerson Ave n,Minneapolis,MN",45.027867,-93.294223,4,Camden,Webber - Camden,1,2,Howe,04/16/2018,14:47
"3024 13th ave,Minneapolis,MN",44.947417,-93.256635,9,Powderhorn,Powderhorn Park,6,2,Howe,04/16/2018,14:49
"3128 15th ave,Minneapolis,MN",44.945703,-93.254061,9,Powderhorn,Powderhorn Park,6,2,Howe,04/16/2018,14:51
"1104 14th ave se,Minneapolis,MN",44.991001000000004,-93.231776,1,University,Como,4,2,Howe,04/16/2018,14:53
"2516 34th st e,Minneapolis,MN",44.941345,-93.23521,9,Powderhorn,Corcoran,6,2,Howe,04/16/2018,14:57
"2320 pleasant Ave ,Minneapolis,MN",44.959438,-93.283287,10,Powderhorn,Whittier,3,2,Howe,04/16/2018,15:00
"1404 6th st se,Minneapolis,MN",44.982157,-93.23411899999999,3,University,Marcy Holmes,4,2,Howe,04/16/2018,15:00
"238 Irving ave n,Minneapolis,MN",44.979246,-93.299148,5,Near North,Harrison,3,2,Howe,04/16/2018,15:02
"3714 43rd st e,Minneapolis,MN",44.925314,-93.218599,12,Longfellow,Hiawatha,6,2,Howe,04/16/2018,15:02
"814 Oliver Ave N,Minneapolis,MN",44.986571999999995,-93.306748,5,Near North,Near - North,1,2,Howe,04/16/2018,15:02
"3620 dupont Ave n ,Minneapolis,MN",45.02098,-93.292816,4,Camden,McKinley,1,2,Howe,04/16/2018,15:03
"320 bryant ave n ,Minneapolis,MN",44.981493,-93.290435,5,Near North,Sumner - Glenwood,3,2,Howe,04/16/2018,15:05
"3726 Colfax Ave n ,Minneapolis,MN",45.022931,-93.291575,4,Camden,McKinley,1,2,Howe,04/16/2018,15:06
"1350 sheridan ave n ,Minneapolis,MN",44.993131,-93.311751,5,Near North,Willard - Hay,1,2,Howe,04/16/2018,15:08
"1348 sheridan ave n ,Minneapolis,MN",44.9931,-93.31173000000001,5,Near North,Willard - Hay,1,2,Howe,04/16/2018,15:14
"1816 Steven ave s,Minneapolis,MN",44.964705,-93.275673,6,Central,Steven's Square - Loring Heights,3,2,Howe,04/16/2018,15:16
"622 RUSSELL AVE N,Minneapolis,MN",44.984998,-93.310753,5,Near North,Willard - Hay,1,2,Howe,04/16/2018,15:18
"2705 Delaware st se,Minneapolis,MN",44.971455999999996,-93.218878,2,University,Prospect Park - East River Road,4,2,Howe,04/16/2018,15:20
"2516 Delaware st se,Minneapolis,MN",44.972114000000005,-93.221298,2,University,Prospect Park - East River Road,4,2,Howe,04/16/2018,15:22
"3706 DuPont Ave n,Minneapolis,MN",45.022421,-93.29282099999999,4,Camden,McKinley,1,2,Howe,04/16/2018,15:23
"738 16th st e,Minneapolis,MN",44.967394,-93.26292600000001,6,Central,Elliot Park,3,2,Howe,04/16/2018,15:23
"3014 ALDRICH Av S,Minneapolis,MN",44.948132,-93.289383,10,Calhoun Isle,South Uptown,5,2,Howe,04/16/2018,15:26
"1430 Newton Ave N,Minneapolis,MN",44.994011,-93.30543399999999,5,Near North,Willard - Hay,1,2,Howe,04/16/2018,15:28
