Longitude,Latitude,Location,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
-93.29924998747452,45.00023193700181,1513 HILLSIDE AVE N,5,Jordan,Near North,3,1,01/13/2017,00:00,Jane
-93.2856584772258,44.9152742607766,4837 HARRIET AVE S,11,Tangletown,Southwest,3,5,01/13/2017,00:00,Jane
-93.25747832676298,44.95482240320359,2639 12TH AVE S,9,Midtown Phillips,Phillips,3,3,01/13/2017,00:00,Jane
-93.27677413906585,44.90111832611708,5621 1ST AVE S,11,Windom,Southwest,3,5,01/13/2017,00:00,Jane
-93.22240809807094,44.9564688568008,2551 34TH AVE S,2,Seward,Longfellow,3,4,01/13/2017,00:00,Jane
-93.2190573820612,44.94822340085091,3007 37TH AVE S,2,Longfellow,Longfellow,3,6,01/13/2017,00:00,Jane
-93.26636266492292,45.03263713912575,3539 2ND ST NE,1,Columbia Park,Northeast,3,2,01/13/2017,00:00,Jane
-93.30668803802703,45.03746174176686,4531 NEWTON AVE N,4,Victory,Camden,3,1,01/13/2017,00:00,Jane
-93.25498101027313,44.949361433238906,2941 14TH AVE S,9,Midtown Phillips,Phillips,3,3,01/13/2017,00:00,Jane
-93.22548931949545,44.89994752196458,5731 BOSSEN TERR,11,Wenonah,Nokomis,3,6,01/13/2017,00:00,Jane
-93.3057627732844,45.01238206763068,3107 NEWTON AVE N,5,Jordan,Near North,3,1,01/13/2017,00:00,Jane
-93.29129989721007,44.996280842734315,915 17TH AVE N,5,Near - North,Near North,3,1,01/13/2017,00:00,Jane
-93.29692335088865,44.95145306520431,2835 GIRARD AVE S,10,Lowry Hill East,Calhoun Isle,3,3,01/13/2017,00:00,Jane
-93.2688689645656,45.01730997972194,2727 CALIFORNIA ST NE,1,Marshall Terrace,Northeast,3,2,01/13/2017,00:00,Jane
-93.28832647361963,45.01487147828702,723 33RD AVE N,4,McKinley,Camden,3,1,01/13/2017,00:00,Jane
-93.26636266492292,45.03270697180182,3543 2ND ST NE,1,Columbia Park,Northeast,3,2,01/13/2017,00:00,Jane
-93.25674170823,44.96370887778283,1917 13TH AVE S,6,Ventura Village,Phillips,3,3,01/13/2017,00:00,Jane
-93.2493755229002,44.96845031034853,1621 6TH ST S,6,Cedar Riverside,University,3,4,01/13/2017,00:00,Jane
-93.26636266492292,45.03277680439269,3547 2ND ST NE,1,Columbia Park,Northeast,3,2,01/13/2017,00:00,Jane
-93.25674170823,44.96373430205879,1915 13TH AVE S,6,Ventura Village,Phillips,3,3,01/13/2017,00:00,Jane
-93.3057627732844,45.01252178231938,3123 NEWTON AVE N,5,Jordan,Near North,3,1,01/13/2017,00:00,Jane
-93.29133582982143,44.996280842734315,917 17TH AVE N,5,Near - North,Near North,3,1,01/13/2017,00:00,Jane
-93.27924450609719,44.9087343341244,115 52ND ST W,11,Tangletown,Southwest,3,5,01/13/2017,00:00,Jane
-93.29692335088865,44.95139584832267,2839 GIRARD AVE S,10,Lowry Hill East,Calhoun Isle,3,3,01/13/2017,00:00,Jane
-93.2688689645656,45.01597008683853,2655 CALIFORNIA ST NE,1,Marshall Terrace,Northeast,3,2,01/13/2017,00:00,Jane
-93.22557016787106,44.89991570630161,5733 BOSSEN TERR,11,Wenonah,Nokomis,3,6,01/13/2017,00:00,Jane
-93.24935755659452,44.968443954803135,1623 6TH ST S,6,Cedar Riverside,University,3,4,01/13/2017,00:00,Jane
-93.22564203309376,44.899883890621034,5735 BOSSEN TERR,11,Wenonah,Nokomis,3,6,01/13/2017,00:00,Jane
-93.29288991526295,45.00146421612981,1019 22ND AVE N,5,Hawthorne,Near North,3,1,01/13/2017,00:00,Jane
-93.29145261080835,44.996280842734315,925 17TH AVE N,5,Near - North,Near North,3,1,01/13/2017,00:00,Jane
