Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
"2709 4th St se,Minneapolis,MN",44.973232,-93.217582,2,Prospect Park - East River Road,University,3,4,01/13/2017,14:10,Jane
"2715 4thSST se,Minneapolis,MN",44.973393,-93.21695600000001,2,Prospect Park - East River Road,University,3,4,01/13/2017,14:13,Jane
"2807 4th st se,Minneapolis,MN",44.97282,-93.216539,2,Prospect Park - East River Road,University,3,4,01/13/2017,14:14,Jane
"2513 Delaware st se,Minneapolis,MN",44.972383,-93.22194499999999,2,Prospect Park - East River Road,University,3,4,01/13/2017,14:16,Jane
"2601 Delaware st se,Minneapolis,MN",44.971919,-93.220766,2,Prospect Park - East River Road,University,3,4,01/13/2017,14:19,Jane
"2805 4TH ST SE,Minneapolis,MN",44.972822,-93.216546,2,Prospect Park - East River Road,University,3,4,01/13/2017,14:32,Jane
"2615 Delaware st se,Minneapolis,MN",44.971841,-93.220568,2,Prospect Park - East River Road,University,3,4,01/13/2017,14:36,Jane
"4500 block of 4th Avenue South,Minneapolis,MN",44.921371,-93.270537,8,Regina,Nokomis,1,5,01/11/2017,22:51,Jane
"4500 block of 3rd ave s,Minneapolis,MN",44.921353,-93.272817,8,Regina,Nokomis,1,5,01/11/2017,23:10,Jane
"4500 4th ave S,Minneapolis,MN",44.921371,-93.270537,8,Regina,Nokomis,1,5,01/11/2017,23:12,Jane
"2213 9th st s,Minneapolis,MN",44.963972,-93.240012,6,Seward,Longfellow,1,4,01/11/2017,22:07,Jane
"2329 9TH ST S,Minneapolis,MN",44.963068,-93.237898,6,Seward,Longfellow,1,4,01/11/2017,22:23,Jane
"2304 9th st s,Minneapolis,MN",44.963994,-93.238798,6,Seward,Longfellow,1,4,01/11/2017,23:55,Jane
"2205 9TH ST S,Minneapolis,MN",44.963978000000004,-93.240521,6,Seward,Longfellow,2,4,01/12/2017,00:02,Jane
"2325 9th st s,Minneapolis,MN",44.963965,-93.238028,6,Seward,Longfellow,2,4,01/12/2017,00:27,Jane
"2216 9TH ST S,Minneapolis,MN",44.963998,-93.239685,6,Seward,Longfellow,2,4,01/12/2017,00:46,Jane
"2128 9th street,Minneapolis,MN",44.964032,-93.24204499999999,6,Seward,Longfellow,2,4,01/12/2017,00:55,Jane
"2525 9th st s,Minneapolis,MN",44.963974,-93.234949,6,Seward,Longfellow,2,4,01/12/2017,01:02,Jane
"2218 27th Ave s,Minneapolis,MN",44.960384999999995,-93.233335,6,Seward,Longfellow,2,4,01/12/2017,01:06,Jane
"2201 minnehaha ave,Minneapolis,MN",44.96082,-93.242778,6,Seward,Longfellow,2,4,01/12/2017,01:30,Jane
"2122 Minnehaha Ave,Minneapolis,MN",44.962364,-93.24415,6,Seward,Longfellow,2,4,01/12/2017,01:31,Jane
"2107 9th Street South,Minneapolis,MN",44.964005,-93.242239,6,Seward,Longfellow,2,4,01/12/2017,01:32,Jane
"2205 minnehaha ave ,Minneapolis,MN",44.960715,-93.242976,6,Seward,Longfellow,2,4,01/12/2017,02:25,Jane
"914 24th ave ne,Minneapolis,MN",44.963547999999996,-93.23787,6,Seward,Longfellow,2,4,01/12/2017,14:11,Jane
"2018 22nd Ave s,Minneapolis,MN",44.962588000000004,-93.24095200000001,6,Seward,Longfellow,2,4,01/12/2017,14:21,Jane
"2106 22nd Ave s,Minneapolis,MN",44.961626,-93.24094699999999,6,Seward,Longfellow,2,4,01/12/2017,14:23,Jane
"904 25th Ave s,Minneapolis,MN",44.962847,-93.234592,6,Seward,Longfellow,2,4,01/12/2017,15:21,Jane
"902 25th Ave s,Minneapolis,MN",44.962849,-93.234592,6,Seward,Longfellow,2,4,01/12/2017,15:23,Jane
"353 13th Ave Ne,Minneapolis,MN",45.00092,-93.261985,3,Sheridan,Northeast,1,2,01/11/2017,22:34,Jane
"342 13th ave ne,Minneapolis,MN",45.00063,-93.26253,3,Sheridan,Northeast,1,2,01/11/2017,22:37,Jane
"344 13th ave ne,Minneapolis,MN",45.000893,-93.262157,3,Sheridan,Northeast,1,2,01/11/2017,22:42,Jane
"338 13th ave ne,Minneapolis,MN",45.000892,-93.262626,3,Sheridan,Northeast,1,2,01/11/2017,22:52,Jane
"205 13th ave ne ,Minneapolis,MN",45.000924,-93.26598,3,Sheridan,Northeast,1,2,01/11/2017,22:54,Jane
"340 13th ave ne,Minneapolis,MN",45.000892,-93.2626,3,Sheridan,Northeast,1,2,01/11/2017,22:56,Jane
"339 13th ave ne,Minneapolis,MN",45.001123,-93.26257,3,Sheridan,Northeast,1,2,01/11/2017,22:58,Jane
"118 13th ave ne,Minneapolis,MN",45.000337,-93.269272,3,Sheridan,Northeast,1,2,01/11/2017,23:36,Jane
"120 13th ave ne,Minneapolis,MN",45.00028,-93.268821,3,Sheridan,Northeast,1,2,01/11/2017,23:49,Jane
"116 13th ave ne,Minneapolis,MN",45.00031,-93.269351,3,Sheridan,Northeast,1,2,01/11/2017,23:54,Jane
"1200 4th st ne,Minneapolis,MN",44.999817,-93.261588,3,Sheridan,Northeast,2,2,01/12/2017,01:27,Jane
"1312 Grand St ne,Minneapolis,MN",45.000999,-93.26904300000001,3,Sheridan,Northeast,2,2,01/12/2017,09:56,Jane
"1428 Grand st ne,Minneapolis,MN",45.002449,-93.27028,3,Sheridan,Northeast,2,2,01/12/2017,10:21,Jane
"1400 5th st ne,Minneapolis,MN",45.002039,-93.260548,3,Sheridan,Northeast,2,2,01/12/2017,10:41,Jane
"1408 Grand st,Minneapolis,MN",45.001909000000005,-93.269938,3,Sheridan,Northeast,2,2,01/12/2017,10:59,Jane
"1110 6th st ne,Minneapolis,MN",44.999108,-93.259198,3,Sheridan,Northeast,2,2,01/12/2017,11:01,Jane
"1311 Main st ne,Minneapolis,MN",45.001031,-93.26765400000001,3,Sheridan,Northeast,3,2,01/13/2017,09:25,Jane
"1207 Main St ne,Minneapolis,MN",45.000231,-93.267397,3,Sheridan,Northeast,3,2,01/13/2017,09:33,Jane
"1115 Main st ne,Minneapolis,MN",44.999338,-93.267353,3,Sheridan,Northeast,3,2,01/13/2017,09:50,Jane
"1119 Main st ne,Minneapolis,MN",44.999448,-93.26736,3,Sheridan,Northeast,3,2,01/13/2017,09:52,Jane
"1509 Main St ne,Minneapolis,MN",45.003409000000005,-93.26766500000001,3,Sheridan,Northeast,3,2,01/13/2017,09:57,Jane
