Location,Latitude,Longitude,Neighborhood,Community,Ward,Day,Tow_Zone,Date,Time,Emergency
624 32ND ST E,44.944999694799996,-93.2657394409,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
710 32ND ST E,44.9447593689,-93.26440429690001,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
712 32ND ST E,44.944770813000005,-93.2644348145,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
914 32ND ST E,44.944770813000005,-93.2610855103,Powderhorn Park,Powderhorn,9,2,6,01/16/2018,00:00,Olive
212 33RD ST E,44.94317245479999,-93.2736358643,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
220 33RD ST E,44.9431915283,-93.27333831790001,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
338 33RD ST E,44.94317245479999,-93.2707824707,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
348 34TH ST E,44.941326141400005,-93.2705688477,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
412 34TH ST E,44.9413948059,-93.2697525024,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
532 34TH ST E,44.9414215088,-93.2661056519,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
538 34TH ST E,44.941425323500006,-93.26586914059999,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
546 34TH ST E,44.9413719177,-93.2655563354,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
702 34TH ST E,44.9413642883,-93.2649536133,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
632 37TH ST E,44.936000824,-93.2657089233,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
638 37TH ST E,44.9360122681,-93.2654342651,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
620 37TH ST E,44.9359931946,-93.26620483399999,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
410 37TH ST E,44.935981750500005,-93.26956939700001,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
408 37TH ST E,44.935985565200006,-93.2696228027,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
406 37TH ST E,44.9360046387,-93.2698364258,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
340 37TH ST E,44.9359931946,-93.27052307129999,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
612 39TH ST E,44.932384491,-93.26684570309999,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
710 39TH ST E,44.9323921204,-93.2647171021,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
714 39TH ST E,44.9323806763,-93.2646560669,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
226 40TH ST E,44.9305305481,-93.2732391357,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
740 41ST ST E,44.9287796021,-93.2629241943,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
406 41ST ST E,44.9287528992,-93.26985168459998,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
228 41ST ST E,44.928760528599994,-93.27300262450001,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
216 43RD ST E,44.925144195600005,-93.2734146118,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
228 43RD ST E,44.9251480103,-93.27303314209999,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
424 43RD ST E,44.925151825,-93.26937103270001,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
516 43RD ST E,44.9233856201,-93.2680206299,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
502 43RD ST E,44.9233665466,-93.2685852051,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
418 45TH ST E,44.9215316772,-93.2699584961,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
716 45TH ST E,44.917930603,-93.2632827759,Field,Nokomis,8,2,5,01/16/2018,00:00,Olive
620 49TH ST E,44.914333343500005,-93.2670669556,Field,Nokomis,8,2,5,01/16/2018,00:00,Olive
5014 LUVERNE AVE S,44.9114494324,-93.2686233521,Page,Nokomis,11,2,5,01/16/2018,00:00,Olive
100 54TH ST E,44.905185699499995,-93.2768554688,Tangletown,Southwest,11,2,5,01/16/2018,00:00,Olive
5744 LOGAN AVE S,44.898418426499994,-93.3035583496,Kenny,Southwest,13,2,5,01/16/2018,00:00,Olive
503 32ND ST E,44.944984436000006,-93.2687225342,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
429 32ND ST E,44.944946289099995,-93.2660446167,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
625 32ND ST E,44.9449653625,-93.2660446167,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
817 32ND ST E,44.944702148400005,-93.26351165770001,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
821 32ND ST E,44.944705963100006,-93.2632522583,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
829 32ND ST E,44.94473266600001,-93.2629699707,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
349 33RD ST E,44.9432182312,-93.2710723877,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
329 33RD ST E,44.943210601800004,-93.271697998,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
327 33RD ST E,44.9431838989,-93.2718734741,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
325 33RD ST E,44.9431877136,-93.27186584469999,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
219 33RD ST E,44.9431800842,-93.2732849121,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
201 33RD ST E,44.9431762695,-93.2738647461,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
501 34TH ST E,44.941387176499994,-93.268699646,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
503 34TH ST E,44.941356658900006,-93.26865386959999,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
711 34TH ST E,44.9413909912,-93.2643661499,Central,Powderhorn,9,3,5,01/17/2018,00:00,Olive
807 34TH ST E,44.941387176499994,-93.26229858399999,Powderhorn Park,Powderhorn,9,3,6,01/17/2018,00:00,Olive
811 34TH ST E,44.9413604736,-93.2622070313,Powderhorn Park,Powderhorn,9,3,6,01/17/2018,00:00,Olive
821 34TH ST E,44.9413642883,-93.2619247437,Powderhorn Park,Powderhorn,9,3,6,01/17/2018,00:00,Olive
619 37TH ST E,44.936000824,-93.2664871216,Central,Powderhorn,8,3,5,01/17/2018,00:00,Olive
613 37TH ST E,44.9360122681,-93.2667160034,Central,Powderhorn,8,3,5,01/17/2018,00:00,Olive
529 39TH ST E,44.9323768616,-93.267791748,Bryant,Powderhorn,8,3,5,01/17/2018,00:00,Olive
637 39TH ST E,44.9323501587,-93.2654190063,Bryant,Powderhorn,8,3,5,01/17/2018,00:00,Olive
721 40TH ST E,44.930576324499995,-93.2641372681,Bryant,Powderhorn,8,3,5,01/17/2018,00:00,Olive
527 40TH ST E,44.9305801392,-93.2678070068,Bryant,Powderhorn,8,3,5,01/17/2018,00:00,Olive
329 40TH ST E,44.9305648804,-93.27158355709999,Bryant,Powderhorn,8,3,5,01/17/2018,00:00,Olive
735 41ST ST E,44.9287376404,-93.263458252,Bryant,Powderhorn,8,3,5,01/17/2018,00:00,Olive
503 43RD ST E,44.925170898400005,-93.2687606812,Regina,Nokomis,8,3,5,01/17/2018,00:00,Olive
405 43RD ST E,44.9251480103,-93.2697601318,Regina,Nokomis,8,3,5,01/17/2018,00:00,Olive
205 43RD ST E,44.9251213074,-93.27354431149999,Regina,Nokomis,8,3,5,01/17/2018,00:00,Olive
407 44TH ST E,44.9233055115,-93.2699966431,Regina,Nokomis,8,3,5,01/17/2018,00:00,Olive
