Location,Latitude,Longitude,Ward,Community,Neighborhood,Day,Tow_Zone,Date,Time,Emergency
"1329 JAMES AVE N,Minneapolis,MN",44.992478000000006,-93.300925,5,Near North,Near - North,3,1,01/17/2018,13:20,Olive
"15 OAK GROVE STREET,Minneapolis,MN",44.966374,-93.278752,7,Central,Loring Park,3,3,01/17/2018,12:12,Olive
"1723 CLIFTON PL,Minneapolis,MN",44.967008,-93.285889,7,Central,Loring Park,3,3,01/17/2018,13:21,Olive
"245 CLIFTON AVE,Minneapolis,MN",44.965571999999995,-93.28331800000001,7,Central,Loring Park,3,3,01/17/2018,13:22,Olive
"3323 GIRARD AVE S,Minneapolis,MN",44.942203000000006,-93.297076,10,Calhoun Isle,South Uptown,3,5,01/17/2018,13:23,Olive
"207 8THAVE SE,Minneapolis,MN",44.982219,-93.245698,3,University,Marcy Holmes,3,4,01/17/2018,13:23,Olive
"3439 18TH AVE S,Minneapolis,MN",44.940016,-93.248648,9,Powderhorn,Powderhorn Park,3,6,01/17/2018,13:24,Olive
"1911 32ND ST E,Minneapolis,MN",44.944595,-93.24411500000001,9,Powderhorn,Corcoran,3,6,01/17/2018,13:25,Olive
"1909 32ND ST E,Minneapolis,MN",44.944587,-93.244341,9,Powderhorn,Corcoran,3,6,01/17/2018,13:26,Olive
"3225 FREMONT AVE S,Minneapolis,MN",44.943881,-93.295496,10,Calhoun Isle,South Uptown,3,5,01/17/2018,13:27,Olive
"1813 34TH ST E,Minneapolis,MN",44.941151,-93.247966,9,Powderhorn,Powderhorn Park,3,6,01/17/2018,13:27,Olive
"223 - 7TH AVE SE,Minneapolis,MN",44.9827,-93.24708100000001,3,University,Marcy Holmes,3,4,01/17/2018,13:27,Olive
"809 MAIN ST NE,Minneapolis,MN",44.996229,-93.265004,3,Northeast,St. Anthony West,3,2,01/17/2018,13:28,Olive
"1205 3RD ST NE,Minneapolis,MN",45.000165,-93.264347,3,Northeast,Sheridan,3,2,01/17/2018,13:32,Olive
"3229 EMERSON AVE S ,Minneapolis,MN",44.943753,-93.294209,10,Calhoun Isle,South Uptown,3,5,01/17/2018,13:34,Olive
"137 10TH AVE NE,Minneapolis,MN",44.997707,-93.26635999999999,3,Northeast,St. Anthony West,3,2,01/17/2018,13:34,Olive
"901 MAIN ST NE,Minneapolis,MN",44.996691999999996,-93.265819,3,Northeast,St. Anthony West,3,2,01/17/2018,13:35,Olive
"3205 21ST AVE S,Minneapolis,MN",44.944438,-93.242007,9,Powderhorn,Corcoran,3,6,01/17/2018,13:35,Olive
"1855 32ND ST E,Minneapolis,MN",44.944549,-93.245391,9,Powderhorn,Corcoran,3,6,01/17/2018,13:36,Olive
"3117 LONGFELLOW AVE S,Minneapolis,MN",44.945899,-93.24610899999999,9,Powderhorn,Corcoran,3,6,01/17/2018,13:37,Olive
"1225 6TH ST SE,Minneapolis,MN",44.983422,-93.236633,3,University,Marcy Holmes,3,4,01/17/2018,13:13,Olive
"727 8TH AVE SE,Minneapolis,MN",44.987487,-93.241192,3,University,Marcy Holmes,3,4,01/17/2018,13:38,Olive
