Location,Latitude,Longitude,Neighborhood,Community,Ward,Day,Tow_Zone,Date,Time,Emergency
2709 ESSEX ST SE,44.9703521729,-93.21982574459999,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
414 33RD AVE N,45.0168075562,-93.3036422729,Folwell,Camden,4,3,1,01/24/2018,00:00,Pembina
2539 EMERSON AVE S,44.956073761000006,-93.2944564819,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
2817 8TH AVE N,44.9861106873,-93.3162078857,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
4421 BRYANT AVE N,45.036277771,-93.2909698486,Lind - Bohanon,Camden,4,3,1,01/24/2018,00:00,Pembina
2535 EMERSON AVE S,44.9562225342,-93.29440307620001,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
3237 NEWTON AVE N,45.014293,-93.307058,Folwell,Camden,4,3,1,01/24/2018,00:00,Pembina
2525 EMERSON AVE S,44.9565162659,-93.2944107056,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
4901 VINCENT AVE S,44.9139938354,-93.31629943850001,Fulton,Southwest,13,3,5,01/24/2018,00:00,Pembina
5543 RICHMOND CUR,44.901805877700006,-93.3111953735,Armatage,Southwest,13,3,5,01/24/2018,00:00,Pembina
2509 EMERSON AVE S,44.9569473267,-93.29440307620001,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
2507 EMERSON AVE S,44.957084655799996,-93.2943878174,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
2521 OAK PARK AVE N,44.987903595,-93.3116531372,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
2509 OAK PARK AVE N,44.987911224399994,-93.3115692139,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
3535 OLIVER AVE N,45.019657,-93.30704399999999,Folwell,Camden,4,3,1,01/24/2018,00:00,Pembina
3039 PIERCE ST NE,45.023517608599995,-93.2410049438,Audubon Park,Northeast,1,3,2,01/24/2018,00:00,Pembina
2213 OAK PARK AVE N,44.9878883362,-93.30902862549999,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
729 27TH AVE S,44.9655723572,-93.2329559326,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
915 17TH AVE N,44.996307373,-93.2916870117,Near - North,Near North,5,3,1,01/24/2018,00:00,Pembina
731 27TH AVE S,44.965534210200005,-93.2329711914,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
5549 41ST AVE S,44.902381897,-93.2139511108,Morris Park,Nokomis,12,3,6,01/24/2018,00:00,Pembina
727 27TH AVE S,44.965911865200006,-93.2332305908,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
2701 GIRARD AVE S,44.9535827637,-93.2969436646,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
3021 53RD ST W,44.9071159363,-93.3284683228,Fulton,Southwest,13,3,5,01/24/2018,00:00,Pembina
2709 GIRARD AVE S,44.953388214099995,-93.2969894409,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
1917 OAK PARK AVE N,44.9878578186,-93.30493164059999,Near - North,Near North,5,3,1,01/24/2018,00:00,Pembina
5633 41ST AVE S,44.9006996155,-93.21410369870001,Morris Park,Nokomis,12,3,6,01/24/2018,00:00,Pembina
717 27TH AVE S,44.9660606384,-93.2329711914,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
4741 EMERSON AVE N,45.0416374207,-93.29532623290001,Lind - Bohanon,Camden,4,3,1,01/24/2018,00:00,Pembina
701 27TH AVE S,44.966133117700004,-93.2330932617,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
2733 GIRARD AVE S,44.9526786804,-93.29697418209999,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
4227 57TH ST E,44.900159,-93.212407,Morris Park,Nokomis,12,3,6,01/24/2018,00:00,Pembina
715 27TH AVE S,44.9660949707,-93.23294830319999,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
3107 TYLER ST NE,45.0242004395,-93.24605560299999,Audubon Park,Northeast,1,3,2,01/24/2018,00:00,Pembina
2737 GIRARD AVE S,44.9527015686,-93.2969055176,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
5751 RUSSELL AVE S,44.898223877,-93.3112411499,Armatage,Southwest,13,3,5,01/24/2018,00:00,Pembina
2745 GIRARD AVE S,44.952331543,-93.2969512939,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
31 RIVER TERRACE COURT,44.9570350647,-93.20840454100001,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
4303 57TH ST E,44.899951,-93.211437,Morris Park,Nokomis,12,3,6,01/24/2018,00:00,Pembina
29 RIVER TERRACE COURT,44.957252502399996,-93.20818328860001,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
703 27TH AVE S,44.966426849399994,-93.23304748540001,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
2129 17TH AVE N,44.996307373,-93.3078918457,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
713 27TH AVE S,44.9661636353,-93.2329788208,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
705 27TH AVE S,44.966426849399994,-93.23304748540001,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
2839 GIRARD AVE S,44.950836181599996,-93.2969512939,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
711 27TH AVE S,44.9661369324,-93.23296356200001,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
2829 GIRARD AVE S,44.951786041300004,-93.2969665527,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
2205 35TH AVE N,45.0186576843,-93.30855560299999,Cleveland,Camden,4,3,1,01/24/2018,00:00,Pembina
707 27TH AVE S,44.9662094116,-93.2330245972,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
709 27TH AVE S,44.9662094116,-93.2329559326,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
709 27TH AVE S,44.9662094116,-93.2330245972,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
2519 PIERCE ST NE,45.0137062073,-93.2409591675,Audubon Park,Northeast,1,3,2,01/24/2018,00:00,Pembina
2907 17TH AVE N,44.9969863892,-93.3177185059,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
2843 POLK ST NE,45.020107269300006,-93.2456130981,Audubon Park,Northeast,1,3,2,01/24/2018,00:00,Pembina
611 27TH AVE S,44.9666862488,-93.23296356200001,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
601 27TH AVE S,44.966960907,-93.2334671021,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
207 26TH AVE SE,44.9722099304,-93.2206268311,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
609 27TH AVE S,44.966743469200004,-93.2329559326,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
603 27TH AVE S,44.9668655396,-93.2330245972,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
607 27TH AVE S,44.9668006897,-93.23296356200001,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
5051 GIRARD AVE N,45.047412872299994,-93.29795837399999,Lind - Bohanon,Camden,4,3,1,01/24/2018,00:00,Pembina
1869 44TH ST E,44.923324585,-93.2465667725,Ericsson,Nokomis,12,3,6,01/24/2018,00:00,Pembina
2003 18TH AVE N,44.997261047399995,-93.30590820309999,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
139 26TH AVE SE,44.9712867737,-93.2212677002,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
605 27TH AVE S,44.966835022,-93.23296356200001,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
619 53RD ST W,44.906513214099995,-93.2880172729,Tangletown,Southwest,11,3,5,01/24/2018,00:00,Pembina
6107 THOMAS AVE S,44.8921966553,-93.31373596190001,Armatage,Southwest,13,3,5,01/24/2018,00:00,Pembina
2615 36TH AVE N,45.020458221400006,-93.31414031979999,Cleveland,Camden,4,3,1,01/24/2018,00:00,Pembina
5141 IRVING AVE N,45.048820495600005,-93.3005142212,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
609 27TH AVE S,44.966854095500004,-93.2333374023,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
22831 FREMONT AVE S,44.9508247375,-93.2957611084,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
611 16TH ST E,44.9671516418,-93.2670288086,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
219 25TH AVE SE,44.973110199,-93.2215957642,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1629 6TH ST S,44.9678878784,-93.2480773926,Cedar Riverside,University,6,3,4,01/24/2018,00:00,Pembina
2809 FREMONT AVE S,44.951507568400004,-93.2956924438,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
1631 6TH ST S,44.9678993225,-93.2480392456,Cedar Riverside,University,6,3,4,01/24/2018,00:00,Pembina
4419 THOMAS AVE S,44.9226570129,-93.3135910034,Linden Hills,Southwest,13,3,5,01/24/2018,00:00,Pembina
2807 FREMONT AVE S,44.9515762329,-93.2956771851,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
5237 JAMES AVE N,45.0503921509,-93.3043441772,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
2631 TAYLOR ST NE,45.016101837200004,-93.24374389649999,Audubon Park,Northeast,1,3,2,01/24/2018,00:00,Pembina
4417 THOMAS AVE S,44.9225769043,-93.31382751459999,Linden Hills,Southwest,13,3,5,01/24/2018,00:00,Pembina
4401 THOMAS AVE S,44.923252105699994,-93.3132019043,Linden Hills,Southwest,13,3,5,01/24/2018,00:00,Pembina
2007 25TH AVE S,44.9622154236,-93.2363967896,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
2925 28TH AVE S,44.949034999999995,-93.231584,Longfellow,Longfellow,2,3,4,01/24/2018,00:00,Pembina
2615 DUPONT AVE S,44.9548225403,-93.2931671143,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
717 21ST AVE N,45.0003890991,-93.28963470459999,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
607 ERIE ST SE,44.9697990417,-93.224357605,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1815 6TH ST S,44.9677276611,-93.2464599609,Cedar Riverside,University,6,3,4,01/24/2018,00:00,Pembina
2629 TAYLOR ST NE,45.0159988403,-93.2437744141,Audubon Park,Northeast,1,3,2,01/24/2018,00:00,Pembina
5025 37TH AVE S,44.9117660522,-93.21900177,Minnehaha,Nokomis,12,3,6,01/24/2018,00:00,Pembina
431 36TH AVE N,45.0202827454,-93.2864761353,McKinley,Camden,4,3,1,01/24/2018,00:00,Pembina
1415 10TH AVE S,44.9683990479,-93.2596206665,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
2015 25TH AVE S,44.962203979499996,-93.23614501950001,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
5117 JAMES AVE N,45.048114776599995,-93.3042984009,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
2545 DUPONT AVE S,44.9559707642,-93.2931137085,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
2919 28TH AVE S,44.949046,-93.231584,Longfellow,Longfellow,2,3,4,01/24/2018,00:00,Pembina
631 ERIE ST SE,44.9693450928,-93.2242202759,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1811 6TH ST S,44.9677352905,-93.2468490601,Cedar Riverside,University,6,3,4,01/24/2018,00:00,Pembina
1405 10TH AVE S,44.968383789099995,-93.2604370117,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
4911 LOGAN AVE N,45.044434,-93.3043,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
2215 30TH AVE N,45.01146698,-93.3117141724,Jordan,Near North,4,3,1,01/24/2018,00:00,Pembina
1623 HILLSIDE AVE N,45.0020370483,-93.30191802979999,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
1615 HILLSIDE AVE N,45.0021629333,-93.3015365601,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
2417 30TH AVE N,45.0114746094,-93.3127746582,Jordan,Near North,4,3,1,01/24/2018,00:00,Pembina
2921 28TH AVE S,44.949313000000004,-93.231116,Longfellow,Longfellow,2,3,4,01/24/2018,00:00,Pembina
649 ERIE ST SE,44.9687728882,-93.22420501709999,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1515 10TH AVE S,44.967403411899994,-93.2597122192,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
609 QUEEN AVE S,44.971549987799996,-93.30967712399999,Bryn - Mawr,Calhoun Isle,7,3,3,01/24/2018,00:00,Pembina
1525 22ND AVE N,45.002174377399996,-93.300453186,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
5913 VINCENT AVE S,44.8956184387,-93.31628417969999,Armatage,Southwest,13,3,5,01/24/2018,00:00,Pembina
1517 10TH AVE S,44.9674949646,-93.25966644290001,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
503 44TH ST E,44.9232978821,-93.272605896,Regina,Nokomis,8,3,5,01/24/2018,00:00,Pembina
1545 22ND AVE N,45.0022735596,-93.30020141600001,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
901 DARTMOUTH AVE,44.968105316199996,-93.2252426147,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1609 ELLIOT AVE,44.9669418335,-93.261100769,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
1515 22ND AVE N,45.0015792847,-93.2995529175,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
3935 4TH ST N,45.0263366699,-93.28499603270001,Webber - Camden,Camden,4,3,1,01/24/2018,00:00,Pembina
2203 BRYANT AVE S,44.9607582092,-93.2905426025,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
2307 23RD AVE N,45.002361297600004,-93.30986785889999,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
1605 ELLIOT AVE,44.9670524597,-93.2610702515,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
1523 22ND AVE N,45.0018463135,-93.2999191284,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
2209 BRYANT AVE S,44.9604721069,-93.2905502319,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
651 ONTARIO ST SE,44.968280792200005,-93.2255249023,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
421 45TH ST E,44.921479,-93.269655,Regina,Nokomis,8,3,5,01/24/2018,00:00,Pembina
4207 VINCENT AVE S,44.926567077600005,-93.31583404540001,Linden Hills,Southwest,13,3,5,01/24/2018,00:00,Pembina
2415 BRYANT AVE S,44.9585990906,-93.29056549069999,Lowry Hill East,Calhoun Isle,10,3,3,01/24/2018,00:00,Pembina
1915 6TH ST S,44.967716216999996,-93.2449798584,Cedar Riverside,University,6,3,4,01/24/2018,00:00,Pembina
653 ONTARIO ST SE,44.968250274700004,-93.22554779049999,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1504 ELLIOT AVE,44.9677505493,-93.2609558105,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
655 ONTARIO ST SE,44.968379974399994,-93.2256546021,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
5019 LOGAN AVE N,45.046367,-93.315686,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
617 30TH AVE N,45.010684966999996,-93.28746032709999,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
4251 IRVING AVE N,45.032794952399996,-93.2993774414,Webber - Camden,Camden,4,3,1,01/24/2018,00:00,Pembina
923 24TH AVE S,44.96307754520001,-93.23770904540001,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
921 24TH AVE S,44.9633140564,-93.2375106812,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
2005 6TH ST S,44.967712402299995,-93.2437133789,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
611 22ND AVE N,45.0014801025,-93.28723144530001,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
2421 FERRANT PL,45.0046348572,-93.3115005493,Willard - Hay,Near North,5,3,1,01/24/2018,00:00,Pembina
915 24TH AVE S,44.963394165,-93.2377471924,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
905 61ST ST E,44.8925437927,-93.26132202149999,Diamond Lake,Nokomis,11,3,6,01/24/2018,00:00,Pembina
621 ONTARIO ST SE,44.9687843323,-93.2256317139,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
2009 6TH ST S,44.9677047729,-93.24359893799999,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
1415 40TH AVE N,45.027606964099995,-93.2977600098,Webber - Camden,Camden,4,3,1,01/24/2018,00:00,Pembina
623 ONTARIO ST SE,44.9688949585,-93.2256088257,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
311 22ND AVE N,45.0014801025,-93.2839889526,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
323 22ND AVE N,45.0014801025,-93.28470611569999,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
321 22ND AVE N,45.0017089844,-93.28441619870001,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
1315 40TH AVE N,45.027606964099995,-93.29647064209999,Webber - Camden,Camden,4,3,1,01/24/2018,00:00,Pembina
619 ONTARIO ST SE,44.9696960449,-93.2256164551,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
311 22ND AVE N,45.0014801025,-93.28400421139999,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
319 22ND AVE N,45.0020980835,-93.2848129272,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
2013 6TH ST S,44.9677581787,-93.24332427979999,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
3505 45TH ST W,44.9215316772,-93.32057189940001,Linden Hills,Southwest,13,3,5,01/24/2018,00:00,Pembina
319 22ND AVE N,45.0014686584,-93.2841873169,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
