Location,Latitude,Longitude,Day,Ward,Neighborhood,Community,Tow_Zone,Date,Time,Emergency
"3235 2nd st n ,Minneapolis,MN",45.01432,-93.28110500000001,1,4,McKinley,Camden,1,01/22/2018,21:26,Pembina
"4635 lyndale ave n,Minneapolis,MN",45.039590000000004,-93.287688,1,4,Lind - Bohanon,Camden,1,01/22/2018,21:30,Pembina
"2430 2nd St n ,Minneapolis,MN",45.004469,-93.27950799999999,1,5,Hawthorne,Near North,1,01/22/2018,21:35,Pembina
"4615 lyndale ave n,Minneapolis,MN",45.038999999999994,-93.287739,1,4,Lind - Bohanon,Camden,1,01/22/2018,21:38,Pembina
"3520 Chicago ave s,Minneapolis,MN",44.938743,-93.262878,1,9,Central,Powderhorn,5,01/22/2018,21:43,Pembina
"3618 Chicago Avenue South,Minneapolis,MN",44.937092,-93.26253,1,8,Central,Powderhorn,5,01/22/2018,21:47,Pembina
"3037 HOLMES AVE,Minneapolis,MN",44.94706,-93.29919699999999,1,10,ECCO,Calhoun Isle,5,01/22/2018,21:48,Pembina
"3000 Block of HOLMES AVE S,Minneapolis,MN",44.947815000000006,-93.299551,1,10,ECCO,Calhoun Isle,5,01/22/2018,21:58,Pembina
"3235 Chicago Ave S,Minneapolis,MN",44.943678999999996,-93.262619,1,9,Central,Powderhorn,5,01/22/2018,21:59,Pembina
"300 15TH ST W,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3,01/22/2018,22:10,Pembina
"116 13TH AVE NE,Minneapolis,MN",45.000322,-93.269359,1,3,Sheridan,Northeast,2,01/22/2018,22:10,Pembina
"2428 2nd St n ,Minneapolis,MN",45.004427,-93.27950799999999,1,5,Hawthorne,Near North,1,01/22/2018,22:12,Pembina
"2431 2nd St n ,Minneapolis,MN",45.004026,-93.280517,1,5,Hawthorne,Near North,1,01/22/2018,22:16,Pembina
"200 university Ave sr,Minneapolis,MN",44.985938,-93.253258,1,3,Marcy Holmes,University,4,01/22/2018,22:19,Pembina
"2819 Johnson St NE,Minneapolis,MN",45.019133000000004,-93.23675,1,1,Audubon Park,Northeast,2,01/22/2018,22:20,Pembina
"2308 Johnson St NE,Minneapolis,MN",45.011841,-93.237439,1,1,Windom Park,Northeast,2,01/22/2018,22:21,Pembina
"300 2nd Ave se,Minneapolis,MN",44.98623,-93.25345,1,3,Marcy Holmes,University,4,01/22/2018,22:23,Pembina
"600 BLOCK UNIVERSITY AVE SE,Minneapolis,MN",44.983577000000004,-93.247612,1,3,Marcy Holmes,University,4,01/22/2018,22:25,Pembina
"100 University ave,Minneapolis,MN",44.986312,-93.254708,1,3,Marcy Holmes,University,4,01/22/2018,22:26,Pembina
"300 15st w,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3,01/22/2018,22:28,Pembina
"3823 lyndale ave n,Minneapolis,MN",45.024645,-93.288374,1,4,Webber - Camden,Camden,1,01/22/2018,22:31,Pembina
"200 w15th,Minneapolis,MN",44.967869,-93.281234,1,7,Loring Park,Central,3,01/22/2018,22:33,Pembina
"4709 Bryant Ave n,Minneapolis,MN",45.040605,-93.291454,1,4,Lind - Bohanon,Camden,1,01/22/2018,22:35,Pembina
"3527 lyndale ave n ,Minneapolis,MN",45.019304,-93.28835,1,4,McKinley,Camden,1,01/22/2018,22:36,Pembina
"300 15th street w,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3,01/22/2018,22:37,Pembina
"200 15TH ST W,Minneapolis,MN",44.967869,-93.281234,1,7,Loring Park,Central,3,01/22/2018,22:39,Pembina
"300 2nd ave se ,Minneapolis,MN",44.98623,-93.25345,1,3,Marcy Holmes,University,4,01/22/2018,22:42,Pembina
"1417 LaSalle Ave,Minneapolis,MN",44.968253999999995,-93.278945,1,7,Loring Park,Central,3,01/22/2018,22:58,Pembina
"200 5th ave se,Minneapolis,MN",44.983599,-93.249239,1,3,Marcy Holmes,University,4,01/22/2018,23:01,Pembina
"5128 Bryant Ave n ,Minneapolis,MN",45.048476,-93.291253,1,4,Lind - Bohanon,Camden,1,01/22/2018,23:04,Pembina
"200 5th ave se,Minneapolis,MN",44.983599,-93.249239,1,3,Marcy Holmes,University,4,01/22/2018,23:04,Pembina
"4144 Chicago Ave S,Minneapolis,MN",44.927345,-93.26281999999999,1,8,Bryant,Powderhorn,5,01/22/2018,23:04,Pembina
"3113 Bloomington Ave S,Minneapolis,MN",44.946083,-93.252185,1,9,Powderhorn Park,Powderhorn,6,01/22/2018,23:04,Pembina
"300 15 St W,Minneapolis,MN",44.967838,-93.282678,1,7,Loring Park,Central,3,01/22/2018,23:06,Pembina
"3100 Central Ave NE,Minneapolis,MN",45.025578,-93.247427,1,1,Columbia Park,Northeast,2,01/22/2018,23:08,Pembina
"3115 Bloomington ave,Minneapolis,MN",44.946011,-93.252482,1,9,Powderhorn Park,Powderhorn,6,01/22/2018,23:09,Pembina
"3521 lyndale ave n ,Minneapolis,MN",45.019191,-93.288042,1,4,McKinley,Camden,1,01/22/2018,23:10,Pembina
"1504 LASALLE AVE,Minneapolis,MN",44.967319,-93.279823,1,7,Loring Park,Central,3,01/22/2018,23:11,Pembina
"4537 Bryant Ave n ,Minneapolis,MN",45.037765,-93.291411,1,4,Lind - Bohanon,Camden,1,01/22/2018,23:11,Pembina
"4535 Bryant Ave n,Minneapolis,MN",45.037715999999996,-93.291638,1,4,Lind - Bohanon,Camden,1,01/22/2018,23:13,Pembina
"1512 lasalle ave,Minneapolis,MN",44.967155,-93.279823,1,7,Loring Park,Central,3,01/22/2018,23:13,Pembina
"400 university ave se ,Minneapolis,MN",44.984306,-93.25001400000001,1,3,Marcy Holmes,University,4,01/22/2018,23:13,Pembina
"3211 lyndale ave n ,Minneapolis,MN",45.013593,-93.288326,1,4,McKinley,Camden,1,01/22/2018,23:14,Pembina
"799 main st se,Minneapolis,MN",44.981425,-93.24796500000001,1,3,Marcy Holmes,University,4,01/22/2018,23:17,Pembina
"3504 Bloomington Avenue South,Minneapolis,MN",44.939267,-93.252429,1,9,Powderhorn Park,Powderhorn,6,01/22/2018,23:17,Pembina
"3021 Holmes ave e,Minneapolis,MN",44.947595,-93.299318,1,10,ECCO,Calhoun Isle,5,01/22/2018,23:19,Pembina
"1353 LaSalle Ave,Minneapolis,MN",44.969361,-93.27933399999999,1,7,Loring Park,Central,3,01/22/2018,23:23,Pembina
"4013 Bloomington Avenue South,Minneapolis,MN",44.929971,-93.25200799999999,1,8,Bancroft,Powderhorn,6,01/22/2018,23:28,Pembina
"1819 LaSalle Ave,Minneapolis,MN",44.964773,-93.279336,1,7,Steven's Square - Loring Heights,Central,3,01/22/2018,23:30,Pembina
"3433 Bloomington Avenue South,Minneapolis,MN",44.940328,-93.25210899999999,1,9,Powderhorn Park,Powderhorn,6,01/22/2018,23:32,Pembina
"3128 4TH AVE S,Minneapolis,MN",44.945719,-93.270284,1,9,Central,Powderhorn,5,01/22/2018,23:33,Pembina
"5th ave se & 2ND St se,Minneapolis,MN",44.983503000000006,-93.249839,1,3,Marcy Holmes,University,4,01/22/2018,23:34,Pembina
"5500-5599 Penn ave ,Minneapolis,MN",44.903188,-93.309017,1,13,Armatage,Southwest,5,01/22/2018,23:37,Pembina
"1820 LASALLE AVE,Minneapolis,MN",44.964715999999996,-93.279336,1,7,Steven's Square - Loring Heights,Central,3,01/22/2018,23:38,Pembina
"700-799 university ave se,Minneapolis,MN",44.983246,-93.245964,1,3,Marcy Holmes,University,4,01/22/2018,23:39,Pembina
"300 16th Ave we,Minneapolis,MN",44.978415999999996,-93.233797,1,2,University of Minnesota,University,4,01/22/2018,23:40,Pembina
"5511 penn ave,Minneapolis,MN",44.90292,-93.308357,1,13,Armatage,Southwest,5,01/22/2018,23:40,Pembina
"1824 LaSalle,Minneapolis,MN",44.964444,-93.279336,1,7,Steven's Square - Loring Heights,Central,3,01/22/2018,23:41,Pembina
"700-799 university ave se,Minneapolis,MN",44.983246,-93.245964,1,3,Marcy Holmes,University,4,01/22/2018,23:42,Pembina
"2111 lyndale ave n ,Minneapolis,MN",45.000686,-93.288314,1,5,Hawthorne,Near North,1,01/22/2018,23:42,Pembina
"3940 Bloomington Ave,Minneapolis,MN",44.931090999999995,-93.252719,1,8,Bancroft,Powderhorn,6,01/22/2018,23:51,Pembina
"3217 lyndale Ave n,Minneapolis,MN",45.013742,-93.288327,1,4,McKinley,Camden,1,01/22/2018,23:54,Pembina
"2500 2nd st n ,Minneapolis,MN",45.00496,-93.27964300000001,1,5,Hawthorne,Near North,1,01/22/2018,23:54,Pembina
"1905 lasalle av s,Minneapolis,MN",44.963649,-93.279337,1,7,Steven's Square - Loring Heights,Central,3,01/22/2018,23:56,Pembina
