Longitude,Latitude,Location,Ward,Neighborhood,Community,Day,Date,Time,Emergency,Tow_Zone
-93.3121318286488,45.02062465108728,3607 SHERIDAN AVE N,4,Cleveland,Camden,3,02/04/2016,00:00,Polk,-1
-93.3121318286488,45.020662749642675,3609 SHERIDAN AVE N,4,Cleveland,Camden,3,02/04/2016,00:00,Polk,-1
-93.28504762283258,45.020732596928376,3623 4TH ST N,4,McKinley,Camden,3,02/04/2016,00:00,Polk,-1
-93.31214081180164,45.020764345666436,3615 SHERIDAN AVE N,4,Cleveland,Camden,3,02/04/2016,00:00,Polk,-1
-93.24601582373761,45.020827843089755,2923 TYLER ST NE,1,Audubon Park,Northeast,3,02/04/2016,00:00,Polk,-1
-93.29439010178743,45.020961187449466,3633 EMERSON AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.30324749048883,45.02096753717313,3629 LOGAN AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.2715998430293,45.020999285780924,2931 RANDOLPH ST NE,1,Marshall Terrace,Northeast,3,02/04/2016,00:00,Polk,-1
-93.29061717759414,45.02100563550035,3637 BRYANT AVE N,4,McKinley,Camden,3,02/04/2016,00:00,Polk,-1
-93.29061717759414,45.02110723091568,3643 BRYANT AVE N,4,McKinley,Camden,3,02/04/2016,00:00,Polk,-1
-93.29061717759414,45.02114532914995,3645 BRYANT AVE N,4,McKinley,Camden,3,02/04/2016,00:00,Polk,-1
-93.30452309819229,45.02132312057468,3649 MORGAN AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.23818251446009,45.022281914812275,1515 30TH AVE NE,1,Audubon Park,Northeast,3,02/04/2016,00:00,Polk,-1
-93.29440806809313,45.02235810969211,3709 EMERSON AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.29440806809313,45.02238985752877,3711 EMERSON AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.30708329675205,45.022421605347844,3707 OLIVER AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.29315042669536,45.02252319825053,3719 DUPONT AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.30709227990488,45.02308195599283,3745 OLIVER AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.30709227990488,45.02312005291303,3747 OLIVER AVE N,4,Folwell,Camden,3,02/04/2016,00:00,Polk,-1
-93.28937750250206,45.024059768919535,3805 ALDRICH AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.28937750250206,45.02409786518905,3807 ALDRICH AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.2969592835,45.02425659937246,3813 GIRARD AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.31476389243127,45.02432009292258,3811 UPTON AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.29064412705264,45.02435183967124,3821 BRYANT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.31476389243127,45.024459778484974,3819 UPTON AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.23538875392649,44.985658544268645,813 12TH AVE SE,3,Marcy Holmes,University,3,02/04/2016,00:00,Polk,-1
-93.31476389243127,45.02452962113836,3823 UPTON AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.3173151078382,45.024542319793454,3823 WASHBURN AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.24816279726663,44.98569031245007,419 5TH AVE SE,3,Marcy Holmes,University,3,02/04/2016,00:00,Polk,-1
-93.23536180446794,44.98569031245007,817 12TH AVE SE,3,Marcy Holmes,University,3,02/04/2016,00:00,Polk,-1
-93.3173151078382,45.02474549789192,3835 WASHBURN AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.29317737615386,45.02482168949293,3847 DUPONT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.29065311020548,45.024872483837264,3851 BRYANT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.22698950601996,44.98571572698253,941 18TH AVE SE,2,Como,University,3,02/04/2016,00:00,Polk,-1
-93.2947314615954,45.02575502837549,1225 39TH AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.24811788150244,44.98574749513226,425 5TH AVE SE,3,Marcy Holmes,University,3,02/04/2016,00:00,Polk,-1
-93.29318635930672,45.0258375678164,3901 DUPONT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.24236866368408,44.98574749513226,815 6TH ST SE,3,Marcy Holmes,University,3,02/04/2016,00:00,Polk,-1
-93.29319534245957,45.02597090050799,3909 DUPONT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.28928767097365,44.98575384876009,737 LYNDALE PL,5,Sumner - Glenwood,Near North,3,02/04/2016,00:00,Polk,-1
-93.23578401265151,45.02644073704115,3231 ULYSSES ST NE,1,Waite Park,Northeast,3,02/04/2016,00:00,Polk,-1
-93.24238662998975,44.98576020238721,813 6TH ST SE,3,Marcy Holmes,University,3,02/04/2016,00:00,Polk,-1
-93.3173690067552,45.02669470112915,3943 WASHBURN AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.21532039047923,44.98586821394068,875 27TH AVE SE,2,Como,University,3,02/04/2016,00:00,Polk,-1
-93.29319534245957,45.02670739930397,3951 DUPONT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.24238662998975,44.98604611487919,625 8TH AVE SE,3,Marcy Holmes,University,3,02/04/2016,00:00,Polk,-1
-93.29320432561244,45.0267391447287,3953 DUPONT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.22383641937269,44.98608423643704,2027 FAIRMONT ST SE,2,Como,University,3,02/04/2016,00:00,Polk,-1
-93.24600684058477,45.02766610336836,3301 TYLER ST NE,1,Waite Park,Northeast,3,02/04/2016,00:00,Polk,-1
-93.30455004765085,44.986185893800695,807 MORGAN AVE N,5,Near - North,Near North,3,02/04/2016,00:00,Polk,-1
-93.23831726175268,45.027697848261404,1505 33RD AVE NE,1,Waite Park,Northeast,3,02/04/2016,00:00,Polk,-1
-93.30455004765085,44.9862240152656,811 MORGAN AVE N,5,Near - North,Near North,3,02/04/2016,00:00,Polk,-1
-93.31101791769649,45.02800259833895,4015 RUSSELL AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.312176744413,44.98628755098408,815 SHERIDAN AVE N,5,Willard - Hay,Near North,3,02/04/2016,00:00,Polk,-1
-93.29068005966403,45.02814862384275,4031 BRYANT AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.30184611864564,44.986293904552056,1721 8TH AVE N,5,Near - North,Near North,3,02/04/2016,00:00,Polk,-1
-93.29452484908006,45.02852320930127,4047 EMERSON AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
-93.31344336896362,44.98630025811933,817 THOMAS AVE N,5,Willard - Hay,Near North,3,02/04/2016,00:00,Polk,-1
-93.2281124001251,45.02995803939528,3423 MCKINLEY ST NE,1,Waite Park,Northeast,3,02/04/2016,00:00,Polk,-1
-93.312176744413,44.9863066116859,817 SHERIDAN AVE N,5,Willard - Hay,Near North,3,02/04/2016,00:00,Polk,-1
-93.30978722575723,45.03008501377743,4131 QUEEN AVE N,4,Victory,Camden,3,02/04/2016,00:00,Polk,-1
-93.30087593813879,45.030307218268376,4147 JAMES AVE N,4,Webber - Camden,Camden,3,02/04/2016,00:00,Polk,-1
