Date,Time,Location,Latitude,Longitude,Ward,Community,Neighborhood,Emergency
02/04/2016,00:00,2213 N 4th st,44.999581,-93.28554899999999,5,Near North,Hawthorne,Polk
02/04/2016,00:00,821 Lyndale PL,44.98703965146753,-93.28965794887922,5,Near North,Sumner - Glenwood,Polk
02/04/2016,00:00,3431 Humboldt Ave South,44.940754810794935,-93.30085220376344,10,Calhoun Isle,ECCO,Polk
02/04/2016,00:00,521 3rd Ave se,44.98788273781837,-93.25038048234984,3,University,Marcy Holmes,Polk
02/04/2016,00:00,321 4th ave se,44.985367242190776,-93.25053762624376,3,University,Marcy Holmes,Polk
02/04/2016,00:00,225 7th Ave NE,44.99534806596572,-93.26273791575451,3,Northeast,St. Anthony West,Polk
02/04/2016,00:00,3925 14th ave s,44.93186003266649,-93.25486982894871,8,Powderhorn,Bancroft,Polk
02/04/2016,00:00,301 3rd ave ne,44.99101511346369,-93.25840880249393,3,Northeast,St. Anthony West,Polk
02/04/2016,00:00,1095 13th ave se,44.990713599174455,-93.233362534329,2,University,Como,Polk
02/04/2016,00:00,1045 13th ave se,44.98918989278557,-93.23335709860659,2,University,Como,Polk
02/04/2016,00:00,1210 talmage ave,44.9896230844602,-93.23442417183223,2,University,Como,Polk
02/04/2016,00:00,1031 Aldrich Ave N,44.98863486183834,-93.29109396337356,5,Near North,Sumner - Glenwood,Polk
02/04/2016,00:00,3245 HOLMES,44.9433149,-93.2992987,10,Calhoun Isle,ECCO,Polk
02/04/2016,00:00,415 5th Ave se,44.985651004557354,-93.24818926478247,3,University,Marcy Holmes,Polk
02/04/2016,00:00,903 Lyndale Pl,44.9873048470473,-93.28968021892699,5,Near North,Sumner - Glenwood,Polk
02/04/2016,00:00,415 5th ave se,44.985651004557354,-93.24818926478247,3,University,Marcy Holmes,Polk
02/04/2016,00:00,1773 BRYANT AVE S,44.965935444778566,-93.29045833357988,7,Calhoun Isle,Lowry Hill,Polk
02/04/2016,00:00,3451 Holmes,44.9396669,-93.2992933,10,Calhoun Isle,ECCO,Polk
02/04/2016,00:00,1925 dupont av s,44.96398491634223,-93.29302065831885,7,Calhoun Isle,Lowry Hill,Polk
02/04/2016,00:00,505 4th St NE,44.99416756386295,-93.25878727533916,3,Northeast,St. Anthony West,Polk
02/04/2016,00:00,829 Lyndale pl,44.98716738992668,-93.28967438698983,5,Near North,Sumner - Glenwood,Polk
02/04/2016,00:00,419 5th Ave Se,44.98568916992685,-93.24815944682372,3,University,Marcy Holmes,Polk
02/04/2016,00:00,1785 BRYANT AVE S,44.96570062397735,-93.29046059608625,7,Calhoun Isle,Lowry Hill,Polk
02/04/2016,00:00,1115 Main St NE,44.99890244630997,-93.26738786290399,3,Northeast,Sheridan,Polk
02/04/2016,00:00,1209 Main St NE,44.9999302236838,-93.26761533286933,3,Northeast,Sheridan,Polk
02/04/2016,00:00,4021 14th ave S,44.930128917868764,-93.25487049959433,8,Powderhorn,Bancroft,Polk
02/04/2016,00:00,3831 14th ave,44.93356044428538,-93.25486481595892,8,Powderhorn,Bancroft,Polk
02/04/2016,00:00,811 4th st ne,44.997305969176296,-93.26093890736323,3,Northeast,St. Anthony West,Polk
02/04/2016,00:00,1037 12TH AVE SE,44.9889588823827,-93.23464106863435,2,University,Como,Polk
02/04/2016,00:00,1205 3rd st ne,44.99988979889885,-93.26455967513846,3,Northeast,Sheridan,Polk
02/04/2016,00:00,509 Lyn Park Circle N,44.99687168349718,-93.28627222949582,5,Near North,Near - North,Polk
02/04/2016,00:00,309  E 18th st,44.9652182,-93.27226,6,Central,Steven's Square - Loring Heights,Polk
02/04/2016,00:00,1031 12TH AVE SE,44.98878185176028,-93.2346411727517,2,University,Como,Polk
02/04/2016,00:00,2019 33rd st e,44.942892146511085,-93.24333181210561,9,Powderhorn,Corcoran,Polk
02/04/2016,00:00,1203 3rd st ne,44.999869083656115,-93.26455958073167,3,Northeast,Sheridan,Polk
02/04/2016,00:00,831 22nd ave se,44.98467131238458,-93.22164871886937,2,University,Como,Polk
02/04/2016,00:00,3817 11th ave s,44.933813947143584,-93.2586531290588,8,Powderhorn,Bancroft,Polk
02/04/2016,00:00,1519 10th ave s,44.967804766299,-93.2596208905161,6,Central,Elliot Park,Polk
02/04/2016,00:00,2417 3rd st ne,45.01235355602349,-93.2645953943785,3,Northeast,Bottineau,Polk
02/04/2016,00:00,1321 6th ST SE,44.98291386319946,-93.23526187665243,3,University,Marcy Holmes,Polk
02/04/2016,00:00,3241 4TH ST N,45.01382363919662,-93.28498851187209,4,Camden,McKinley,Polk
02/04/2016,00:00,2117 5th ave s,44.96165093797769,-93.26891844907726,6,Phillips,Ventura Village,Polk
02/04/2016,00:00,1931 2nd av s,44.963553988414155,-93.27398147066764,6,Central,Steven's Square - Loring Heights,Polk
02/04/2016,00:00,3623 4th Street north,45.0207357163914,-93.28504804735485,4,Camden,McKinley,Polk
02/04/2016,00:00,1013 15TH AVE SE,44.98823579745104,-93.23081634304667,1,University,Como,Polk
02/04/2016,00:00,2515 Jackson St NE,45.01345791526477,-93.24906300071272,1,Northeast,Holland,Polk
02/04/2016,00:00,205 8th ave se,44.98191600541278,-93.24563636853195,3,University,Marcy Holmes,Polk
02/04/2016,00:00,303 5th ave se,44.984557385043466,-93.24905724071357,3,University,Marcy Holmes,Polk
02/04/2016,00:00,2515 Howard St NE,45.01346034588327,-93.25303792507721,1,Northeast,Holland,Polk
02/04/2016,00:00,827 N 12th Ave,44.990543,-93.2904732,5,Near North,Near - North,Polk
02/04/2016,00:00,303 8th ave se,44.98288639698765,-93.24488118850611,3,University,Marcy Holmes,Polk
02/04/2016,00:00,1041 12TH AVE SE,44.98907690249387,-93.2346409992228,2,University,Como,Polk
02/04/2016,00:00,1905 2ND AVE S,44.963869137914905,-93.27398187480655,6,Central,Steven's Square - Loring Heights,Polk
02/04/2016,00:00,303 5th ave se,44.984557385043466,-93.24905724071357,3,University,Marcy Holmes,Polk
02/04/2016,00:00,3345 6th st n,45.01571081675739,-93.28654681503144,4,Camden,McKinley,Polk
02/04/2016,00:00,3002 DuPont Ave n,45.01138065672757,-93.29300951285384,5,Near North,Hawthorne,Polk
02/04/2016,00:00,3137 Humboldt ave s,44.945895601517684,-93.30080564129054,10,Calhoun Isle,ECCO,Polk
02/04/2016,00:00,217 8th ave se,44.98202990059195,-93.24554773192008,3,University,Marcy Holmes,Polk
02/04/2016,00:00,3951 dupont ave n,45.02670525493872,-93.2931995486217,4,Camden,Webber - Camden,Polk
02/04/2016,00:00,3103 Holmes,44.9464735,-93.2995756,10,Calhoun Isle,ECCO,Polk
02/04/2016,00:00,2219 Madison St NE,45.0102133936914,-93.25425119873611,1,Northeast,Holland,Polk
02/04/2016,00:00,1913 emerson av s,44.96418736358358,-93.29429099189983,7,Calhoun Isle,Lowry Hill,Polk
