Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Date,Time,Emergency
910 32ND ST W,44.944823,-93.290994,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
806 32ND ST W,44.945102,-93.289426,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
800 32ND ST W,44.945008,-93.289811,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
716 32ND ST W,44.944804,-93.28924599999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
714 32ND ST W,44.944947,-93.288876,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
608 32ND ST W,44.944712,-93.287175,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
604 32ND ST W,44.944709,-93.287139,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
518 32ND ST W,44.944666,-93.287031,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
418 32ND ST W,44.94463,-93.28500799999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
404 32ND ST W,44.944862,-93.28451700000001,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
326 32ND ST W,44.944769,-93.284052,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
304 32ND ST W,44.944748,-93.283076,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
302 32ND ST W,44.944828,-93.283029,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
220 32ND ST W,44.944895,-93.282326,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
218 32ND ST W,44.944889,-93.282162,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
216 32ND ST W,44.944863,-93.28220999999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
122 32ND ST W,44.944821999999995,-93.280225,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
118 32ND ST W,44.94477,-93.280404,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
116 32ND ST W,44.944664,-93.280101,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
114 32ND ST W,44.94475,-93.280111,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
112 32ND ST W,44.944707,-93.28008100000001,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
104 32ND ST W,44.944741,-93.27999100000001,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
104 32ND ST W,44.944848,-93.2798,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
102 32ND ST W,44.944753000000006,-93.27979599999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
28 32ND ST W,44.944553000000006,-93.27995200000001,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
2414 ALDRICH AVE N,45.004236999999996,-93.28951500000001,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2110 ALDRICH AVE N,45.000633,-93.289511,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2008 ALDRICH AVE N,44.999528000000005,-93.289527,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2006 ALDRICH AVE N,44.999443,-93.28954,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2004 ALDRICH AVE N,44.999344,-93.289519,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3950 6TH ST N,45.027271,-93.28666,4,Camden,Webber - Camden,1,2,01/29/2019,00:00,Quincy
3830 6TH ST N,45.024834000000006,-93.28653299999999,4,Camden,Webber - Camden,1,2,01/29/2019,00:00,Quincy
3828 6TH ST N,45.024808,-93.286535,4,Camden,Webber - Camden,1,2,01/29/2019,00:00,Quincy
3820 6TH ST N,45.024539000000004,-93.286508,4,Camden,Webber - Camden,1,2,01/29/2019,00:00,Quincy
3802 6TH ST N,45.024101,-93.286503,4,Camden,Webber - Camden,1,2,01/29/2019,00:00,Quincy
3724 6TH ST N,45.022825,-93.286513,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3706 6TH ST N,45.02238,-93.286512,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3704 6TH ST N,45.022306,-93.286511,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3702 6TH ST N,45.022312,-93.286503,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3630 6TH ST N,45.021131,-93.28649300000001,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3610 6TH ST N,45.020669,-93.28649,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3602 6TH ST N,45.020391,-93.28652,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3526 6TH ST N,45.01925,-93.286518,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3502 6TH ST N,45.018699,-93.286509,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3414 6TH ST N,45.017224,-93.286479,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3418 6TH ST N,45.017243,-93.28649899999999,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3312 6TH ST N,45.015359000000004,-93.286505,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3242 6TH ST N,45.014484,-93.286447,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
328 6TH ST N,45.013715000000005,-93.286475,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3212 6TH ST N,45.013552000000004,-93.28649399999999,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3128 6TH ST N,45.012638,-93.286424,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3122 6TH ST N,45.012462,-93.286415,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
