Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
2541 10TH AVE S,44.955940999999996,-93.260052,9,Phillips,Midtown Phillips,3,3,Upton,02/09/2019,00:00
3209 PILLSBURY AVE,44.9442,-93.281349,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
2917 18TH AVE S,44.951774,-93.249206,9,Phillips,East Phillips,3,3,Upton,02/09/2019,00:00
3249 PILLSBURY AVE,44.943492,-93.281195,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
445 MORGAN AVE N,44.972518,-93.304174,7,Calhoun Isle,Bryn - Mawr,3,3,Upton,02/09/2019,00:00
2543 10TH AVE S,44.955881,-93.26004,9,Phillips,Midtown Phillips,3,3,Upton,02/09/2019,00:00
1235 KNOX AVE N,44.990955,-93.301823,5,Near North,Near - North,1,3,Upton,02/09/2019,00:00
1509 8TH ST SE,44.983709999999995,-93.230791,2,University,University of Minnesota,4,3,Upton,02/09/2019,00:00
2207 GARFIELD AVE S,44.960622,-93.286734,10,Powderhorn,Whittier,3,3,Upton,02/09/2019,00:00
1233 KNOX AVE N,44.990519,-93.301974,5,Near North,Near - North,1,3,Upton,02/09/2019,00:00
2939 18TH AVE S,44.949144,-93.248674,9,Phillips,East Phillips,3,3,Upton,02/09/2019,00:00
831 SPRING ST NE,44.995142,-93.249932,3,Northeast,St. Anthony East,2,3,Upton,02/09/2019,00:00
3147 PILLSBURY AVE,44.945152,-93.28145699999999,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
3665 33RD AVE S,44.935922999999995,-93.224122,12,Longfellow,Howe,6,3,Upton,02/09/2019,00:00
3725 48TH AVE S,44.935088,-93.205139,12,Longfellow,Howe,6,3,Upton,02/09/2019,00:00
2209 GARFIELD AVE S,44.960603000000006,-93.286735,10,Powderhorn,Whittier,3,3,Upton,02/09/2019,00:00
2317 LOGAN AVE N,45.003008,-93.305304,5,Near North,Jordan,1,3,Upton,02/09/2019,00:00
3021 13TH AVE S,44.947715,-93.256295,9,Powderhorn,Powderhorn Park,6,3,Upton,02/09/2019,00:00
1027 22ND AVE SE,44.988724,-93.22151,1,University,Como,4,3,Upton,02/09/2019,00:00
2941 18TH AVE S,44.948958000000005,-93.248826,9,Phillips,East Phillips,3,3,Upton,02/09/2019,00:00
3663 33RD AVE S,44.93625,-93.224198,12,Longfellow,Howe,6,3,Upton,02/09/2019,00:00
2215 GARFIELD AVE S,44.960319,-93.28675,10,Powderhorn,Whittier,3,3,Upton,02/09/2019,00:00
2315 LOGAN AVE N,45.002919,-93.305352,5,Near North,Jordan,1,3,Upton,02/09/2019,00:00
909 15TH ST E,44.967976,-93.260654,6,Central,Elliot Park,3,3,Upton,02/09/2019,00:00
1113 JEFFERSON ST NE,44.999309999999994,-93.254965,1,Northeast,Logan Park,2,3,Upton,02/09/2019,00:00
3115 PILLSBURY AVE,44.945826000000004,-93.281374,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
1649 RUSSELL AVE N,44.996849,-93.310746,5,Near North,Willard - Hay,1,3,Upton,02/09/2019,00:00
829 SPRING ST NE,44.995111,-93.249585,3,Northeast,St. Anthony East,2,3,Upton,02/09/2019,00:00
3661 33RD AVE S,44.93622,-93.224086,12,Longfellow,Howe,6,3,Upton,02/09/2019,00:00
3023 13TH AVE S,44.947648,-93.256287,9,Powderhorn,Powderhorn Park,6,3,Upton,02/09/2019,00:00
3111 PILLSBURY AVE,44.945827,-93.281403,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
1019 KNOX AVE N,44.988561,-93.301982,5,Near North,Near - North,1,3,Upton,02/09/2019,00:00
3657 33RD AVE S,44.936299,-93.224322,12,Longfellow,Howe,6,3,Upton,02/09/2019,00:00
3659 33RD AVE S,44.936021000000004,-93.224027,12,Longfellow,Howe,6,3,Upton,02/09/2019,00:00
2305 GARFIELD AVE S,44.959872,-93.286751,10,Powderhorn,Whittier,3,3,Upton,02/09/2019,00:00
1203 JEFFERSON ST NE,44.999909,-93.254983,1,Northeast,Logan Park,2,3,Upton,02/09/2019,00:00
1035 22ND AVE SE,44.988976,-93.221562,1,University,Como,4,3,Upton,02/09/2019,00:00
3129 13TH AVE S,44.945808,-93.256323,9,Powderhorn,Powderhorn Park,6,3,Upton,02/09/2019,00:00
1503 8TH ST SE,44.983775,-93.230975,2,University,University of Minnesota,4,3,Upton,02/09/2019,00:00
1507 8TH ST SE,44.983773,-93.23093399999999,2,University,University of Minnesota,4,3,Upton,02/09/2019,00:00
3149 CHOWEN AVE S,44.945456,-93.324912,13,Calhoun Isle,West Calhoun,3,3,Upton,02/09/2019,00:00
2313 GARFIELD AVE S,44.959718,-93.286737,10,Powderhorn,Whittier,3,3,Upton,02/09/2019,00:00
1209 JEFFERSON ST NE,45.000122999999995,-93.25497800000001,1,Northeast,Logan Park,2,3,Upton,02/09/2019,00:00
3109 PILLSBURY AVE,44.94597,-93.281378,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
3735 22ND AVE S,44.934283,-93.241231,12,Powderhorn,Standish,6,3,Upton,02/09/2019,00:00
3111 PILLSBURY AVE,44.946115,-93.28129799999999,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
2019 35TH AVE N,45.018667,-93.30520200000001,4,Camden,Folwell,1,3,Upton,02/09/2019,00:00
2317 GARFIELD AVE S,44.959551,-93.286813,10,Powderhorn,Whittier,3,3,Upton,02/09/2019,00:00
1089 22ND AVE SE,44.990654,-93.22155500000001,1,University,Como,4,3,Upton,02/09/2019,00:00
3127 13TH AVE S,44.945904,-93.256383,9,Powderhorn,Powderhorn Park,6,3,Upton,02/09/2019,00:00
3109 PILLSBURY AVE,44.946044,-93.281583,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
3147 CHOWEN AVE S,44.945374,-93.324999,13,Calhoun Isle,West Calhoun,3,3,Upton,02/09/2019,00:00
2319 GARFIELD AVE S,44.959548,-93.286827,10,Powderhorn,Whittier,3,3,Upton,02/09/2019,00:00
913 15TH ST E,44.967937,-93.260424,6,Central,Elliot Park,3,3,Upton,02/09/2019,00:00
1211 JEFFERSON ST NE,45.000228,-93.254995,1,Northeast,Logan Park,2,3,Upton,02/09/2019,00:00
2815 BRYANT AVE N,45.009141,-93.29056700000001,5,Near North,Hawthorne,1,3,Upton,02/09/2019,00:00
3105 PILLSBURY AVE,44.946391,-93.281352,8,Powderhorn,Lyndale,5,3,Upton,02/09/2019,00:00
1013 KNOX AVE N,44.988401,-93.302035,5,Near North,Near - North,1,3,Upton,02/09/2019,00:00
925 RUSSELL AVE N,44.987629999999996,-93.311047,5,Near North,Willard - Hay,1,3,Upton,02/09/2019,00:00
827 SPRING ST NE,44.995126,-93.249578,3,Northeast,St. Anthony East,2,3,Upton,02/09/2019,00:00
3151 33RD AVE S,44.945116999999996,-93.224338,2,Longfellow,Longfellow,6,3,Upton,02/09/2019,00:00
