Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
"2900 LYNDALE AVE N,Minneapolis,MN",45.009733000000004,-93.287689,5,Near North,Hawthorne,1,1,Upton,02/07/2019,21:26
"3300-3399 Lyndale Ave N,Minneapolis,MN",45.015031,-93.287841,4,Camden,McKinley,1,1,Upton,02/07/2019,21:40
"1531 COMO AVE SE,Minneapolis,MN",44.988049,-93.229661,1,University,Como,4,1,Upton,02/07/2019,21:46
"3499 Lyndale Ave n,Minneapolis,MN",45.01849,-93.288049,4,Camden,McKinley,1,1,Upton,02/07/2019,21:51
"3900 lyndale ave n ,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Upton,02/07/2019,22:00
"4199 Lyndale ave n,Minneapolis,MN",45.031534,-93.288053,4,Camden,Webber - Camden,1,1,Upton,02/07/2019,22:13
"3806 28th ave S,Minneapolis,MN",44.933784,-93.232479,12,Powderhorn,Standish,6,1,Upton,02/07/2019,22:19
"2100 Portland Avenue,Minneapolis,MN",44.961733,-93.268096,6,Phillips,Ventura Village,3,1,Upton,02/07/2019,22:19
"3500 block of 3rd ave s,Minneapolis,MN",44.939440000000005,-93.273078,9,Powderhorn,Central,5,1,Upton,02/07/2019,22:21
"1712 Como Ave SE ,Minneapolis,MN",44.987596,-93.22799300000001,2,University,Como,4,1,Upton,02/07/2019,22:25
"1601 COMO AVE SE,Minneapolis,MN",44.987983,-93.229236,1,University,Como,4,1,Upton,02/07/2019,22:29
"3205 3RD Avenue South ,Minneapolis,MN",44.944666,-93.27252800000001,9,Powderhorn,Central,5,1,Upton,02/07/2019,22:30
"3900 lyndale ave n,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Upton,02/07/2019,22:31
"1500 blk portland ave s,Minneapolis,MN",44.968047999999996,-93.267661,6,Central,Elliot Park,3,1,Upton,02/07/2019,22:34
"3900 BLOCK LYNDALE AVE N,Minneapolis,MN",45.025889,-93.287685,4,Camden,Webber - Camden,1,1,Upton,02/07/2019,22:37
"331 UNIVERSITY AVE SE,Minneapolis,MN",44.985443,-93.250665,3,University,Marcy Holmes,4,1,Upton,02/07/2019,22:38
"830 9th St se,Minneapolis,MN",44.988562,-93.240606,3,University,Marcy Holmes,4,1,Upton,02/07/2019,22:42
"1500 BLOCK PORTLAND AVE S,Minneapolis,MN",44.968047999999996,-93.267661,6,Central,Elliot Park,3,1,Upton,02/07/2019,22:43
"1500 BLOCK PORTLAND AVE S,Minneapolis,MN",44.968047999999996,-93.267661,6,Central,Elliot Park,3,1,Upton,02/07/2019,22:44
"1500 BLOCK PORTLAND AVE S,Minneapolis,MN",44.968047999999996,-93.267661,6,Central,Elliot Park,3,1,Upton,02/07/2019,22:45
"3515 E 50TH ST ,Minneapolis,MN",44.912614000000005,-93.221362,12,Nokomis,Minnehaha,6,1,Upton,02/07/2019,22:47
"415 1st st n,Minneapolis,MN",44.987156,-93.27210500000001,3,Central,North Loop,1,1,Upton,02/07/2019,22:52
"578 1st st n,Minneapolis,MN",44.989016,-93.273608,3,Central,North Loop,1,1,Upton,02/07/2019,22:55
"1400-1499 PORTLAND AVE,Minneapolis,MN",44.968714,-93.268006,7,Central,Elliot Park,3,1,Upton,02/07/2019,22:55
"1100 Como Ave se,Minneapolis,MN",44.987643,-93.235449,2,University,Como,4,1,Upton,02/07/2019,22:58
"2803 Central Ave Ne,Minneapolis,MN",45.01905,-93.24674,1,Northeast,Audubon Park,2,1,Upton,02/07/2019,22:59
"3520 E 54TH ST ,Minneapolis,MN",44.905378000000006,-93.221343,12,Nokomis,Minnehaha,6,1,Upton,02/07/2019,23:04
"1424 Quincy St NE,Minneapolis,MN",45.002774,-93.251492,1,Northeast,Logan Park,2,1,Upton,02/07/2019,23:06
"618 9TH ST SE,Minneapolis,MN",44.98942,-93.24254,3,University,Marcy Holmes,4,1,Upton,02/07/2019,23:07
"1350 Lasalle ave,Minneapolis,MN",44.969955,-93.279332,7,Central,Loring Park,3,1,Upton,02/07/2019,23:07
"2700 Block of Johnson,Minneapolis,MN",44.972239,-93.282834,7,Central,Loring Park,3,1,Upton,02/07/2019,23:09
"1300 lasalle AVE S,Minneapolis,MN",44.970601,-93.279336,7,Central,Loring Park,3,1,Upton,02/07/2019,23:10
"2300-2399 EMERSON AVE N,Minneapolis,MN",45.002618,-93.294106,5,Near North,Jordan,1,1,Upton,02/07/2019,23:12
"5705 34th av s,Minneapolis,MN",44.899829,-93.222575,12,Nokomis,Morris Park,6,1,Upton,02/07/2019,23:15
"2116 como ave se,Minneapolis,MN",44.987674,-93.222065,2,University,Como,4,1,Upton,02/07/2019,23:16
"4020 E 54TH ST ,Minneapolis,MN",44.905373,-93.214966,12,Nokomis,Morris Park,6,1,Upton,02/07/2019,23:17
"8th univ ave se,Minneapolis,MN",44.982807,-93.24503299999999,3,University,Marcy Holmes,4,1,Upton,02/07/2019,23:18
"4030 Bryant ave n ,Minneapolis,MN",45.028585,-93.290367,4,Camden,Webber - Camden,1,1,Upton,02/07/2019,23:19
"5349 34th av s,Minneapolis,MN",44.9058,-93.222606,12,Nokomis,Minnehaha,6,1,Upton,02/07/2019,23:19
"100 grant st w ,Minneapolis,MN",44.969856,-93.280709,7,Central,Loring Park,3,1,Upton,02/07/2019,23:20
"1100-1299 Tyler st Ne,Minneapolis,MN",45.001104999999995,-93.245566,1,Northeast,Northeast Park,2,1,Upton,02/07/2019,23:20
"5637 34th ave so,Minneapolis,MN",44.900589000000004,-93.222643,12,Nokomis,Morris Park,6,1,Upton,02/07/2019,23:21
"600 Block of Monroe St NE,Minneapolis,MN",44.995111,-93.252426,3,Northeast,St. Anthony East,2,1,Upton,02/07/2019,23:22
"3838 Bryant ave n ,Minneapolis,MN",45.025084,-93.29032099999999,4,Camden,Webber - Camden,1,1,Upton,02/07/2019,23:25
"1954 Portland av s,Minneapolis,MN",44.96287,-93.268043,6,Phillips,Ventura Village,3,1,Upton,02/07/2019,23:26
"1350 Lasalle ave,Minneapolis,MN",44.969955,-93.279332,7,Central,Loring Park,3,1,Upton,02/07/2019,23:34
"300 Blk of 13th ave NE,Minneapolis,MN",45.000694,-93.26444000000001,3,Northeast,Sheridan,2,1,Upton,02/07/2019,23:34
"1350 BLOCK LASALLE AVE S,Minneapolis,MN",44.969955,-93.279332,7,Central,Loring Park,3,1,Upton,02/07/2019,23:34
"800 Penn Ave n,Minneapolis,MN",44.986245000000004,-93.307974,5,Near North,Near - North,1,1,Upton,02/07/2019,23:38
"1823 31st,Minneapolis,MN",44.946407,-93.247033,9,Powderhorn,Corcoran,6,1,Upton,02/07/2019,23:40
"1193 Como Ave Se,Minneapolis,MN",44.988002,-93.23432,2,University,Como,4,1,Upton,02/07/2019,23:41
"700 Penn Ave n,Minneapolis,MN",44.98526,-93.307979,5,Near North,Near - North,1,1,Upton,02/07/2019,23:41
"3605 e 42nd st,Minneapolis,MN",44.926768,-93.220012,12,Longfellow,Hiawatha,6,1,Upton,02/07/2019,23:42
"1823 31st,Minneapolis,MN",44.946407,-93.247033,9,Powderhorn,Corcoran,6,1,Upton,02/07/2019,23:42
"1700 blk portland ave s,Minneapolis,MN",44.966266,-93.267661,6,Central,Elliot Park,3,1,Upton,02/07/2019,23:43
"3017 44th Street East,Minneapolis,MN",44.923322999999996,-93.244844,12,Nokomis,Ericsson,6,1,Upton,02/07/2019,23:46
"2200 blaisdell ,Minneapolis,MN",44.960681,-93.280064,10,Powderhorn,Whittier,3,1,Upton,02/07/2019,23:48
"1900 blk portland ave s,Minneapolis,MN",44.963803999999996,-93.267981,6,Phillips,Ventura Village,3,1,Upton,02/07/2019,23:48
"3400-3499 FREMONT AVE N,Minneapolis,MN",45.016914,-93.29531,4,Camden,Folwell,1,1,Upton,02/07/2019,23:49
"1500 block of LaSalle Ave ,Minneapolis,MN",44.967451000000004,-93.279534,7,Central,Loring Park,3,1,Upton,02/07/2019,23:49
"3542 3rd Avenue South,Minneapolis,MN",44.93822,-93.273121,9,Powderhorn,Central,5,1,Upton,02/07/2019,23:51
"800 block penn ave n ,Minneapolis,MN",44.986245000000004,-93.307974,5,Near North,Near - North,1,1,Upton,02/07/2019,23:53
"4022 E 54TH ST ,Minneapolis,MN",44.905373,-93.21494100000001,12,Nokomis,Morris Park,6,1,Upton,02/07/2019,23:56
"800 block penn ave n ,Minneapolis,MN",44.986245000000004,-93.307974,5,Near North,Near - North,1,1,Upton,02/07/2019,23:59
"199 grant st w,Minneapolis,MN",44.969854999999995,-93.28083199999999,7,Central,Loring Park,3,1,Upton,02/08/2019,00:01
"1700 Lasalle AVE S,Minneapolis,MN",44.966364,-93.27933399999999,7,Central,Loring Park,3,1,Upton,02/08/2019,00:02
"1700 LASALLE AV S,Minneapolis,MN",44.966364,-93.27933399999999,7,Central,Loring Park,3,1,Upton,02/08/2019,00:02
"600 BLOCK Delaware ave se,Minneapolis,MN",44.972551,-93.22872199999999,2,University,University of Minnesota,4,1,Upton,02/08/2019,00:03
"00 Block of 13th ave ne,Minneapolis,MN",44.999181,-93.271564,3,Northeast,Sheridan,2,1,Upton,02/08/2019,00:03
"1350 lasalle Ave s,Minneapolis,MN",44.969955,-93.279332,7,Central,Loring Park,3,1,Upton,02/08/2019,00:05
