Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
3431 2ND ST N,45.014943,-93.280941,4,Camden,McKinley,1,1,Westminster,02/12/2019,00:00
1116 COMO AVE SE,44.987818,-93.23536999999999,2,University,Como,4,1,Westminster,02/12/2019,00:00
1108 COMO AVE SE,44.98786,-93.23508299999999,2,University,Como,4,1,Westminster,02/12/2019,00:00
1203 COMO AVE SE,44.987891999999995,-93.234252,2,University,Como,4,1,Westminster,02/12/2019,00:00
1202 COMO AVE SE,44.987827,-93.234306,2,University,Como,4,1,Westminster,02/12/2019,00:00
804 9TH AVE SE,44.987805,-93.23904499999999,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
1313 COMO AVE SE,44.987829,-93.232591,2,University,Como,4,1,Westminster,02/12/2019,00:00
1504 COMO AVE SE,44.987790999999994,-93.230003,2,University,Como,4,1,Westminster,02/12/2019,00:00
1505 COMO AVE SE,44.987815000000005,-93.230082,2,University,Como,4,1,Westminster,02/12/2019,00:00
2510 2ND ST N,45.005466,-93.279744,5,Near North,Hawthorne,1,1,Westminster,02/12/2019,00:00
1519 COMO AVE SE,44.987876,-93.229886,1,University,Como,4,1,Westminster,02/12/2019,00:00
1508 COMO AVE SE,44.987798,-93.229922,2,University,Como,4,1,Westminster,02/12/2019,00:00
816 9TH AVE SE,44.987999,-93.239052,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
4120 28TH AVE S,44.928081,-93.232184,12,Powderhorn,Standish,6,1,Westminster,02/12/2019,00:00
1521 COMO AVE SE,44.98786,-93.229853,1,University,Como,4,1,Westminster,02/12/2019,00:00
1510 COMO AVE SE,44.987798,-93.229853,2,University,Como,4,1,Westminster,02/12/2019,00:00
1512 COMO AVE SE,44.987805,-93.229781,2,University,Como,4,1,Westminster,02/12/2019,00:00
618 25TH AVE SE,44.974270000000004,-93.221612,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
619 25TH AVE SE,44.975131,-93.218329,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
2528 2ND ST N,45.005603,-93.279883,5,Near North,Hawthorne,1,1,Westminster,02/12/2019,00:00
621 25TH AVE SE,44.975031,-93.218704,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
1522 COMO AVE SE,44.987790000000004,-93.22936700000001,2,University,Como,4,1,Westminster,02/12/2019,00:00
623 25TH AVE SE,44.975482,-93.21751,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
620 25TH AVE SE,44.974234,-93.220938,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
627 25TH AVE SE,44.975673,-93.21744100000001,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
629 25TH AVE SE,44.975245,-93.218994,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
2116 COMO AVE SE,44.987875,-93.222139,2,University,Como,4,1,Westminster,02/12/2019,00:00
2011 2ND ST N,44.999284,-93.280316,5,Near North,Hawthorne,1,1,Westminster,02/12/2019,00:00
632 25TH AVE SE,44.975608,-93.21731899999999,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
5006 28TH AVE S,44.912415,-93.23217199999999,12,Nokomis,Keewaydin,6,1,Westminster,02/12/2019,00:00
2000 2ND ST N,44.999171000000004,-93.280334,5,Near North,Hawthorne,1,1,Westminster,02/12/2019,00:00
632 25TH AVE SE,44.97463,-93.222785,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
2600 COMO AVE SE,44.987909,-93.216426,2,University,Como,4,1,Westminster,02/12/2019,00:00
2004 2ND ST N,44.999058000000005,-93.280254,5,Near North,Near - North,1,1,Westminster,02/12/2019,00:00
2710 4TH ST SE,44.973107,-93.217221,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
2633 JOHNSON ST NE,45.016181,-93.237038,1,Northeast,Audubon Park,2,1,Westminster,02/12/2019,00:00
1103 COMO AVE SE,44.987873,-93.235375,2,University,Como,4,1,Westminster,02/12/2019,00:00
2830 4TH ST SE,44.971717,-93.214206,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
5625 34TH AVE S,44.900904,-93.222734,12,Nokomis,Morris Park,6,1,Westminster,02/12/2019,00:00
5623 34TH AVE S,44.901057,-93.222902,12,Nokomis,Morris Park,6,1,Westminster,02/12/2019,00:00
1920 2ND ST N,44.998785,-93.280059,5,Near North,Near - North,1,1,Westminster,02/12/2019,00:00
5644 34TH AVE S,44.900632,-93.222973,11,Nokomis,Wenonah,6,1,Westminster,02/12/2019,00:00
5642 34TH AVE S,44.900425,-93.222999,11,Nokomis,Wenonah,6,1,Westminster,02/12/2019,00:00
5706 34TH AVE S,44.899927000000005,-93.222944,12,Nokomis,Wenonah,6,1,Westminster,02/12/2019,00:00
25 UNIVERSITY AVE NE,44.988707,-93.256967,3,University,Nicollet Island - East Bank,2,1,Westminster,02/12/2019,00:00
28 UNIVERSITY AVE NE,44.988813,-93.257064,3,University,Nicollet Island - East Bank,2,1,Westminster,02/12/2019,00:00
5732 34TH AVE S,44.898979,-93.223011,11,Nokomis,Wenonah,6,1,Westminster,02/12/2019,00:00
715 2ND ST N,44.989207,-93.27611999999999,3,Central,North Loop,1,1,Westminster,02/12/2019,00:00
14 UNIVERSITY AVE NE,44.98835,-93.25676800000001,3,University,Nicollet Island - East Bank,2,1,Westminster,02/12/2019,00:00
2935 JOHNSON ST NE,45.021485,-93.23713000000001,1,Northeast,Audubon Park,2,1,Westminster,02/12/2019,00:00
307 ST. ANTHONY AVE SE,44.957884,-93.20859499999999,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
503 UNIVERSITY AVE SE,44.984446999999996,-93.248899,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
3419 JOHNSON ST NE,45.030211,-93.23710799999999,1,Northeast,Waite Park,2,1,Westminster,02/12/2019,00:00
507 UNIVERSITY AVE SE,44.984408,-93.248851,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
701 2ND ST N,44.988341999999996,-93.275655,3,Central,North Loop,1,1,Westminster,02/12/2019,00:00
505 UNIVERSITY AVE SE,44.984435999999995,-93.248889,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
5025 34TH AVE S,44.911363,-93.22299699999999,12,Nokomis,Keewaydin,6,1,Westminster,02/12/2019,00:00
625 2ND ST N,44.988296999999996,-93.27565799999999,3,Central,North Loop,1,1,Westminster,02/12/2019,00:00
315 ST. ANTHONY AVE SE,44.9578,-93.208584,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
321 ST. ANTHONY AVE SE,44.957608,-93.208591,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
619 2ND ST N,44.987998,-93.275223,3,Central,North Loop,1,1,Westminster,02/12/2019,00:00
323 ST. ANTHONY AVE SE,44.957263,-93.209476,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
335 ST. ANTHONY AVE SE,44.957386,-93.20992199999999,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
523 UNIVERSITY AVE SE,44.984091,-93.248019,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
327 ST. ANTHONY AVE SE,44.957456,-93.209354,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
333 ST. ANTHONY AVE SE,44.957313,-93.20983299999999,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
717 UNIVERSITY AVE SE,44.982996,-93.245244,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
801 UNIVERSITY AVE SE,44.982762,-93.244725,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
525 2ND ST N,44.98771,-93.274592,3,Central,North Loop,1,1,Westminster,02/12/2019,00:00
225 ST. ANTHONY AVE SE,44.957046000000005,-93.209751,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
505 2ND ST N,44.987423,-93.273866,3,Central,North Loop,1,1,Westminster,02/12/2019,00:00
803 UNIVERSITY AVE SE,44.982753,-93.24462199999999,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
411 2ND ST N,44.986553,-93.27300799999999,3,Central,North Loop,3,1,Westminster,02/12/2019,00:00
403 2ND ST N,44.986356,-93.272726,3,Central,North Loop,3,1,Westminster,02/12/2019,00:00
1 4TH ST NE,44.988611,-93.25500500000001,3,University,Nicollet Island - East Bank,2,1,Westminster,02/12/2019,00:00
4546 34TH AVE S,44.920081,-93.22299,12,Nokomis,Ericsson,6,1,Westminster,02/12/2019,00:00
4557 34TH AVE S,44.919903000000005,-93.222916,12,Nokomis,Ericsson,6,1,Westminster,02/12/2019,00:00
4548 34TH AVE S,44.920155,-93.222994,12,Nokomis,Ericsson,6,1,Westminster,02/12/2019,00:00
687 13TH AVE NE,45.000656,-93.252548,1,Northeast,Logan Park,2,1,Westminster,02/12/2019,00:00
509 13TH AVE NE,45.000849,-93.25994200000001,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
175 27TH AVE SE,44.970389000000004,-93.21988,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
173 27TH AVE SE,44.97058,-93.21972099999999,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
414 13TH AVE NE,45.00098,-93.26129499999999,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
177 27TH AVE SE,44.970924,-93.21942800000001,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
4301 50TH ST E,44.912624,-93.21153100000001,12,Nokomis,Minnehaha,6,1,Westminster,02/12/2019,00:00
405 13TH AVE NE,45.000959,-93.261359,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
215 27TH AVE SE,44.972122,-93.218684,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
344 13TH AVE NE,45.000881,-93.262399,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
342 13TH AVE NE,45.00087,-93.262896,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
3423 50TH ST E,44.912611,-93.221959,12,Nokomis,Minnehaha,6,1,Westminster,02/12/2019,00:00
309 OAK ST SE,44.973119,-93.227062,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
211 13TH AVE NE,45.000638,-93.265776,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
918 FULTON ST SE,44.970152,-93.22449399999999,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
902 FULTON ST SE,44.970376,-93.225316,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
1049 7TH ST N,44.988622,-93.29016700000001,5,Near North,Sumner - Glenwood,1,1,Westminster,02/12/2019,00:00
904 FULTON ST SE,44.970056,-93.225408,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
609 OAK ST SE,44.969968,-93.227109,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
906 FULTON ST SE,44.970128,-93.22529899999999,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
914 FULTON ST SE,44.970125,-93.22497,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
908 FULTON ST SE,44.970236,-93.22485400000001,2,University,Prospect Park - East River Road,4,1,Westminster,02/12/2019,00:00
158 13TH AVE NE,45.000932,-93.266906,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
168 13TH AVE NE,45.000858,-93.266749,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
1768 5TH ST SE,44.978724,-93.22813599999999,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
171 13TH AVE NE,45.000966,-93.26644300000001,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
1740 5TH ST SE,44.979085,-93.229097,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
1734 5TH ST SE,44.979258,-93.22946800000001,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
143 13TH AVE NE,45.000839,-93.267123,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
317 16TH AVE SE,44.979056,-93.233345,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
120 13TH AVE NE,45.000465000000005,-93.26890300000001,3,Northeast,Sheridan,2,1,Westminster,02/12/2019,00:00
2925 44TH ST E,44.923317,-93.229804,12,Nokomis,Ericsson,6,1,Westminster,02/12/2019,00:00
304 16TH AVE SE,44.978594,-93.233645,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
317 17TH AVE SE,44.978165000000004,-93.23216,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
306 18TH AVE SE,44.977449,-93.230878,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
312 18TH AVE SE,44.97768,-93.230725,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
310 18TH AVE SE,44.977571999999995,-93.230787,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
315 18TH AVE SE,44.977756,-93.230688,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
320 18TH AVE SE,44.977804,-93.230637,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
324 18TH AVE SE,44.977920000000005,-93.23054499999999,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
1306 5TH ST SE,44.982001000000004,-93.236473,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
1316 5TH ST SE,44.981815999999995,-93.23575699999999,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
1328 5TH ST SE,44.981684,-93.23529599999999,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
1416 5TH ST SE,44.981249,-93.23423100000001,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
708 DELAWARE ST SE,44.972605,-93.228433,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
1320 6TH ST SE,44.982641,-93.23473800000001,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
1315 6TH ST SE,44.982704,-93.234923,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
622 DELAWARE ST SE,44.972561999999996,-93.229373,2,University,University of Minnesota,4,1,Westminster,02/12/2019,00:00
1301 6TH ST SE,44.982883,-93.235286,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,00:00
