Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
"3201-3299 lyndale ave n ,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Westminster,02/12/2019,21:18
"3398 Chicago ave s,Minneapolis,MN",44.941390000000006,-93.262588,9,Powderhorn,Central,5,1,Westminster,02/12/2019,21:19
"3301 Chicago Avenue South,Minneapolis,MN",44.943159,-93.262606,9,Powderhorn,Central,5,1,Westminster,02/12/2019,21:19
"3400-3498 lyndale ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster,02/12/2019,21:26
"3498 Lyndale Ave n,Minneapolis,MN",45.01849,-93.288049,4,Camden,McKinley,1,1,Westminster,02/12/2019,21:34
"1 E 19TH ST,Minneapolis,MN",44.963797,-93.277559,6,Central,Steven's Square - Loring Heights,3,1,Westminster,02/12/2019,21:38
"3400 Lyndale Ave n ,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Westminster,02/12/2019,21:40
"16 EAST / 19TH ST,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster,02/12/2019,21:45
"16 19th st e,Minneapolis,MN",44.964115,-93.276939,6,Central,Steven's Square - Loring Heights,3,1,Westminster,02/12/2019,21:47
"3458 Chicago Ave,Minneapolis,MN",44.939686,-93.262901,9,Powderhorn,Central,5,1,Westminster,02/12/2019,22:04
"1116 Como Ave se,Minneapolis,MN",44.987678,-93.235311,2,University,Como,4,1,Westminster,02/12/2019,22:08
"3000 Blaisdell ,Minneapolis,MN",44.948359,-93.279701,10,Powderhorn,Whittier,3,1,Westminster,02/12/2019,22:10
"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster,02/12/2019,22:11
"1203 como ave se,Minneapolis,MN",44.988003000000006,-93.234368,2,University,Como,4,1,Westminster,02/12/2019,22:14
"4100 Lyndale Ave N,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster,02/12/2019,22:14
"4100 lyndale ave n,Minneapolis,MN",45.029786,-93.288113,4,Camden,Webber - Camden,1,1,Westminster,02/12/2019,22:14
"5580 Chicago Avenue South,Minneapolis,MN",44.901657,-93.26271,11,Nokomis,Diamond Lake,5,1,Westminster,02/12/2019,22:18
"4600-4698 lyndale ave n ,Minneapolis,MN",45.038466,-93.28622299999999,4,Camden,Camden Industrial,1,1,Westminster,02/12/2019,22:19
"4816 Lyndale Ave n,Minneapolis,MN",45.043116,-93.284856,4,Camden,Lind - Bohanon,1,1,Westminster,02/12/2019,22:21
"2914 emerson,Minneapolis,MN",45.010084,-93.29414200000001,5,Near North,Hawthorne,1,1,Westminster,02/12/2019,22:23
"300 Block of central,Minneapolis,MN",44.980257,-93.270034,3,Central,Downtown West,3,1,Westminster,02/12/2019,22:23
"4500-4598 Bryant ave n ,Minneapolis,MN",45.036846999999995,-93.291119,4,Camden,Lind - Bohanon,1,1,Westminster,02/12/2019,22:24
"4340 Chicago Avenue South,Minneapolis,MN",44.923878,-93.262861,8,Nokomis,Regina,5,1,Westminster,02/12/2019,22:25
"4020 Chicago Avenue South,Minneapolis,MN",44.929857,-93.262822,8,Powderhorn,Bryant,5,1,Westminster,02/12/2019,22:28
"3419 Johnson st ne,Minneapolis,MN",45.030075,-93.23683299999999,1,Northeast,Waite Park,2,1,Westminster,02/12/2019,22:29
"3194 Central Ave NE,Minneapolis,MN",45.02568,-93.24743000000001,1,Northeast,Columbia Park,2,1,Westminster,02/12/2019,22:31
"4800 Chicago ave s,Minneapolis,MN",44.916003,-93.262901,8,Nokomis,Field,5,1,Westminster,02/12/2019,22:33
"503 unniversity ave se,Minneapolis,MN",44.984691999999995,-93.248712,3,University,Marcy Holmes,4,1,Westminster,02/12/2019,22:35
"3000 Chicago ave s,Minneapolis,MN",44.948357,-93.262689,6,Phillips,Phillips West,3,1,Westminster,02/12/2019,22:35
"2935 Johnson st NE,Minneapolis,MN",45.021465,-93.236807,1,Northeast,Audubon Park,2,1,Westminster,02/12/2019,22:36
"3100 block of Blaisdell Avenue so,Minneapolis,MN",44.946574,-93.279706,8,Powderhorn,Lyndale,5,1,Westminster,02/12/2019,22:37
