Location,Latitude,Longitude,Neighborhood,Community,Ward,Emergency,Day,Tow_Zone,Date,Time
3123 IRVING AVE N,45.0129127502,-93.29940795899999,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
3123 LINCOLN ST NE,45.0249176025,-93.23840332030001,Waite Park,Northeast,1,Xerxes,3,2,02/25/2018,00:00
3123 PLEASANT AVE,44.9458389282,-93.2831573486,Lyndale,Powderhorn,8,Xerxes,3,5,02/25/2018,00:00
2412 JAMES AVE N,45.004238128699996,-93.30185699459999,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2814 STEVENS AVE S,44.9513778687,-93.27537536620001,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2413 16TH AVE S,44.9583320618,-93.25128936770001,East Phillips,Phillips,9,Xerxes,3,3,02/25/2018,00:00
3124 22ND AVE S,44.945369720500004,-93.2407226563,Corcoran,Powderhorn,9,Xerxes,2,6,02/24/2018,00:00
2815 10TH AVE S,44.9513816833,-93.260055542,Midtown Phillips,Phillips,9,Xerxes,3,3,02/25/2018,00:00
2413 33RD ST E,44.9429473877,-93.2367019653,Corcoran,Powderhorn,9,Xerxes,3,6,02/25/2018,00:00
3124 29TH AVE S,44.9461364746,-93.23001861569999,Longfellow,Longfellow,2,Xerxes,2,6,02/24/2018,00:00
2815 13TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2413 6TH ST N,45.0041503906,-93.28651428219999,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
3124 3RD ST N,45.01257705689999,-93.2833709717,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2815 52ND ST W,44.908817291300004,-93.3152618408,Fulton,Southwest,13,Xerxes,3,5,02/25/2018,00:00
2815 ALDRICH AVE N,45.0091362,-93.289276123,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2815 DUPONT AVE N,45.009075164799995,-93.29307556149999,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2815 HUMBOLDT AVE S,44.951789856000005,-93.3004226685,East Isles,Calhoun Isle,7,Xerxes,3,3,02/25/2018,00:00
2815 HUMBOLDT AVE S,44.951606750500005,-93.30037689209999,East Isles,Calhoun Isle,7,Xerxes,3,3,02/25/2018,00:00
2815 PILLSBURY AVE,44.951538085900005,-93.2811813354,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2816 COLUMBUS AVE S,44.95129776,-93.2638626099,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2816 DELAWARE ST SE,44.9702453613,-93.21787261959999,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
2816 GIRARD AVE N,45.009059906000005,-93.2968139648,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2817 BRYANT AVE N,45.0090827942,-93.29055786129999,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2817 COLUMBUS AVE S,44.9512710571,-93.2642288208,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2817 GARFIELD AVE S,44.951293945299994,-93.28671264649999,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2817 GRAND AVE S,44.9515266418,-93.2841796875,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2818 ALDRICH AVE N,45.009101867700004,-93.2892684937,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2818 DELAWARE ST SE,44.9702224731,-93.2178573608,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
2819 11TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2819 ALDRICH AVE N,45.009159088100006,-93.2893447876,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2819 COLFAX AVE N,45.009223938000005,-93.2918548584,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2819 COLUMBUS AVE S,44.950534820600005,-93.2641372681,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2819 GARFIELD AVE S,44.9512748718,-93.28671264649999,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2819 GIRARD AVE N,45.009128570600005,-93.29683685299999,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2819 GRAND AVE S,44.951229095500004,-93.2842254639,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2819 PILLSBURY AVE,44.951393127399996,-93.2811355591,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2820 COLFAX AVE N,45.009151458699996,-93.2918243408,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2820 DREW AVE S,44.9504203796,-93.3262557983,Cedar - Isles - Dean,Calhoun Isle,7,Xerxes,2,3,02/24/2018,00:00
2820 PILLSBURY AVE,44.9514045715,-93.2813415527,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2820 PLEASANT AVE,44.951229095500004,-93.28318786620001,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2821 COLUMBUS AVE S,44.950534820600005,-93.2641372681,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
