Location,Latitude,Longitude,Emergency,Day,Ward,Neighborhood,Community,Tow_Zone,Date,Time
"299 5th ave se,Minneapolis,MN",44.984485,-93.24904599999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:20
"3025 Chicago Ave S,Minneapolis,MN",44.947508,-93.262311,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/23/2018,22:30
"620 8th ave se,Minneapolis,MN",44.986318,-93.241708,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:20
"4145 CHICAGO AVE S,Minneapolis,MN",44.927397,-93.26219300000001,Xerxes,1,8,Bancroft,Powderhorn,6,02/23/2018,23:10
"4146 Chicago Ave S,Minneapolis,MN",44.927287,-93.262498,Xerxes,1,8,Bancroft,Powderhorn,6,02/23/2018,23:11
"524 8th ave se,Minneapolis,MN",44.985384,-93.242509,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:21
"3925 CHICAGO AVE S,Minneapolis,MN",44.931528,-93.262146,Xerxes,1,8,Bancroft,Powderhorn,6,02/23/2018,23:18
"428 7th st se,Minneapolis,MN",44.988448,-93.246724,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:24
"4612 16TH AVE S,Minneapolis,MN",44.919174,-93.251389,Xerxes,2,11,Northrop,Nokomis,6,02/24/2018,13:08
"250 3RD AVE SE,Minneapolis,MN",44.985197,-93.25244599999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:25
"3034 13th ave s,Minneapolis,MN",44.947162,-93.256575,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,13:08
"1004 13th Ave s e,Minneapolis,MN",44.988038,-93.233308,Xerxes,2,2,Como,University,4,02/24/2018,12:28
"5144 18TH AVE S,Minneapolis,MN",44.909344,-93.248974,Xerxes,2,11,Hale,Nokomis,6,02/24/2018,13:12
"318 6th st se,Minneapolis,MN",44.988151,-93.249055,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:30
"3910 26TH AVE S,Minneapolis,MN",44.931940999999995,-93.234658,Xerxes,2,12,Standish,Powderhorn,6,02/24/2018,13:23
"819 UNIVERSITY AVE SE,Minneapolis,MN",44.982571,-93.244271,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:33
"3300 BLOOMINGTON AVE S,Minneapolis,MN",44.942788,-93.252764,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,01:25
"1100 15th Ave SE - MPLS,Minneapolis,MN",44.985194,-93.231078,Xerxes,2,2,Como,University,4,02/24/2018,12:34
"3406 25TH AVE S,Minneapolis,MN",44.940984,-93.236301,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,13:26
"825 UNIVERSITY AVE SE,Minneapolis,MN",44.982565,-93.24425699999999,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:35
"3128 10th ave s,Minneapolis,MN",44.945667,-93.260425,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,13:26
"720 8th ave se,Minneapolis,MN",44.987396000000004,-93.240962,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:36
"3325 BLOOMINGTON AVE S,Minneapolis,MN",44.942152,-93.252096,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,01:29
"1110 16th Ave SE ,Minneapolis,MN",44.991155,-93.229499,Xerxes,2,1,Como,University,4,02/24/2018,12:37
"3028 11th ave s,Minneapolis,MN",44.947393,-93.25918,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,13:31
"424 8th ave se,Minneapolis,MN",44.984477000000005,-93.24358199999999,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:43
"3024 11th av s,Minneapolis,MN",44.947491,-93.25909,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,13:31
"799 MAIN ST SE,Minneapolis,MN",44.981425,-93.24796500000001,Xerxes,1,3,Marcy Holmes,University,4,02/24/2018,00:45
"3100 13th ave s,Minneapolis,MN",44.946434,-93.256536,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,13:33
"418 7th st se,Minneapolis,MN",44.988488000000004,-93.246825,Xerxes,2,3,Marcy Holmes,University,4,02/24/2018,12:45
"2326 32nd st,Minneapolis,MN",44.944944,-93.237858,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,13:41
"3204 22nd ave,Minneapolis,MN",44.944434,-93.240981,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,13:45
"33RD & BLOOMINGTON AVE S,Minneapolis,MN",44.942909,-93.252459,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,01:50
"2318 32nd st e,Minneapolis,MN",44.944974,-93.237944,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,13:55
"1840 33 st e,Minneapolis,MN",44.942933000000004,-93.246492,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,13:59
