Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Emergency,Date,Time
2306 LOGAN AVE N,45.002784000000005,-93.30540699999999,5,Near North,Jordan,1,2,Yale,02/21/2019,00:00
5004 6TH ST N,45.043449,-93.28553000000001,4,Camden,Lind - Bohanon,1,2,Yale,02/21/2019,00:00
2520 17TH AVE S,44.956517,-93.249898,9,Phillips,East Phillips,3,2,Yale,02/21/2019,00:00
2302 LOGAN AVE N,45.002693,-93.305515,5,Near North,Jordan,1,2,Yale,02/21/2019,00:00
5436 OLIVER AVE S,44.903907000000004,-93.307476,13,Southwest,Armatage,5,2,Yale,02/21/2019,00:00
2830 DELAWARE ST SE,44.969775,-93.217814,2,University,Prospect Park - East River Road,4,2,Yale,02/21/2019,00:00
2100 24TH AVE S,44.961768,-93.237897,6,Longfellow,Seward,4,2,Yale,02/21/2019,00:00
2912 32ND AVE S,44.949635,-93.228672,2,Longfellow,Longfellow,4,2,Yale,02/21/2019,00:00
2204 GARFIELD AVE S,44.960710999999996,-93.28677900000001,10,Powderhorn,Whittier,3,2,Yale,02/21/2019,00:00
3502 BUCHANAN ST NE,45.031496000000004,-93.239851,1,Northeast,Waite Park,2,2,Yale,02/21/2019,00:00
1916 5TH ST S,44.968799,-93.245639,6,University,Cedar Riverside,4,2,Yale,02/21/2019,00:00
720 9TH AVE N,44.987308,-93.289851,5,Near North,Sumner - Glenwood,1,2,Yale,02/21/2019,00:00
5004 6TH ST N,45.043449,-93.28553000000001,4,Camden,Lind - Bohanon,1,2,Yale,02/21/2019,00:00
3528 32ND ST W,44.945213,-93.32471899999999,13,Calhoun Isle,West Calhoun,3,2,Yale,02/21/2019,00:00
2822 33RD ST E,44.942975,-93.230949,9,Longfellow,Longfellow,6,2,Yale,02/21/2019,00:00
1918 5TH ST S,44.968719,-93.244759,6,University,Cedar Riverside,4,2,Yale,02/21/2019,00:00
3212 45TH AVE S,44.932078000000004,-93.210275,12,Longfellow,Howe,6,2,Yale,02/21/2019,00:00
2528 17TH AVE S,44.956214,-93.24995200000001,9,Phillips,East Phillips,3,2,Yale,02/21/2019,00:00
1808 27TH ST E,44.954029,-93.248492,9,Phillips,East Phillips,3,2,Yale,02/21/2019,00:00
2530 17TH AVE S,44.95622,-93.24995899999999,9,Phillips,East Phillips,3,2,Yale,02/21/2019,00:00
1920 5TH ST S,44.968724,-93.244846,6,University,Cedar Riverside,4,2,Yale,02/21/2019,00:00
2824 33RD ST E,44.943007,-93.230791,9,Longfellow,Longfellow,6,2,Yale,02/21/2019,00:00
2912 32ND AVE S,44.949690999999994,-93.228463,2,Longfellow,Longfellow,4,2,Yale,02/21/2019,00:00
2402 GARFIELD AVE S,44.958971999999996,-93.286792,10,Powderhorn,Whittier,3,2,Yale,02/21/2019,00:00
2826 33RD ST E,44.942985,-93.23076999999999,9,Longfellow,Longfellow,6,2,Yale,02/21/2019,00:00
2836 COLFAX AVE S,44.950696,-93.29192900000001,10,Calhoun Isle,Lowry Hill East,3,2,Yale,02/21/2019,00:00
5004 EWING AVE S,44.91237,-93.32777800000001,13,Southwest,Fulton,5,2,Yale,02/21/2019,00:00
3602 32ND ST W,44.945393,-93.325022,13,Calhoun Isle,West Calhoun,3,2,Yale,02/21/2019,00:00
2828 33RD ST E,44.942988,-93.230731,9,Longfellow,Longfellow,6,2,Yale,02/21/2019,00:00
2404 GARFIELD AVE S,44.958906,-93.28679100000001,10,Powderhorn,Whittier,3,2,Yale,02/21/2019,00:00
5006 EWING AVE S,44.912265000000005,-93.32778499999999,13,Southwest,Fulton,5,2,Yale,02/21/2019,00:00
2606 MORGAN AVE N,45.006269,-93.30441400000001,5,Near North,Jordan,1,2,Yale,02/21/2019,00:00
2004 24TH AVE S,44.962272,-93.237571,6,Longfellow,Seward,4,2,Yale,02/21/2019,00:00
4100 IRVING AVE N,45.029718,-93.299557,4,Camden,Webber - Camden,1,2,Yale,02/21/2019,00:00
5012 EWING AVE S,44.912119,-93.32780600000001,13,Southwest,Fulton,5,2,Yale,02/21/2019,00:00
5014 EWING AVE S,44.912056,-93.327787,13,Southwest,Fulton,5,2,Yale,02/21/2019,00:00
2414 GARFIELD AVE S,44.958711,-93.286765,10,Powderhorn,Whittier,3,2,Yale,02/21/2019,00:00
3520 43RD ST E,44.925074,-93.22107700000001,12,Longfellow,Hiawatha,6,2,Yale,02/21/2019,00:00
2618 MORGAN AVE N,45.006596,-93.30443199999999,5,Near North,Jordan,1,2,Yale,02/21/2019,00:00
