Location,Latitude,Longitude,Neighborhood,Community,Ward,Emergency,Day,Tow_Zone,Date,Time
4834 CAMDEN AVE N,45.043098449700004,-93.28890228270001,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
4838 CAMDEN AVE N,45.043254852299995,-93.2888946533,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
4844 CLINTON AVE S,44.914726257299996,-93.2715682983,Field,Nokomis,8,Yardville,2,5,02/26/2018,00:00
4850 ALDRICH AVE N,45.0435905457,-93.29014587399999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
4854 CAMDEN AVE N,45.0435714722,-93.28887939450001,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
4900 53RD ST E,44.9078292847,-93.2043685913,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
4904 53RD ST E,44.9075508118,-93.20397949219999,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
4910 MORGAN AVE S,44.913730621300004,-93.3049087524,Lynnhurst,Southwest,13,Yardville,2,5,02/26/2018,00:00
4916 CLINTON AVE S,44.9135780334,-93.27159118649999,Field,Nokomis,8,Yardville,2,5,02/26/2018,00:00
4916 FREMONT AVE N,45.04454422,-93.29663085940001,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
4916 MORGAN AVE S,44.9135513306,-93.304901123,Lynnhurst,Southwest,13,Yardville,2,5,02/26/2018,00:00
4920 CLINTON AVE S,44.9134712219,-93.27158355709999,Field,Nokomis,8,Yardville,2,5,02/26/2018,00:00
4920 FREMONT AVE N,45.0446815491,-93.2966842651,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
4931 SHERIDAN AVE N,45.0451049805,-93.31290435790001,Shingle Creek,Camden,4,Yardville,3,1,02/27/2018,00:00
5 UNIVERSITY AVE SE,44.9875717163,-93.2564163208,Nicollet Island - East Bank,University,3,Yardville,1,4,02/25/2018,00:00
50 ARTHUR AVE SE,44.969377,-93.21594,Prospect Park - East River Road,University,2,Yardville,2,4,02/26/2018,00:00
500 15TH ST W,44.9680786133,-93.2687683105,Elliot Park,Central,7,Yardville,1,3,02/25/2018,00:00
500 1ST ST N,44.9877090454,-93.2722702026,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
500 LYNDALE PL,44.982997894300006,-93.2886428833,Sumner - Glenwood,Near North,5,Yardville,2,3,02/26/2018,00:00
5008 ALDRICH AVE N,45.0461425781,-93.29021453860001,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5012 ALDRICH AVE N,45.0462913513,-93.2901916504,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
502 1ST ST N,44.9877586365,-93.2723770142,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
502 33RD ST W,44.9429092407,-93.28614807129999,Lyndale,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
502 37TH ST E,44.93594360350001,-93.26873016360001,Central,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
502 39TH ST E,44.9323921204,-93.2685317993,Bryant,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
502 7TH AVE SE,44.985263824499995,-93.24480438229999,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
502 8TH AVE SE,44.985141,-93.243052,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
5020 GIRARD AVE N,45.0463562012,-93.2979278564,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5020 SHERIDAN AVE S,44.9118309021,-93.3112564087,Fulton,Southwest,13,Yardville,2,5,02/26/2018,00:00
503 LYNDALE PL,44.9831428528,-93.28874206540002,Sumner - Glenwood,Near North,5,Yardville,3,3,02/27/2018,00:00
5032 35TH AVE S,44.9114837646,-93.221534729,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5034 FREMONT AVE N,45.0469398499,-93.2966537476,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5036 6TH ST N,45.0471115112,-93.28768920899999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5036 6TH ST N,45.045845031700004,-93.28765106200001,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5036 FREMONT AVE N,45.04703521729999,-93.296585083,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5038 6TH ST N,45.047210693400004,-93.2876434326,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
504 12TH AVE SE,44.9827690125,-93.23765563959999,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
504 1ST ST N,44.9878082275,-93.2725143433,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
504 32ND ST E,44.9449653625,-93.2688598633,Central,Powderhorn,9,Yardville,2,5,02/26/2018,00:00
5040 GIRARD AVE N,45.0469856262,-93.2979202271,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5042 GIRARD AVE N,45.0470504761,-93.2979125977,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5044 GIRARD AVE N,45.047096252399996,-93.29795074459999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5046 GIRARD AVE N,45.047134399399994,-93.29795837399999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
